# Number of Tags, Misstags and Rejected as a function of k
# Number of Events
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.000000	0.469809	0.530191	896101
1.218000	0.000000	0.444181	0.555819	896101
1.236000	0.000000	0.431467	0.568533	896101
1.254000	0.000000	0.410688	0.589312	896101
1.272000	0.000000	0.389548	0.610452	896101
1.290000	0.000000	0.371686	0.628314	896101
1.308000	0.000000	0.360774	0.639226	896101
1.326000	0.000000	0.349913	0.650087	896101
1.344000	0.000000	0.340396	0.659604	896101
1.362000	0.000000	0.331869	0.668131	896101
1.380000	0.000000	0.318953	0.681047	896101
1.398000	0.000000	0.308778	0.691222	896101
1.416000	0.000000	0.296399	0.703601	896101
1.434000	0.000000	0.284308	0.715692	896101
1.452000	0.000000	0.269439	0.730561	896101
1.470000	0.000000	0.256994	0.743006	896101
1.488000	0.000000	0.244697	0.755303	896101
1.506000	0.000000	0.238394	0.761606	896101
1.524000	0.000000	0.230583	0.769417	896101
1.542000	0.000000	0.225472	0.774528	896101
1.560000	0.000000	0.218062	0.781938	896101
1.578000	0.000000	0.213360	0.786640	896101
1.596000	0.000000	0.204879	0.795121	896101
1.614000	0.000000	0.200665	0.799335	896101
1.632000	0.000000	0.193835	0.806165	896101
1.650000	0.000000	0.185105	0.814895	896101
1.668000	0.000000	0.182223	0.817777	896101
1.686000	0.000000	0.174393	0.825607	896101
1.704000	0.000000	0.164914	0.835086	896101
1.722000	0.000000	0.159132	0.840868	896101
1.740000	0.000000	0.151378	0.848622	896101
1.758000	0.000000	0.147611	0.852389	896101
1.776000	0.000000	0.144242	0.855758	896101
1.794000	0.000000	0.141331	0.858669	896101
1.812000	0.000000	0.135828	0.864172	896101
1.830000	0.000000	0.132493	0.867507	896101
1.848000	0.000000	0.126825	0.873175	896101
1.866000	0.000000	0.124109	0.875891	896101
1.884000	0.000000	0.121253	0.878747	896101
1.902000	0.000000	0.118616	0.881384	896101
1.920000	0.000000	0.116032	0.883968	896101
1.938000	0.000000	0.111903	0.888097	896101
1.956000	0.000000	0.108753	0.891247	896101
1.974000	0.000000	0.105534	0.894466	896101
1.992000	0.000000	0.103823	0.896177	896101
2.010000	0.000000	0.102321	0.897679	896101
2.028000	0.000000	0.097873	0.902127	896101
2.046000	0.000000	0.093903	0.906097	896101
2.064000	0.000000	0.089047	0.910953	896101
2.082000	0.000000	0.087488	0.912512	896101
2.100000	0.000000	0.085284	0.914716	896101
2.118000	0.000000	0.083733	0.916267	896101
2.136000	0.000000	0.081186	0.918814	896101
2.154000	0.000000	0.078109	0.921891	896101
2.172000	0.000000	0.074771	0.925229	896101
2.190000	0.000000	0.073881	0.926119	896101
2.208000	0.000000	0.072213	0.927787	896101
2.226000	0.000000	0.070505	0.929495	896101
2.244000	0.000000	0.068136	0.931864	896101
2.262000	0.000000	0.066486	0.933514	896101
2.280000	0.000000	0.062998	0.937002	896101
2.298000	0.000000	0.061814	0.938186	896101
2.316000	0.000000	0.060784	0.939216	896101
2.334000	0.000000	0.058955	0.941045	896101
2.352000	0.000000	0.058260	0.941740	896101
2.370000	0.000000	0.057016	0.942984	896101
2.388000	0.000000	0.054630	0.945370	896101
2.406000	0.000000	0.053190	0.946810	896101
2.424000	0.000000	0.051951	0.948049	896101
2.442000	0.000000	0.050688	0.949312	896101
2.460000	0.000000	0.050153	0.949847	896101
2.478000	0.000000	0.048925	0.951075	896101
2.496000	0.000000	0.045315	0.954685	896101
2.514000	0.000000	0.043785	0.956215	896101
2.532000	0.000000	0.042802	0.957198	896101
2.550000	0.000000	0.041277	0.958723	896101
2.568000	0.000000	0.040398	0.959602	896101
2.586000	0.000000	0.039558	0.960442	896101
2.604000	0.000000	0.038770	0.961230	896101
2.622000	0.000000	0.038096	0.961904	896101
2.640000	0.000000	0.036631	0.963369	896101
2.658000	0.000000	0.033344	0.966656	896101
2.676000	0.000000	0.033088	0.966912	896101
2.694000	0.000000	0.032555	0.967445	896101
2.712000	0.000000	0.031935	0.968065	896101
2.730000	0.000000	0.031169	0.968831	896101
2.748000	0.000000	0.030288	0.969712	896101
2.766000	0.000000	0.029233	0.970767	896101
2.784000	0.000000	0.028819	0.971181	896101
2.802000	0.000000	0.027188	0.972812	896101
2.820000	0.000000	0.026807	0.973193	896101
2.838000	0.000000	0.026135	0.973865	896101
2.856000	0.000000	0.025768	0.974232	896101
2.874000	0.000000	0.025538	0.974462	896101
2.892000	0.000000	0.025062	0.974938	896101
2.910000	0.000000	0.024792	0.975208	896101
2.928000	0.000000	0.024127	0.975873	896101
2.946000	0.000000	0.023385	0.976615	896101
2.964000	0.000000	0.023015	0.976985	896101
2.982000	0.000000	0.021277	0.978723	896101
