# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 968813
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.000000	0.372115	0.627885	968813
1.218000	0.000000	0.364765	0.635235	968813
1.236000	0.000000	0.335463	0.664537	968813
1.254000	0.000000	0.328955	0.671045	968813
1.272000	0.000000	0.259939	0.740061	968813
1.290000	0.000000	0.246555	0.753445	968813
1.308000	0.000000	0.220225	0.779775	968813
1.326000	0.000000	0.206424	0.793576	968813
1.344000	0.000000	0.197463	0.802537	968813
1.362000	0.000000	0.182001	0.817999	968813
1.380000	0.000000	0.172560	0.827440	968813
1.398000	0.000000	0.158196	0.841804	968813
1.416000	0.000000	0.148667	0.851333	968813
1.434000	0.000000	0.147264	0.852736	968813
1.452000	0.000000	0.135178	0.864822	968813
1.470000	0.000000	0.127712	0.872288	968813
1.488000	0.000000	0.120239	0.879761	968813
1.506000	0.000000	0.114774	0.885226	968813
1.524000	0.000000	0.113639	0.886361	968813
1.542000	0.000000	0.112768	0.887232	968813
1.560000	0.000000	0.108558	0.891442	968813
1.578000	0.000000	0.107415	0.892585	968813
1.596000	0.000000	0.106179	0.893821	968813
1.614000	0.000000	0.097152	0.902848	968813
1.632000	0.000000	0.096291	0.903709	968813
1.650000	0.000000	0.095703	0.904297	968813
1.668000	0.000000	0.091855	0.908145	968813
1.686000	0.000000	0.084418	0.915582	968813
1.704000	0.000000	0.084351	0.915649	968813
1.722000	0.000000	0.084097	0.915903	968813
1.740000	0.000000	0.082603	0.917397	968813
1.758000	0.000000	0.082162	0.917838	968813
1.776000	0.000000	0.081400	0.918600	968813
1.794000	0.000000	0.081345	0.918655	968813
1.812000	0.000000	0.074440	0.925560	968813
1.830000	0.000000	0.070175	0.929825	968813
1.848000	0.000000	0.069342	0.930658	968813
1.866000	0.000000	0.068104	0.931896	968813
1.884000	0.000000	0.068044	0.931956	968813
1.902000	0.000000	0.063559	0.936441	968813
1.920000	0.000000	0.060876	0.939124	968813
1.938000	0.000000	0.060647	0.939353	968813
1.956000	0.000000	0.060412	0.939588	968813
1.974000	0.000000	0.059090	0.940910	968813
1.992000	0.000000	0.058911	0.941089	968813
2.010000	0.000000	0.056605	0.943395	968813
2.028000	0.000000	0.052908	0.947092	968813
2.046000	0.000000	0.052740	0.947260	968813
2.064000	0.000000	0.052306	0.947694	968813
2.082000	0.000000	0.047148	0.952852	968813
2.100000	0.000000	0.046981	0.953019	968813
2.118000	0.000000	0.046592	0.953408	968813
2.136000	0.000000	0.046586	0.953414	968813
2.154000	0.000000	0.045056	0.954944	968813
2.172000	0.000000	0.044676	0.955324	968813
2.190000	0.000000	0.044471	0.955529	968813
2.208000	0.000000	0.044439	0.955561	968813
2.226000	0.000000	0.043664	0.956336	968813
2.244000	0.000000	0.043171	0.956829	968813
2.262000	0.000000	0.042535	0.957465	968813
2.280000	0.000000	0.042508	0.957492	968813
2.298000	0.000000	0.039719	0.960281	968813
2.316000	0.000000	0.039341	0.960659	968813
2.334000	0.000000	0.036624	0.963376	968813
2.352000	0.000000	0.036094	0.963906	968813
2.370000	0.000000	0.035710	0.964290	968813
2.388000	0.000000	0.032928	0.967072	968813
2.406000	0.000000	0.031772	0.968228	968813
2.424000	0.000000	0.031510	0.968490	968813
2.442000	0.000000	0.031291	0.968709	968813
2.460000	0.000000	0.029406	0.970594	968813
2.478000	0.000000	0.029268	0.970732	968813
2.496000	0.000000	0.029194	0.970806	968813
2.514000	0.000000	0.028070	0.971930	968813
2.532000	0.000000	0.027551	0.972449	968813
2.550000	0.000000	0.027051	0.972949	968813
2.568000	0.000000	0.027032	0.972968	968813
2.586000	0.000000	0.026292	0.973708	968813
2.604000	0.000000	0.026008	0.973992	968813
2.622000	0.000000	0.025574	0.974426	968813
2.640000	0.000000	0.023804	0.976196	968813
2.658000	0.000000	0.023555	0.976445	968813
2.676000	0.000000	0.021237	0.978763	968813
2.694000	0.000000	0.021197	0.978803	968813
2.712000	0.000000	0.021172	0.978828	968813
2.730000	0.000000	0.020714	0.979286	968813
2.748000	0.000000	0.020683	0.979317	968813
2.766000	0.000000	0.020497	0.979503	968813
2.784000	0.000000	0.019906	0.980094	968813
2.802000	0.000000	0.019839	0.980161	968813
2.820000	0.000000	0.018366	0.981634	968813
2.838000	0.000000	0.017935	0.982065	968813
2.856000	0.000000	0.016673	0.983327	968813
2.874000	0.000000	0.016149	0.983851	968813
2.892000	0.000000	0.014736	0.985264	968813
2.910000	0.000000	0.014480	0.985520	968813
2.928000	0.000000	0.014330	0.985670	968813
2.946000	0.000000	0.013830	0.986170	968813
2.964000	0.000000	0.013654	0.986346	968813
2.982000	0.000000	0.012543	0.987457	968813
