# Number of Tags, Misstags and Rejected as a function of k
# Number of Events
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.305153	0.324289	0.370558	652850
1.218000	0.299144	0.311657	0.389200	652850
1.236000	0.296521	0.307386	0.396093	652850
1.254000	0.291366	0.297664	0.410970	652850
1.272000	0.284992	0.285307	0.429701	652850
1.290000	0.280646	0.276940	0.442414	652850
1.308000	0.276286	0.267702	0.456013	652850
1.326000	0.273568	0.263126	0.463306	652850
1.344000	0.269625	0.256131	0.474244	652850
1.362000	0.264676	0.248477	0.486847	652850
1.380000	0.260640	0.241242	0.498117	652850
1.398000	0.253277	0.229100	0.517623	652850
1.416000	0.246645	0.216745	0.536610	652850
1.434000	0.241942	0.208169	0.549889	652850
1.452000	0.240051	0.205016	0.554933	652850
1.470000	0.237332	0.200427	0.562241	652850
1.488000	0.234956	0.196212	0.568832	652850
1.506000	0.232026	0.191955	0.576019	652850
1.524000	0.228930	0.187222	0.583848	652850
1.542000	0.226302	0.183368	0.590330	652850
1.560000	0.223256	0.178572	0.598171	652850
1.578000	0.219101	0.172237	0.608662	652850
1.596000	0.215504	0.166812	0.617684	652850
1.614000	0.212073	0.161500	0.626427	652850
1.632000	0.208474	0.156140	0.635386	652850
1.650000	0.206171	0.152859	0.640970	652850
1.668000	0.204647	0.150342	0.645010	652850
1.686000	0.200960	0.145487	0.653553	652850
1.704000	0.198903	0.142759	0.658338	652850
1.722000	0.196183	0.139228	0.664589	652850
1.740000	0.193593	0.135311	0.671096	652850
1.758000	0.190676	0.131842	0.677482	652850
1.776000	0.185776	0.125033	0.689190	652850
1.794000	0.184221	0.123132	0.692646	652850
1.812000	0.181797	0.119758	0.698445	652850
1.830000	0.180544	0.118087	0.701369	652850
1.848000	0.177819	0.115124	0.707057	652850
1.866000	0.173054	0.109466	0.717480	652850
1.884000	0.172112	0.108210	0.719678	652850
1.902000	0.171116	0.106885	0.721999	652850
1.920000	0.168034	0.103168	0.728798	652850
1.938000	0.166580	0.101195	0.732225	652850
1.956000	0.164414	0.098744	0.736842	652850
1.974000	0.162535	0.096115	0.741349	652850
1.992000	0.160997	0.093927	0.745076	652850
2.010000	0.159392	0.092358	0.748250	652850
2.028000	0.158776	0.091768	0.749455	652850
2.046000	0.156203	0.089069	0.754728	652850
2.064000	0.154019	0.086939	0.759043	652850
2.082000	0.152475	0.085571	0.761955	652850
2.100000	0.150958	0.084032	0.765010	652850
2.118000	0.150087	0.083154	0.766760	652850
2.136000	0.148834	0.081743	0.769423	652850
2.154000	0.146556	0.079784	0.773660	652850
2.172000	0.145082	0.078621	0.776296	652850
2.190000	0.143126	0.076664	0.780210	652850
2.208000	0.141815	0.075235	0.782950	652850
2.226000	0.138624	0.072245	0.789131	652850
2.244000	0.137385	0.071117	0.791497	652850
2.262000	0.135608	0.069307	0.795085	652850
2.280000	0.134918	0.068660	0.796422	652850
2.298000	0.132815	0.066657	0.800528	652850
2.316000	0.131866	0.065998	0.802135	652850
2.334000	0.128706	0.062851	0.808443	652850
2.352000	0.124563	0.058837	0.816600	652850
2.370000	0.123103	0.057758	0.819139	652850
2.388000	0.121593	0.056557	0.821850	652850
2.406000	0.120734	0.055841	0.823425	652850
2.424000	0.118563	0.053570	0.827867	652850
2.442000	0.116394	0.051398	0.832208	652850
2.460000	0.115438	0.050635	0.833927	652850
2.478000	0.114235	0.049740	0.836025	652850
2.496000	0.112916	0.048408	0.838677	652850
2.514000	0.111297	0.047162	0.841541	652850
2.532000	0.109668	0.046127	0.844205	652850
2.550000	0.108763	0.045461	0.845776	652850
2.568000	0.107568	0.044320	0.848112	652850
2.586000	0.106374	0.043600	0.850027	652850
2.604000	0.104983	0.042546	0.852471	652850
2.622000	0.104162	0.042046	0.853792	652850
2.640000	0.103557	0.041618	0.854826	652850
2.658000	0.102841	0.041107	0.856051	652850
2.676000	0.101751	0.040481	0.857768	652850
2.694000	0.099885	0.039211	0.860904	652850
2.712000	0.098569	0.038402	0.863028	652850
2.730000	0.097370	0.037523	0.865107	652850
2.748000	0.096361	0.036785	0.866855	652850
2.766000	0.095270	0.036227	0.868503	652850
2.784000	0.092715	0.034544	0.872741	652850
2.802000	0.091597	0.033902	0.874501	652850
2.820000	0.090352	0.033216	0.876433	652850
2.838000	0.088714	0.032252	0.879033	652850
2.856000	0.087481	0.031551	0.880968	652850
2.874000	0.086498	0.031045	0.882457	652850
2.892000	0.084986	0.030246	0.884768	652850
2.910000	0.082854	0.028808	0.888339	652850
2.928000	0.082322	0.028536	0.889141	652850
2.946000	0.081088	0.027786	0.891127	652850
2.964000	0.079756	0.027120	0.893124	652850
2.982000	0.078951	0.026874	0.894175	652850
