# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 150
# Number of Events 63355
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.248078	0.046674	0.705248	63355
1.218000	0.242854	0.043327	0.713819	63355
1.236000	0.240076	0.040723	0.719201	63355
1.254000	0.237487	0.038624	0.723889	63355
1.272000	0.233336	0.036682	0.729982	63355
1.290000	0.229579	0.035372	0.735049	63355
1.308000	0.226202	0.034283	0.739515	63355
1.326000	0.223597	0.032373	0.744030	63355
1.344000	0.219556	0.030369	0.750075	63355
1.362000	0.211964	0.027322	0.760713	63355
1.380000	0.210986	0.026423	0.762592	63355
1.398000	0.206045	0.025223	0.768732	63355
1.416000	0.203425	0.024276	0.772299	63355
1.434000	0.202399	0.023992	0.773609	63355
1.452000	0.198579	0.023108	0.778313	63355
1.470000	0.197222	0.022776	0.780002	63355
1.488000	0.194334	0.022035	0.783632	63355
1.506000	0.191240	0.021198	0.787562	63355
1.524000	0.190798	0.021009	0.788194	63355
1.542000	0.187294	0.020125	0.792581	63355
1.560000	0.186584	0.019904	0.793513	63355
1.578000	0.185479	0.019777	0.794744	63355
1.596000	0.181375	0.018594	0.800032	63355
1.614000	0.181106	0.018483	0.800410	63355
1.632000	0.178991	0.017962	0.803046	63355
1.650000	0.174130	0.016842	0.809028	63355
1.668000	0.172662	0.016573	0.810765	63355
1.686000	0.170531	0.015973	0.813495	63355
1.704000	0.168385	0.015405	0.816210	63355
1.722000	0.164912	0.014916	0.820172	63355
1.740000	0.164502	0.014869	0.820630	63355
1.758000	0.161566	0.014206	0.824229	63355
1.776000	0.157130	0.013543	0.829327	63355
1.794000	0.157067	0.013511	0.829422	63355
1.812000	0.152806	0.012975	0.834220	63355
1.830000	0.152080	0.012690	0.835230	63355
1.848000	0.150280	0.012264	0.837456	63355
1.866000	0.147913	0.012059	0.840028	63355
1.884000	0.143935	0.011412	0.844653	63355
1.902000	0.143098	0.011191	0.845711	63355
1.920000	0.142057	0.010859	0.847084	63355
1.938000	0.141867	0.010828	0.847305	63355
1.956000	0.136864	0.010165	0.852971	63355
1.974000	0.135412	0.009928	0.854660	63355
1.992000	0.133675	0.009407	0.856917	63355
2.010000	0.132207	0.009328	0.858464	63355
2.028000	0.128640	0.008602	0.862757	63355
2.046000	0.127993	0.008397	0.863610	63355
2.064000	0.127472	0.008334	0.864194	63355
2.082000	0.125515	0.008129	0.866356	63355
2.100000	0.121648	0.007655	0.870697	63355
2.118000	0.120496	0.007419	0.872086	63355
2.136000	0.119391	0.007340	0.873270	63355
2.154000	0.117591	0.006898	0.875511	63355
2.172000	0.115224	0.006424	0.878352	63355
2.190000	0.114971	0.006408	0.878620	63355
2.208000	0.112919	0.006014	0.881067	63355
2.226000	0.112683	0.005998	0.881320	63355
2.244000	0.110836	0.005824	0.883340	63355
2.262000	0.109131	0.005635	0.885234	63355
2.280000	0.106921	0.005493	0.887586	63355
2.298000	0.106779	0.005493	0.887728	63355
2.316000	0.104522	0.005177	0.890301	63355
2.334000	0.100939	0.004783	0.894278	63355
2.352000	0.099598	0.004609	0.895794	63355
2.370000	0.098556	0.004530	0.896914	63355
2.388000	0.098051	0.004435	0.897514	63355
2.406000	0.097972	0.004404	0.897624	63355
2.424000	0.097404	0.004372	0.898224	63355
2.442000	0.094357	0.003978	0.901665	63355
2.460000	0.091548	0.003646	0.904806	63355
2.478000	0.089685	0.003488	0.906827	63355
2.496000	0.089480	0.003488	0.907032	63355
2.514000	0.089101	0.003441	0.907458	63355
2.532000	0.087665	0.003299	0.909036	63355
2.550000	0.085565	0.003188	0.911246	63355
2.568000	0.083340	0.002967	0.913693	63355
2.586000	0.082235	0.002967	0.914798	63355
2.604000	0.081477	0.002936	0.915587	63355
2.622000	0.078826	0.002699	0.918475	63355
2.640000	0.078194	0.002620	0.919186	63355
2.658000	0.078147	0.002620	0.919233	63355
2.676000	0.078084	0.002604	0.919312	63355
2.694000	0.077074	0.002510	0.920417	63355
2.712000	0.074580	0.002241	0.923179	63355
2.730000	0.073996	0.002194	0.923810	63355
2.748000	0.071281	0.002052	0.926667	63355
2.766000	0.069845	0.001973	0.928182	63355
2.784000	0.069608	0.001957	0.928435	63355
2.802000	0.068992	0.001926	0.929082	63355
2.820000	0.066972	0.001815	0.931213	63355
2.838000	0.065346	0.001689	0.932965	63355
2.856000	0.065172	0.001689	0.933139	63355
2.874000	0.063705	0.001578	0.934717	63355
2.892000	0.062521	0.001578	0.935901	63355
2.910000	0.059585	0.001515	0.938900	63355
2.928000	0.059395	0.001515	0.939089	63355
2.946000	0.058385	0.001499	0.940115	63355
2.964000	0.058070	0.001499	0.940431	63355
2.982000	0.057612	0.001452	0.940936	63355
