# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 693139
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.218910	0.464139	0.316951	693139
1.218000	0.195586	0.399082	0.405333	693139
1.236000	0.189655	0.383695	0.426650	693139
1.254000	0.180625	0.364862	0.454513	693139
1.272000	0.169659	0.338850	0.491492	693139
1.290000	0.149482	0.282151	0.568367	693139
1.308000	0.131333	0.232395	0.636272	693139
1.326000	0.125895	0.218490	0.655615	693139
1.344000	0.123264	0.210845	0.665891	693139
1.362000	0.110473	0.183334	0.706193	693139
1.380000	0.100322	0.159707	0.739971	693139
1.398000	0.086783	0.128088	0.785128	693139
1.416000	0.082646	0.118145	0.799209	693139
1.434000	0.079365	0.109929	0.810706	693139
1.452000	0.077940	0.107100	0.814961	693139
1.470000	0.075587	0.101922	0.822492	693139
1.488000	0.074523	0.099156	0.826321	693139
1.506000	0.071292	0.092947	0.835762	693139
1.524000	0.070779	0.091963	0.837258	693139
1.542000	0.065653	0.082276	0.852070	693139
1.560000	0.063944	0.079007	0.857049	693139
1.578000	0.063022	0.076969	0.860009	693139
1.596000	0.062054	0.074949	0.862997	693139
1.614000	0.061008	0.073322	0.865671	693139
1.632000	0.060862	0.073161	0.865976	693139
1.650000	0.059382	0.070572	0.870046	693139
1.668000	0.057651	0.067523	0.874826	693139
1.686000	0.054380	0.061918	0.883702	693139
1.704000	0.053616	0.060810	0.885574	693139
1.722000	0.051623	0.057583	0.890794	693139
1.740000	0.049433	0.054073	0.896494	693139
1.758000	0.046298	0.048906	0.904795	693139
1.776000	0.046098	0.048387	0.905515	693139
1.794000	0.044713	0.046106	0.909181	693139
1.812000	0.043946	0.044903	0.911151	693139
1.830000	0.040330	0.039353	0.920318	693139
1.848000	0.038699	0.036971	0.924330	693139
1.866000	0.038370	0.036512	0.925117	693139
1.884000	0.037795	0.035541	0.926664	693139
1.902000	0.036727	0.034074	0.929199	693139
1.920000	0.036629	0.033959	0.929412	693139
1.938000	0.032053	0.027727	0.940220	693139
1.956000	0.029480	0.024054	0.946465	693139
1.974000	0.029306	0.023835	0.946859	693139
1.992000	0.028489	0.022948	0.948563	693139
2.010000	0.027729	0.021841	0.950430	693139
2.028000	0.027325	0.021310	0.951365	693139
2.046000	0.026619	0.020487	0.952894	693139
2.064000	0.025902	0.019754	0.954344	693139
2.082000	0.025289	0.019126	0.955585	693139
2.100000	0.023930	0.017243	0.958826	693139
2.118000	0.023919	0.017201	0.958880	693139
2.136000	0.023707	0.016819	0.959474	693139
2.154000	0.023574	0.016531	0.959895	693139
2.172000	0.023450	0.016428	0.960122	693139
2.190000	0.022511	0.015551	0.961938	693139
2.208000	0.022350	0.015287	0.962363	693139
2.226000	0.022157	0.015115	0.962728	693139
2.244000	0.021991	0.014945	0.963064	693139
2.262000	0.021424	0.014515	0.964061	693139
2.280000	0.019630	0.012901	0.967470	693139
2.298000	0.019426	0.012683	0.967891	693139
2.316000	0.018633	0.012074	0.969293	693139
2.334000	0.018409	0.011947	0.969644	693139
2.352000	0.017203	0.010516	0.972281	693139
2.370000	0.017128	0.010379	0.972493	693139
2.388000	0.017051	0.010300	0.972649	693139
2.406000	0.016376	0.009363	0.974261	693139
2.424000	0.015685	0.008627	0.975687	693139
2.442000	0.015470	0.008320	0.976210	693139
2.460000	0.015425	0.008298	0.976276	693139
2.478000	0.015294	0.008107	0.976599	693139
2.496000	0.015281	0.008101	0.976618	693139
2.514000	0.015248	0.008082	0.976670	693139
2.532000	0.014548	0.007576	0.977876	693139
2.550000	0.014545	0.007573	0.977882	693139
2.568000	0.013521	0.006957	0.979522	693139
2.586000	0.012055	0.006036	0.981908	693139
2.604000	0.012018	0.006022	0.981960	693139
2.622000	0.012012	0.006019	0.981969	693139
2.640000	0.010581	0.004842	0.984577	693139
2.658000	0.010170	0.004716	0.985114	693139
2.676000	0.010061	0.004676	0.985263	693139
2.694000	0.008200	0.003610	0.988190	693139
2.712000	0.008183	0.003607	0.988210	693139
2.730000	0.008183	0.003607	0.988210	693139
2.748000	0.007496	0.003073	0.989431	693139
2.766000	0.007289	0.002934	0.989777	693139
2.784000	0.006864	0.002692	0.990443	693139
2.802000	0.006553	0.002467	0.990980	693139
2.820000	0.006401	0.002326	0.991273	693139
2.838000	0.006081	0.002163	0.991756	693139
2.856000	0.005882	0.002065	0.992054	693139
2.874000	0.005762	0.002024	0.992214	693139
2.892000	0.005632	0.001971	0.992397	693139
2.910000	0.005616	0.001964	0.992420	693139
2.928000	0.005585	0.001956	0.992459	693139
2.946000	0.004735	0.001603	0.993662	693139
2.964000	0.003898	0.001359	0.994743	693139
2.982000	0.003836	0.001346	0.994818	693139
