# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 200
# Number of Events 51774
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.491289	0.468942	0.039769	51774
1.218000	0.488160	0.459980	0.051860	51774
1.236000	0.486982	0.456986	0.056032	51774
1.254000	0.485128	0.453703	0.061170	51774
1.272000	0.483737	0.451964	0.064299	51774
1.290000	0.483100	0.451211	0.065689	51774
1.308000	0.481130	0.447561	0.071310	51774
1.326000	0.478541	0.440337	0.081122	51774
1.344000	0.476050	0.434098	0.089852	51774
1.362000	0.471994	0.426179	0.101827	51774
1.380000	0.469039	0.420192	0.110770	51774
1.398000	0.467339	0.417410	0.115251	51774
1.416000	0.463205	0.408892	0.127902	51774
1.434000	0.461467	0.405532	0.133001	51774
1.452000	0.458242	0.399815	0.141944	51774
1.470000	0.453548	0.392765	0.153687	51774
1.488000	0.450129	0.386082	0.163789	51774
1.506000	0.447039	0.381446	0.171515	51774
1.524000	0.443891	0.376115	0.179994	51774
1.542000	0.438908	0.367752	0.193340	51774
1.560000	0.435006	0.361571	0.203423	51774
1.578000	0.430718	0.354560	0.214722	51774
1.596000	0.426565	0.349268	0.224167	51774
1.614000	0.423185	0.343802	0.233013	51774
1.632000	0.418183	0.336559	0.245258	51774
1.650000	0.414204	0.330088	0.255707	51774
1.668000	0.410071	0.323773	0.266157	51774
1.686000	0.405570	0.316626	0.277804	51774
1.704000	0.401765	0.311334	0.286901	51774
1.722000	0.397729	0.305636	0.296635	51774
1.740000	0.392456	0.298007	0.309538	51774
1.758000	0.387955	0.290938	0.321107	51774
1.776000	0.382991	0.284409	0.332599	51774
1.794000	0.377757	0.276548	0.345695	51774
1.812000	0.373218	0.269749	0.357032	51774
1.830000	0.369123	0.264051	0.366825	51774
1.848000	0.365106	0.258489	0.376405	51774
1.866000	0.360393	0.252656	0.386951	51774
1.884000	0.354637	0.246958	0.398405	51774
1.902000	0.351103	0.241048	0.407849	51774
1.920000	0.346989	0.235408	0.417603	51774
1.938000	0.342353	0.230077	0.427570	51774
1.956000	0.337718	0.224920	0.437362	51774
1.974000	0.335284	0.222370	0.442346	51774
1.992000	0.330668	0.217117	0.452215	51774
2.010000	0.324719	0.209893	0.465388	51774
2.028000	0.318133	0.203770	0.478097	51774
2.046000	0.315680	0.201588	0.482733	51774
2.064000	0.312879	0.198111	0.489010	51774
2.082000	0.307355	0.192703	0.499942	51774
2.100000	0.301541	0.185672	0.512786	51774
2.118000	0.297543	0.180844	0.521613	51774
2.136000	0.294105	0.177676	0.528219	51774
2.154000	0.288967	0.172751	0.538282	51774
2.172000	0.284255	0.167574	0.548171	51774
2.190000	0.280817	0.164021	0.555163	51774
2.208000	0.276394	0.160158	0.563449	51774
2.226000	0.271816	0.155387	0.572797	51774
2.244000	0.268803	0.152528	0.578669	51774
2.262000	0.261541	0.144976	0.593483	51774
2.280000	0.257639	0.142002	0.600359	51774
2.298000	0.254201	0.139240	0.606559	51774
2.316000	0.251111	0.135995	0.612895	51774
2.334000	0.246591	0.132460	0.620949	51774
2.352000	0.242593	0.129409	0.627999	51774
2.370000	0.238344	0.125835	0.635821	51774
2.388000	0.233167	0.120601	0.646232	51774
2.406000	0.227469	0.116004	0.656526	51774
2.424000	0.222351	0.111716	0.665933	51774
2.442000	0.220400	0.110499	0.669100	51774
2.460000	0.216672	0.107486	0.675841	51774
2.478000	0.212925	0.103932	0.683142	51774
2.496000	0.209738	0.101750	0.688512	51774
2.514000	0.206455	0.099142	0.694403	51774
2.532000	0.202978	0.096110	0.700912	51774
2.550000	0.199115	0.093522	0.707363	51774
2.568000	0.195291	0.090277	0.714432	51774
2.586000	0.191544	0.087167	0.721289	51774
2.604000	0.187372	0.084656	0.727972	51774
2.622000	0.183683	0.081798	0.734519	51774
2.640000	0.179646	0.078669	0.741685	51774
2.658000	0.177000	0.077162	0.745838	51774
2.676000	0.172925	0.074535	0.752540	51774
2.694000	0.170626	0.073029	0.756345	51774
2.712000	0.167381	0.070093	0.762526	51774
2.730000	0.165353	0.068702	0.765944	51774
2.748000	0.162417	0.066481	0.771101	51774
2.766000	0.160640	0.065245	0.774114	51774
2.784000	0.157666	0.063217	0.779117	51774
2.802000	0.155271	0.061730	0.782999	51774
2.820000	0.153088	0.060243	0.786669	51774
2.838000	0.149264	0.057461	0.793275	51774
2.856000	0.146985	0.056032	0.796983	51774
2.874000	0.144300	0.054294	0.801406	51774
2.892000	0.140650	0.052072	0.807278	51774
2.910000	0.138448	0.050740	0.810812	51774
2.928000	0.136188	0.049446	0.814366	51774
2.946000	0.132673	0.047707	0.819620	51774
2.964000	0.130007	0.046510	0.823483	51774
2.982000	0.127863	0.044965	0.827172	51774
