# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 200
# Number of Events 59042
# k_cut 	 Tags 	 MissTags 	 Total_Events 
1.200000	0.558619	0.441381	59042
1.218000	0.561346	0.438654	58007
1.236000	0.566077	0.433923	56434
1.254000	0.572225	0.427775	54891
1.272000	0.577461	0.422539	53756
1.290000	0.580578	0.419422	53135
1.308000	0.583782	0.416218	52165
1.326000	0.584800	0.415200	51633
1.344000	0.591812	0.408188	50173
1.362000	0.592620	0.407380	49811
1.380000	0.598001	0.401999	48515
1.398000	0.600752	0.399248	47602
1.416000	0.606902	0.393098	46047
1.434000	0.607562	0.392438	45332
1.452000	0.611418	0.388582	44526
1.470000	0.616914	0.383086	43207
1.488000	0.619769	0.380231	42461
1.506000	0.624356	0.375644	41715
1.524000	0.632022	0.367978	40285
1.542000	0.637351	0.362649	39239
1.560000	0.645552	0.354448	37825
1.578000	0.650142	0.349858	36975
1.596000	0.658252	0.341748	35889
1.614000	0.668763	0.331237	34181
1.632000	0.673835	0.326165	33247
1.650000	0.678733	0.321267	32624
1.668000	0.688296	0.311704	31023
1.686000	0.694057	0.305943	30290
1.704000	0.700632	0.299368	29579
1.722000	0.704942	0.295058	29096
1.740000	0.708654	0.291346	28564
1.758000	0.716677	0.283323	27601
1.776000	0.724031	0.275969	26724
1.794000	0.726432	0.273568	26381
1.812000	0.734092	0.265908	25648
1.830000	0.738932	0.261068	25162
1.848000	0.743231	0.256769	24633
1.866000	0.749509	0.250491	23925
1.884000	0.750737	0.249263	23754
1.902000	0.754062	0.245938	23449
1.920000	0.759554	0.240446	22845
1.938000	0.764071	0.235929	22439
1.956000	0.769056	0.230944	21988
1.974000	0.771646	0.228354	21725
1.992000	0.774681	0.225319	21423
2.010000	0.777002	0.222998	21211
2.028000	0.778927	0.221073	20785
2.046000	0.780786	0.219214	20464
2.064000	0.784963	0.215037	20057
2.082000	0.785424	0.214576	19965
2.100000	0.788572	0.211428	19671
2.118000	0.790150	0.209850	19309
2.136000	0.793105	0.206895	19058
2.154000	0.796851	0.203149	18735
2.172000	0.801205	0.198795	18421
2.190000	0.802639	0.197361	18266
2.208000	0.804825	0.195175	18030
2.226000	0.806979	0.193021	17796
2.244000	0.809267	0.190733	17632
2.262000	0.811219	0.188781	17470
2.280000	0.814925	0.185075	17166
2.298000	0.817817	0.182183	16928
2.316000	0.821373	0.178627	16582
2.334000	0.823670	0.176330	16333
2.352000	0.826611	0.173389	16091
2.370000	0.827867	0.172133	15976
2.388000	0.829674	0.170326	15758
2.406000	0.829968	0.170032	15697
2.424000	0.830672	0.169328	15591
2.442000	0.832338	0.167662	15400
2.460000	0.834259	0.165741	15301
2.478000	0.839674	0.160326	14851
2.496000	0.842213	0.157787	14602
2.514000	0.843396	0.156604	14476
2.532000	0.844717	0.155283	14348
2.550000	0.845494	0.154506	14226
2.568000	0.846486	0.153514	14116
2.586000	0.850188	0.149812	13824
2.604000	0.853263	0.146737	13514
2.622000	0.855468	0.144532	13305
2.640000	0.857862	0.142138	13114
2.658000	0.860103	0.139897	12981
2.676000	0.860864	0.139136	12822
2.694000	0.863209	0.136791	12669
2.712000	0.865009	0.134991	12586
2.730000	0.866640	0.133360	12470
2.748000	0.868001	0.131999	12394
2.766000	0.871106	0.128894	12134
2.784000	0.872907	0.127093	11944
2.802000	0.873711	0.126289	11830
2.820000	0.874989	0.125011	11719
2.838000	0.876568	0.123432	11561
2.856000	0.876979	0.123021	11494
2.874000	0.877085	0.122915	11390
2.892000	0.878456	0.121544	11247
2.910000	0.883504	0.116496	10833
2.928000	0.883686	0.116314	10721
2.946000	0.884387	0.115613	10613
2.964000	0.886187	0.113813	10447
2.982000	0.889019	0.110981	10227
