# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 621954
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.291874	0.276348	0.431778	621954
1.218000	0.284072	0.263093	0.452834	621954
1.236000	0.280088	0.256599	0.463312	621954
1.254000	0.275491	0.248846	0.475662	621954
1.272000	0.270012	0.239978	0.490011	621954
1.290000	0.264097	0.230396	0.505507	621954
1.308000	0.257984	0.220230	0.521786	621954
1.326000	0.253123	0.212689	0.534187	621954
1.344000	0.249883	0.207885	0.542231	621954
1.362000	0.245115	0.200615	0.554271	621954
1.380000	0.241712	0.195376	0.562911	621954
1.398000	0.237543	0.189233	0.573224	621954
1.416000	0.233840	0.183920	0.582239	621954
1.434000	0.230136	0.178706	0.591158	621954
1.452000	0.226075	0.173047	0.600879	621954
1.470000	0.220904	0.165651	0.613446	621954
1.488000	0.216164	0.159065	0.624771	621954
1.506000	0.212995	0.154704	0.632301	621954
1.524000	0.209130	0.149342	0.641528	621954
1.542000	0.206023	0.145080	0.648897	621954
1.560000	0.203941	0.142364	0.653695	621954
1.578000	0.200939	0.138340	0.660721	621954
1.596000	0.198412	0.135123	0.666466	621954
1.614000	0.195270	0.131281	0.673449	621954
1.632000	0.193247	0.128365	0.678388	621954
1.650000	0.190477	0.125077	0.684446	621954
1.668000	0.187414	0.121382	0.691204	621954
1.686000	0.184253	0.117597	0.698150	621954
1.704000	0.181898	0.114616	0.703486	621954
1.722000	0.178671	0.110981	0.710348	621954
1.740000	0.176565	0.108429	0.715006	621954
1.758000	0.173215	0.104238	0.722547	621954
1.776000	0.170194	0.100565	0.729240	621954
1.794000	0.167701	0.097724	0.734575	621954
1.812000	0.165525	0.095234	0.739241	621954
1.830000	0.163329	0.092915	0.743756	621954
1.848000	0.161631	0.091158	0.747211	621954
1.866000	0.159210	0.088439	0.752351	621954
1.884000	0.157812	0.086995	0.755193	621954
1.902000	0.156459	0.085506	0.758035	621954
1.920000	0.154510	0.083413	0.762077	621954
1.938000	0.153140	0.081984	0.764877	621954
1.956000	0.151648	0.080480	0.767872	621954
1.974000	0.149617	0.078565	0.771818	621954
1.992000	0.147656	0.076724	0.775620	621954
2.010000	0.145318	0.074576	0.780106	621954
2.028000	0.143178	0.072682	0.784140	621954
2.046000	0.141514	0.071208	0.787278	621954
2.064000	0.140145	0.069933	0.789922	621954
2.082000	0.138415	0.068229	0.793356	621954
2.100000	0.136089	0.066023	0.797889	621954
2.118000	0.134238	0.064204	0.801558	621954
2.136000	0.132129	0.062313	0.805558	621954
2.154000	0.130215	0.060652	0.809132	621954
2.172000	0.128230	0.058930	0.812840	621954
2.190000	0.126365	0.057411	0.816224	621954
2.208000	0.125020	0.056292	0.818688	621954
2.226000	0.123559	0.055030	0.821411	621954
2.244000	0.121752	0.053528	0.824720	621954
2.262000	0.119769	0.051885	0.828346	621954
2.280000	0.117993	0.050359	0.831648	621954
2.298000	0.116415	0.049087	0.834497	621954
2.316000	0.115264	0.048187	0.836549	621954
2.334000	0.113983	0.047294	0.838723	621954
2.352000	0.112243	0.046097	0.841660	621954
2.370000	0.111015	0.045119	0.843866	621954
2.388000	0.109926	0.044389	0.845685	621954
2.406000	0.108641	0.043495	0.847863	621954
2.424000	0.106797	0.042101	0.851102	621954
2.442000	0.105378	0.041127	0.853496	621954
2.460000	0.103381	0.039633	0.856986	621954
2.478000	0.102617	0.039193	0.858190	621954
2.496000	0.101098	0.038029	0.860874	621954
2.514000	0.100351	0.037488	0.862160	621954
2.532000	0.098805	0.036363	0.864832	621954
2.550000	0.097051	0.035160	0.867789	621954
2.568000	0.094935	0.033646	0.871420	621954
2.586000	0.093274	0.032406	0.874320	621954
2.604000	0.091873	0.031443	0.876684	621954
2.622000	0.090471	0.030459	0.879070	621954
2.640000	0.088651	0.029385	0.881964	621954
2.658000	0.087568	0.028719	0.883713	621954
2.676000	0.085720	0.027584	0.886696	621954
2.694000	0.084403	0.026872	0.888725	621954
2.712000	0.082448	0.025848	0.891704	621954
2.730000	0.081554	0.025420	0.893026	621954
2.748000	0.080762	0.024960	0.894278	621954
2.766000	0.079589	0.024327	0.896084	621954
2.784000	0.078795	0.023912	0.897293	621954
2.802000	0.078022	0.023582	0.898396	621954
2.820000	0.076822	0.022990	0.900187	621954
2.838000	0.076068	0.022609	0.901322	621954
2.856000	0.075137	0.022098	0.902765	621954
2.874000	0.074129	0.021527	0.904343	621954
2.892000	0.073560	0.021296	0.905144	621954
2.910000	0.072499	0.020818	0.906683	621954
2.928000	0.071812	0.020452	0.907736	621954
2.946000	0.071195	0.020130	0.908675	621954
2.964000	0.069714	0.019360	0.910926	621954
2.982000	0.068404	0.018689	0.912907	621954
