# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 565835
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.339723	0.265742	0.394536	565835
1.218000	0.328032	0.248728	0.423240	565835
1.236000	0.327095	0.247535	0.425370	565835
1.254000	0.316902	0.236392	0.446706	565835
1.272000	0.315859	0.235424	0.448717	565835
1.290000	0.306337	0.224698	0.468965	565835
1.308000	0.304550	0.223178	0.472272	565835
1.326000	0.297910	0.215125	0.486965	565835
1.344000	0.296555	0.212311	0.491134	565835
1.362000	0.296148	0.211871	0.491981	565835
1.380000	0.289934	0.203915	0.506151	565835
1.398000	0.284350	0.197741	0.517909	565835
1.416000	0.283933	0.197224	0.518844	565835
1.434000	0.277664	0.191727	0.530609	565835
1.452000	0.276252	0.189737	0.534011	565835
1.470000	0.272977	0.186240	0.540783	565835
1.488000	0.263660	0.175763	0.560577	565835
1.506000	0.260445	0.171276	0.568279	565835
1.524000	0.250951	0.157267	0.591782	565835
1.542000	0.244138	0.150885	0.604977	565835
1.560000	0.242785	0.149489	0.607727	565835
1.578000	0.238055	0.145656	0.616289	565835
1.596000	0.231783	0.136773	0.631444	565835
1.614000	0.230396	0.135299	0.634305	565835
1.632000	0.229615	0.134619	0.635767	565835
1.650000	0.222987	0.128833	0.648180	565835
1.668000	0.217788	0.123121	0.659091	565835
1.686000	0.217408	0.122797	0.659795	565835
1.704000	0.213932	0.119662	0.666406	565835
1.722000	0.213173	0.118881	0.667946	565835
1.740000	0.212194	0.117555	0.670250	565835
1.758000	0.210466	0.115986	0.673548	565835
1.776000	0.209971	0.115438	0.674591	565835
1.794000	0.203784	0.110248	0.685969	565835
1.812000	0.201928	0.108767	0.689305	565835
1.830000	0.197123	0.104879	0.697999	565835
1.848000	0.193274	0.101312	0.705414	565835
1.866000	0.192475	0.100432	0.707093	565835
1.884000	0.191961	0.100017	0.708023	565835
1.902000	0.188824	0.097415	0.713761	565835
1.920000	0.187537	0.096328	0.716135	565835
1.938000	0.181905	0.092288	0.725807	565835
1.956000	0.177880	0.088517	0.733603	565835
1.974000	0.170172	0.080598	0.749231	565835
1.992000	0.163526	0.072991	0.763482	565835
2.010000	0.163127	0.072684	0.764189	565835
2.028000	0.162876	0.072272	0.764852	565835
2.046000	0.159387	0.070280	0.770332	565835
2.064000	0.157207	0.068866	0.773927	565835
2.082000	0.155282	0.067779	0.776939	565835
2.100000	0.154338	0.067207	0.778455	565835
2.118000	0.154151	0.067126	0.778723	565835
2.136000	0.153607	0.066754	0.779639	565835
2.154000	0.152868	0.066382	0.780751	565835
2.172000	0.152670	0.066258	0.781072	565835
2.190000	0.150782	0.065044	0.784174	565835
2.208000	0.148344	0.063725	0.787931	565835
2.226000	0.146990	0.062594	0.790416	565835
2.244000	0.145157	0.061476	0.793367	565835
2.262000	0.141407	0.058978	0.799615	565835
2.280000	0.137639	0.056529	0.805832	565835
2.298000	0.137535	0.056471	0.805995	565835
2.316000	0.135442	0.055048	0.809510	565835
2.334000	0.130082	0.050559	0.819359	565835
2.352000	0.120677	0.043320	0.836003	565835
2.370000	0.120523	0.043209	0.836269	565835
2.388000	0.116172	0.041084	0.842744	565835
2.406000	0.113975	0.039665	0.846360	565835
2.424000	0.113910	0.039616	0.846475	565835
2.442000	0.112095	0.038789	0.849117	565835
2.460000	0.111502	0.038488	0.850009	565835
2.478000	0.110237	0.037891	0.851872	565835
2.496000	0.109189	0.037315	0.853496	565835
2.514000	0.109164	0.037301	0.853535	565835
2.532000	0.107779	0.036583	0.855638	565835
2.550000	0.107763	0.036569	0.855668	565835
2.568000	0.101480	0.033239	0.865281	565835
2.586000	0.095964	0.029973	0.874062	565835
2.604000	0.090397	0.026469	0.883134	565835
2.622000	0.089213	0.025891	0.884896	565835
2.640000	0.086803	0.024723	0.888475	565835
2.658000	0.084454	0.023885	0.891661	565835
2.676000	0.082298	0.022784	0.894918	565835
2.694000	0.080262	0.021994	0.897744	565835
2.712000	0.079007	0.021508	0.899485	565835
2.730000	0.073232	0.018938	0.907830	565835
2.748000	0.072125	0.018553	0.909322	565835
2.766000	0.064075	0.014815	0.921110	565835
2.784000	0.063633	0.014669	0.921698	565835
2.802000	0.061878	0.014020	0.924102	565835
2.820000	0.056004	0.011912	0.932084	565835
2.838000	0.052153	0.010673	0.937174	565835
2.856000	0.047358	0.009261	0.943381	565835
2.874000	0.043970	0.008174	0.947856	565835
2.892000	0.041689	0.007462	0.950850	565835
2.910000	0.035137	0.005719	0.959144	565835
2.928000	0.031182	0.004865	0.963952	565835
2.946000	0.026775	0.004118	0.969108	565835
2.964000	0.022574	0.003452	0.973975	565835
2.982000	0.018744	0.002962	0.978294	565835
