# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 0
# Number of Events 565835
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.279285	0.218088	0.502627	565835
1.218000	0.267757	0.202381	0.529863	565835
1.236000	0.259318	0.190536	0.550146	565835
1.254000	0.253030	0.181961	0.565009	565835
1.272000	0.250660	0.178287	0.571053	565835
1.290000	0.247798	0.174219	0.577983	565835
1.308000	0.245646	0.170783	0.583571	565835
1.326000	0.243279	0.167195	0.589525	565835
1.344000	0.241475	0.164645	0.593880	565835
1.362000	0.239787	0.162551	0.597662	565835
1.380000	0.237477	0.159732	0.602791	565835
1.398000	0.235448	0.157468	0.607083	565835
1.416000	0.232851	0.154679	0.612470	565835
1.434000	0.229215	0.151016	0.619769	565835
1.452000	0.227178	0.149075	0.623747	565835
1.470000	0.222036	0.143752	0.634211	565835
1.488000	0.219295	0.140840	0.639865	565835
1.506000	0.217297	0.137867	0.644836	565835
1.524000	0.215750	0.135658	0.648592	565835
1.542000	0.214879	0.134500	0.650621	565835
1.560000	0.213225	0.132456	0.654320	565835
1.578000	0.207969	0.126758	0.665273	565835
1.596000	0.203515	0.121161	0.675324	565835
1.614000	0.198547	0.115295	0.686158	565835
1.632000	0.195204	0.111324	0.693472	565835
1.650000	0.195036	0.111117	0.693847	565835
1.668000	0.194887	0.110969	0.694144	565835
1.686000	0.194125	0.110315	0.695560	565835
1.704000	0.193219	0.109599	0.697182	565835
1.722000	0.192388	0.108956	0.698656	565835
1.740000	0.190485	0.107450	0.702065	565835
1.758000	0.188083	0.105368	0.706549	565835
1.776000	0.186537	0.104156	0.709307	565835
1.794000	0.183591	0.101876	0.714533	565835
1.812000	0.182592	0.100982	0.716426	565835
1.830000	0.180420	0.099191	0.720388	565835
1.848000	0.178101	0.097253	0.724646	565835
1.866000	0.174410	0.094277	0.731314	565835
1.884000	0.172275	0.092485	0.735241	565835
1.902000	0.170325	0.090525	0.739150	565835
1.920000	0.169000	0.089021	0.741980	565835
1.938000	0.167538	0.087494	0.744968	565835
1.956000	0.161964	0.082227	0.755809	565835
1.974000	0.158348	0.078666	0.762986	565835
1.992000	0.156123	0.076752	0.767125	565835
2.010000	0.150684	0.071227	0.778089	565835
2.028000	0.150392	0.071033	0.778575	565835
2.046000	0.149973	0.070729	0.779298	565835
2.064000	0.149540	0.070362	0.780098	565835
2.082000	0.148922	0.069842	0.781237	565835
2.100000	0.148439	0.069465	0.782095	565835
2.118000	0.147156	0.068658	0.784186	565835
2.136000	0.145960	0.067871	0.786169	565835
2.154000	0.144252	0.066689	0.789059	565835
2.172000	0.142018	0.065137	0.792844	565835
2.190000	0.140016	0.063814	0.796170	565835
2.208000	0.137666	0.062439	0.799896	565835
2.226000	0.133963	0.060200	0.805837	565835
2.244000	0.131788	0.058775	0.809437	565835
2.262000	0.127044	0.055209	0.817747	565835
2.280000	0.121557	0.050646	0.827798	565835
2.298000	0.116490	0.046685	0.836825	565835
2.316000	0.112155	0.043090	0.844755	565835
2.334000	0.111799	0.042808	0.845393	565835
2.352000	0.111706	0.042728	0.845566	565835
2.370000	0.111571	0.042587	0.845842	565835
2.388000	0.111492	0.042541	0.845967	565835
2.406000	0.111430	0.042504	0.846066	565835
2.424000	0.111368	0.042465	0.846167	565835
2.442000	0.111236	0.042367	0.846397	565835
2.460000	0.108353	0.040885	0.850762	565835
2.478000	0.106869	0.040045	0.853086	565835
2.496000	0.104585	0.038677	0.856737	565835
2.514000	0.099299	0.035572	0.865129	565835
2.532000	0.091659	0.030534	0.877807	565835
2.550000	0.086440	0.027374	0.886186	565835
2.568000	0.085308	0.026762	0.887930	565835
2.586000	0.084625	0.026395	0.888980	565835
2.604000	0.083208	0.025755	0.891037	565835
2.622000	0.082406	0.025318	0.892276	565835
2.640000	0.081948	0.025066	0.892986	565835
2.658000	0.079931	0.024230	0.895839	565835
2.676000	0.075561	0.022100	0.902339	565835
2.694000	0.070464	0.019631	0.909905	565835
2.712000	0.065470	0.017263	0.917267	565835
2.730000	0.062971	0.016319	0.920710	565835
2.748000	0.060516	0.015236	0.924248	565835
2.766000	0.057170	0.013819	0.929011	565835
2.784000	0.054859	0.012847	0.932295	565835
2.802000	0.051648	0.011616	0.936736	565835
2.820000	0.048638	0.010521	0.940841	565835
2.838000	0.044849	0.009344	0.945808	565835
2.856000	0.041717	0.008359	0.949924	565835
2.874000	0.038805	0.007416	0.953780	565835
2.892000	0.034715	0.006380	0.958905	565835
2.910000	0.031921	0.005652	0.962427	565835
2.928000	0.028298	0.004910	0.966792	565835
2.946000	0.025193	0.004277	0.970530	565835
2.964000	0.021068	0.003657	0.975275	565835
2.982000	0.018355	0.003321	0.978324	565835
