# Number of Tags, Misstags and Rejected as a function of k
# Number of Events
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.301322	0.396051	0.302627	652830
1.218000	0.286519	0.353241	0.360241	652830
1.236000	0.282277	0.346867	0.370856	652830
1.254000	0.277663	0.339343	0.382994	652830
1.272000	0.270753	0.326396	0.402851	652830
1.290000	0.263163	0.314376	0.422461	652830
1.308000	0.259360	0.307075	0.433565	652830
1.326000	0.255292	0.299810	0.444898	652830
1.344000	0.250564	0.291137	0.458298	652830
1.362000	0.247559	0.285578	0.466863	652830
1.380000	0.242647	0.277282	0.480071	652830
1.398000	0.237648	0.266003	0.496348	652830
1.416000	0.234574	0.261123	0.504303	652830
1.434000	0.225043	0.243844	0.531112	652830
1.452000	0.221543	0.238508	0.539949	652830
1.470000	0.216553	0.228638	0.554809	652830
1.488000	0.208959	0.216448	0.574592	652830
1.506000	0.201111	0.204052	0.594838	652830
1.524000	0.199828	0.201595	0.598577	652830
1.542000	0.192431	0.190365	0.617204	652830
1.560000	0.190357	0.186932	0.622710	652830
1.578000	0.188289	0.184207	0.627503	652830
1.596000	0.186387	0.181842	0.631771	652830
1.614000	0.183398	0.178245	0.638356	652830
1.632000	0.181059	0.173318	0.645623	652830
1.650000	0.175398	0.166772	0.657830	652830
1.668000	0.171827	0.162745	0.665427	652830
1.686000	0.169186	0.158896	0.671918	652830
1.704000	0.165063	0.152462	0.682475	652830
1.722000	0.158720	0.145110	0.696171	652830
1.740000	0.155711	0.141395	0.702894	652830
1.758000	0.151726	0.135305	0.712970	652830
1.776000	0.147213	0.129360	0.723427	652830
1.794000	0.143010	0.123963	0.733027	652830
1.812000	0.138822	0.118336	0.742843	652830
1.830000	0.134426	0.112280	0.753294	652830
1.848000	0.132440	0.110369	0.757191	652830
1.866000	0.128176	0.106218	0.765607	652830
1.884000	0.127476	0.105573	0.766952	652830
1.902000	0.124717	0.102808	0.772475	652830
1.920000	0.122890	0.100697	0.776413	652830
1.938000	0.118939	0.095866	0.785195	652830
1.956000	0.114982	0.092421	0.792597	652830
1.974000	0.111508	0.087965	0.800527	652830
1.992000	0.109358	0.086157	0.804485	652830
2.010000	0.105900	0.081622	0.812478	652830
2.028000	0.100498	0.076167	0.823335	652830
2.046000	0.098870	0.074869	0.826261	652830
2.064000	0.096670	0.072204	0.831126	652830
2.082000	0.092594	0.069268	0.838139	652830
2.100000	0.089368	0.065025	0.845608	652830
2.118000	0.088478	0.063804	0.847718	652830
2.136000	0.086479	0.062058	0.851464	652830
2.154000	0.084117	0.059673	0.856211	652830
2.172000	0.079656	0.055926	0.864418	652830
2.190000	0.075726	0.052609	0.871665	652830
2.208000	0.075239	0.052396	0.872365	652830
2.226000	0.073241	0.050986	0.875773	652830
2.244000	0.070858	0.048748	0.880395	652830
2.262000	0.069502	0.047726	0.882772	652830
2.280000	0.066339	0.045186	0.888475	652830
2.298000	0.064259	0.043452	0.892289	652830
2.316000	0.063278	0.042558	0.894164	652830
2.334000	0.061598	0.041145	0.897257	652830
2.352000	0.058804	0.039332	0.901864	652830
2.370000	0.057746	0.038005	0.904249	652830
2.388000	0.055385	0.036265	0.908350	652830
2.406000	0.051716	0.033509	0.914774	652830
2.424000	0.051505	0.033396	0.915099	652830
2.442000	0.049915	0.032388	0.917697	652830
2.460000	0.049129	0.031717	0.919154	652830
2.478000	0.047495	0.030567	0.921938	652830
2.496000	0.046406	0.029755	0.923839	652830
2.514000	0.045779	0.029406	0.924815	652830
2.532000	0.044670	0.028808	0.926521	652830
2.550000	0.043281	0.027827	0.928893	652830
2.568000	0.040352	0.025296	0.934352	652830
2.586000	0.039897	0.024850	0.935253	652830
2.604000	0.038889	0.024068	0.937043	652830
2.622000	0.038474	0.023855	0.937671	652830
2.640000	0.035283	0.021876	0.942841	652830
2.658000	0.034410	0.021303	0.944287	652830
2.676000	0.032603	0.019763	0.947634	652830
2.694000	0.031852	0.019408	0.948740	652830
2.712000	0.031210	0.018971	0.949818	652830
2.730000	0.030519	0.018293	0.951188	652830
2.748000	0.029930	0.017850	0.952220	652830
2.766000	0.029404	0.017536	0.953060	652830
2.784000	0.029116	0.017328	0.953556	652830
2.802000	0.028274	0.016925	0.954801	652830
2.820000	0.025226	0.014691	0.960083	652830
2.838000	0.024261	0.014285	0.961454	652830
2.856000	0.022445	0.013023	0.964531	652830
2.874000	0.022209	0.012803	0.964988	652830
2.892000	0.021827	0.012530	0.965643	652830
2.910000	0.021727	0.012483	0.965790	652830
2.928000	0.020969	0.012135	0.966896	652830
2.946000	0.020901	0.012103	0.966996	652830
2.964000	0.020725	0.012032	0.967243	652830
2.982000	0.019294	0.010932	0.969773	652830
