# Number of Tags, Misstags and Rejected as a function of k
# Number of Events
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.000000	0.332534	0.667466	896101
1.218000	0.000000	0.302672	0.697328	896101
1.236000	0.000000	0.287146	0.712854	896101
1.254000	0.000000	0.279294	0.720706	896101
1.272000	0.000000	0.265068	0.734932	896101
1.290000	0.000000	0.251774	0.748226	896101
1.308000	0.000000	0.243217	0.756783	896101
1.326000	0.000000	0.231336	0.768664	896101
1.344000	0.000000	0.222466	0.777534	896101
1.362000	0.000000	0.216477	0.783523	896101
1.380000	0.000000	0.206227	0.793773	896101
1.398000	0.000000	0.195183	0.804817	896101
1.416000	0.000000	0.189125	0.810875	896101
1.434000	0.000000	0.183519	0.816481	896101
1.452000	0.000000	0.177338	0.822662	896101
1.470000	0.000000	0.167065	0.832935	896101
1.488000	0.000000	0.156324	0.843676	896101
1.506000	0.000000	0.148474	0.851526	896101
1.524000	0.000000	0.138732	0.861268	896101
1.542000	0.000000	0.126284	0.873716	896101
1.560000	0.000000	0.117672	0.882328	896101
1.578000	0.000000	0.107437	0.892563	896101
1.596000	0.000000	0.103660	0.896340	896101
1.614000	0.000000	0.100764	0.899236	896101
1.632000	0.000000	0.098319	0.901681	896101
1.650000	0.000000	0.094916	0.905084	896101
1.668000	0.000000	0.092173	0.907827	896101
1.686000	0.000000	0.091057	0.908943	896101
1.704000	0.000000	0.088972	0.911028	896101
1.722000	0.000000	0.086894	0.913106	896101
1.740000	0.000000	0.086528	0.913472	896101
1.758000	0.000000	0.083581	0.916419	896101
1.776000	0.000000	0.081861	0.918139	896101
1.794000	0.000000	0.080161	0.919839	896101
1.812000	0.000000	0.078297	0.921703	896101
1.830000	0.000000	0.077466	0.922534	896101
1.848000	0.000000	0.075757	0.924243	896101
1.866000	0.000000	0.074372	0.925628	896101
1.884000	0.000000	0.073381	0.926619	896101
1.902000	0.000000	0.072818	0.927182	896101
1.920000	0.000000	0.071927	0.928073	896101
1.938000	0.000000	0.071645	0.928355	896101
1.956000	0.000000	0.070186	0.929814	896101
1.974000	0.000000	0.069539	0.930461	896101
1.992000	0.000000	0.067115	0.932885	896101
2.010000	0.000000	0.064604	0.935396	896101
2.028000	0.000000	0.062488	0.937512	896101
2.046000	0.000000	0.060662	0.939338	896101
2.064000	0.000000	0.059729	0.940271	896101
2.082000	0.000000	0.058499	0.941501	896101
2.100000	0.000000	0.057962	0.942038	896101
2.118000	0.000000	0.057366	0.942634	896101
2.136000	0.000000	0.055517	0.944483	896101
2.154000	0.000000	0.052699	0.947301	896101
2.172000	0.000000	0.050165	0.949835	896101
2.190000	0.000000	0.048107	0.951893	896101
2.208000	0.000000	0.046624	0.953376	896101
2.226000	0.000000	0.044472	0.955528	896101
2.244000	0.000000	0.043713	0.956287	896101
2.262000	0.000000	0.040944	0.959056	896101
2.280000	0.000000	0.038990	0.961010	896101
2.298000	0.000000	0.037113	0.962887	896101
2.316000	0.000000	0.035802	0.964198	896101
2.334000	0.000000	0.035375	0.964625	896101
2.352000	0.000000	0.034093	0.965907	896101
2.370000	0.000000	0.034048	0.965952	896101
2.388000	0.000000	0.033612	0.966388	896101
2.406000	0.000000	0.032948	0.967052	896101
2.424000	0.000000	0.031962	0.968038	896101
2.442000	0.000000	0.031854	0.968146	896101
2.460000	0.000000	0.030935	0.969065	896101
2.478000	0.000000	0.030752	0.969248	896101
2.496000	0.000000	0.030124	0.969876	896101
2.514000	0.000000	0.029335	0.970665	896101
2.532000	0.000000	0.028938	0.971062	896101
2.550000	0.000000	0.028286	0.971714	896101
2.568000	0.000000	0.028015	0.971985	896101
2.586000	0.000000	0.026316	0.973684	896101
2.604000	0.000000	0.025382	0.974618	896101
2.622000	0.000000	0.023794	0.976206	896101
2.640000	0.000000	0.023447	0.976553	896101
2.658000	0.000000	0.023203	0.976797	896101
2.676000	0.000000	0.022828	0.977172	896101
2.694000	0.000000	0.022258	0.977742	896101
2.712000	0.000000	0.021767	0.978233	896101
2.730000	0.000000	0.021544	0.978456	896101
2.748000	0.000000	0.021327	0.978673	896101
2.766000	0.000000	0.020473	0.979527	896101
2.784000	0.000000	0.020429	0.979571	896101
2.802000	0.000000	0.019820	0.980180	896101
2.820000	0.000000	0.019765	0.980235	896101
2.838000	0.000000	0.019085	0.980915	896101
2.856000	0.000000	0.018962	0.981038	896101
2.874000	0.000000	0.018129	0.981871	896101
2.892000	0.000000	0.017486	0.982514	896101
2.910000	0.000000	0.016939	0.983061	896101
2.928000	0.000000	0.016096	0.983904	896101
2.946000	0.000000	0.015027	0.984973	896101
2.964000	0.000000	0.014556	0.985444	896101
2.982000	0.000000	0.014281	0.985719	896101
