# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 968813
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.000000	0.663625	0.336375	968813
1.218000	0.000000	0.450599	0.549401	968813
1.236000	0.000000	0.375171	0.624829	968813
1.254000	0.000000	0.359302	0.640698	968813
1.272000	0.000000	0.318068	0.681932	968813
1.290000	0.000000	0.275879	0.724121	968813
1.308000	0.000000	0.252481	0.747519	968813
1.326000	0.000000	0.237338	0.762662	968813
1.344000	0.000000	0.214039	0.785961	968813
1.362000	0.000000	0.190691	0.809309	968813
1.380000	0.000000	0.166642	0.833358	968813
1.398000	0.000000	0.152568	0.847432	968813
1.416000	0.000000	0.131533	0.868467	968813
1.434000	0.000000	0.115006	0.884994	968813
1.452000	0.000000	0.106502	0.893498	968813
1.470000	0.000000	0.103754	0.896246	968813
1.488000	0.000000	0.094981	0.905019	968813
1.506000	0.000000	0.085449	0.914551	968813
1.524000	0.000000	0.077369	0.922631	968813
1.542000	0.000000	0.074300	0.925700	968813
1.560000	0.000000	0.071342	0.928658	968813
1.578000	0.000000	0.064073	0.935927	968813
1.596000	0.000000	0.057872	0.942128	968813
1.614000	0.000000	0.057104	0.942896	968813
1.632000	0.000000	0.051787	0.948213	968813
1.650000	0.000000	0.049600	0.950400	968813
1.668000	0.000000	0.045720	0.954280	968813
1.686000	0.000000	0.041521	0.958479	968813
1.704000	0.000000	0.038523	0.961477	968813
1.722000	0.000000	0.031933	0.968067	968813
1.740000	0.000000	0.028442	0.971558	968813
1.758000	0.000000	0.026853	0.973147	968813
1.776000	0.000000	0.025611	0.974389	968813
1.794000	0.000000	0.024549	0.975451	968813
1.812000	0.000000	0.022477	0.977523	968813
1.830000	0.000000	0.020374	0.979626	968813
1.848000	0.000000	0.018850	0.981150	968813
1.866000	0.000000	0.018529	0.981471	968813
1.884000	0.000000	0.015624	0.984376	968813
1.902000	0.000000	0.015236	0.984764	968813
1.920000	0.000000	0.012568	0.987432	968813
1.938000	0.000000	0.011411	0.988589	968813
1.956000	0.000000	0.010138	0.989862	968813
1.974000	0.000000	0.009503	0.990497	968813
1.992000	0.000000	0.007846	0.992154	968813
2.010000	0.000000	0.007457	0.992543	968813
2.028000	0.000000	0.006311	0.993689	968813
2.046000	0.000000	0.005773	0.994227	968813
2.064000	0.000000	0.005247	0.994753	968813
2.082000	0.000000	0.004865	0.995135	968813
2.100000	0.000000	0.004427	0.995573	968813
2.118000	0.000000	0.004349	0.995651	968813
2.136000	0.000000	0.003938	0.996062	968813
2.154000	0.000000	0.003440	0.996560	968813
2.172000	0.000000	0.003105	0.996895	968813
2.190000	0.000000	0.002599	0.997401	968813
2.208000	0.000000	0.002544	0.997456	968813
2.226000	0.000000	0.002003	0.997997	968813
2.244000	0.000000	0.001606	0.998394	968813
2.262000	0.000000	0.001494	0.998506	968813
2.280000	0.000000	0.001352	0.998648	968813
2.298000	0.000000	0.001185	0.998815	968813
2.316000	0.000000	0.000912	0.999088	968813
2.334000	0.000000	0.000869	0.999131	968813
2.352000	0.000000	0.000817	0.999183	968813
2.370000	0.000000	0.000807	0.999193	968813
2.388000	0.000000	0.000777	0.999223	968813
2.406000	0.000000	0.000761	0.999239	968813
2.424000	0.000000	0.000750	0.999250	968813
2.442000	0.000000	0.000565	0.999435	968813
2.460000	0.000000	0.000537	0.999463	968813
2.478000	0.000000	0.000520	0.999480	968813
2.496000	0.000000	0.000427	0.999573	968813
2.514000	0.000000	0.000282	0.999718	968813
2.532000	0.000000	0.000210	0.999790	968813
2.550000	0.000000	0.000188	0.999812	968813
2.568000	0.000000	0.000187	0.999813	968813
2.586000	0.000000	0.000178	0.999822	968813
2.604000	0.000000	0.000175	0.999825	968813
2.622000	0.000000	0.000131	0.999869	968813
2.640000	0.000000	0.000091	0.999909	968813
2.658000	0.000000	0.000077	0.999923	968813
2.676000	0.000000	0.000077	0.999923	968813
2.694000	0.000000	0.000047	0.999953	968813
2.712000	0.000000	0.000047	0.999953	968813
2.730000	0.000000	0.000047	0.999953	968813
2.748000	0.000000	0.000047	0.999953	968813
2.766000	0.000000	0.000038	0.999962	968813
2.784000	0.000000	0.000021	0.999979	968813
2.802000	0.000000	0.000012	0.999988	968813
2.820000	0.000000	0.000009	0.999991	968813
2.838000	0.000000	0.000009	0.999991	968813
2.856000	0.000000	0.000009	0.999991	968813
2.874000	0.000000	0.000009	0.999991	968813
2.892000	0.000000	0.000009	0.999991	968813
2.910000	0.000000	0.000009	0.999991	968813
2.928000	0.000000	0.000009	0.999991	968813
2.946000	0.000000	0.000005	0.999995	968813
2.964000	0.000000	0.000005	0.999995	968813
2.982000	0.000000	0.000004	0.999996	968813
