# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 652850
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.306205	0.326764	0.367031	652850
1.218000	0.293288	0.301132	0.405580	652850
1.236000	0.288864	0.292069	0.419067	652850
1.254000	0.285818	0.285631	0.428552	652850
1.272000	0.281870	0.277912	0.440218	652850
1.290000	0.277788	0.270148	0.452064	652850
1.308000	0.275190	0.264684	0.460126	652850
1.326000	0.272127	0.259678	0.468195	652850
1.344000	0.267542	0.251928	0.480530	652850
1.362000	0.263122	0.244592	0.492286	652850
1.380000	0.257581	0.234247	0.508172	652850
1.398000	0.253729	0.226835	0.519436	652850
1.416000	0.250148	0.220274	0.529578	652850
1.434000	0.246263	0.214319	0.539418	652850
1.452000	0.242002	0.207308	0.550690	652850
1.470000	0.238513	0.201389	0.560098	652850
1.488000	0.232591	0.191131	0.576278	652850
1.506000	0.228691	0.184543	0.586766	652850
1.524000	0.225164	0.178689	0.596148	652850
1.542000	0.222684	0.174748	0.602569	652850
1.560000	0.221245	0.172804	0.605951	652850
1.578000	0.218678	0.169230	0.612092	652850
1.596000	0.217030	0.167097	0.615873	652850
1.614000	0.214587	0.163871	0.621542	652850
1.632000	0.211698	0.159801	0.628501	652850
1.650000	0.209238	0.156390	0.634372	652850
1.668000	0.206487	0.152876	0.640637	652850
1.686000	0.203970	0.149330	0.646700	652850
1.704000	0.200113	0.143569	0.656318	652850
1.722000	0.197721	0.140159	0.662120	652850
1.740000	0.195143	0.136649	0.668209	652850
1.758000	0.191491	0.131438	0.677071	652850
1.776000	0.189466	0.128789	0.681745	652850
1.794000	0.186743	0.125056	0.688201	652850
1.812000	0.184657	0.122233	0.693110	652850
1.830000	0.182218	0.119242	0.698540	652850
1.848000	0.179331	0.115628	0.705041	652850
1.866000	0.177609	0.113721	0.708670	652850
1.884000	0.175487	0.111252	0.713260	652850
1.902000	0.172582	0.107637	0.719781	652850
1.920000	0.170180	0.104993	0.724827	652850
1.938000	0.168403	0.102912	0.728685	652850
1.956000	0.166167	0.100240	0.733593	652850
1.974000	0.164650	0.098338	0.737012	652850
1.992000	0.163436	0.096929	0.739635	652850
2.010000	0.161466	0.094679	0.743855	652850
2.028000	0.159568	0.092303	0.748129	652850
2.046000	0.157791	0.090402	0.751807	652850
2.064000	0.156380	0.089028	0.754591	652850
2.082000	0.154244	0.087008	0.758749	652850
2.100000	0.152104	0.084748	0.763148	652850
2.118000	0.150600	0.083178	0.766222	652850
2.136000	0.148801	0.081415	0.769783	652850
2.154000	0.147237	0.079911	0.772851	652850
2.172000	0.144330	0.076987	0.778683	652850
2.190000	0.143145	0.075915	0.780940	652850
2.208000	0.141081	0.074141	0.784778	652850
2.226000	0.139202	0.072418	0.788380	652850
2.244000	0.137695	0.071108	0.791197	652850
2.262000	0.135875	0.069190	0.794935	652850
2.280000	0.134242	0.067460	0.798298	652850
2.298000	0.132992	0.066312	0.800695	652850
2.316000	0.131376	0.064860	0.803763	652850
2.334000	0.129328	0.063027	0.807645	652850
2.352000	0.127173	0.061132	0.811695	652850
2.370000	0.125435	0.059478	0.815088	652850
2.388000	0.123404	0.057791	0.818805	652850
2.406000	0.121002	0.055647	0.823351	652850
2.424000	0.119907	0.054725	0.825369	652850
2.442000	0.118496	0.053570	0.827934	652850
2.460000	0.117186	0.052594	0.830220	652850
2.478000	0.115976	0.051453	0.832571	652850
2.496000	0.113754	0.049322	0.836924	652850
2.514000	0.113003	0.048760	0.838237	652850
2.532000	0.110987	0.047112	0.841901	652850
2.550000	0.109471	0.045899	0.844630	652850
2.568000	0.107979	0.044577	0.847444	652850
2.586000	0.106662	0.043692	0.849647	652850
2.604000	0.105337	0.042638	0.852026	652850
2.622000	0.103992	0.041608	0.854400	652850
2.640000	0.102619	0.040573	0.856808	652850
2.658000	0.100953	0.039467	0.859580	652850
2.676000	0.100164	0.039006	0.860830	652850
2.694000	0.098972	0.038145	0.862883	652850
2.712000	0.098208	0.037571	0.864221	652850
2.730000	0.097479	0.037224	0.865297	652850
2.748000	0.096468	0.036645	0.866887	652850
2.766000	0.095029	0.035757	0.869213	652850
2.784000	0.094063	0.035262	0.870675	652850
2.802000	0.093058	0.034668	0.872274	652850
2.820000	0.091407	0.033764	0.874829	652850
2.838000	0.089840	0.032830	0.877330	652850
2.856000	0.088544	0.031958	0.879498	652850
2.874000	0.087565	0.031552	0.880882	652850
2.892000	0.085781	0.030485	0.883734	652850
2.910000	0.084180	0.029569	0.886251	652850
2.928000	0.082946	0.028863	0.888192	652850
2.946000	0.081677	0.028160	0.890163	652850
2.964000	0.080694	0.027816	0.891490	652850
2.982000	0.078981	0.026761	0.894257	652850
