# Number of Tags, Misstags and Rejected as a function of k
# Number of Events
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.295671	0.331399	0.372929	652850
1.218000	0.288278	0.316178	0.395544	652850
1.236000	0.284990	0.310413	0.404597	652850
1.254000	0.279237	0.299893	0.420870	652850
1.272000	0.272161	0.286096	0.441743	652850
1.290000	0.264974	0.270624	0.464402	652850
1.308000	0.260550	0.261383	0.478067	652850
1.326000	0.257442	0.256472	0.486086	652850
1.344000	0.254783	0.252426	0.492792	652850
1.362000	0.251816	0.247329	0.500855	652850
1.380000	0.247758	0.240720	0.511522	652850
1.398000	0.244555	0.235206	0.520239	652850
1.416000	0.240271	0.228129	0.531600	652850
1.434000	0.235541	0.220556	0.543903	652850
1.452000	0.229955	0.211390	0.558655	652850
1.470000	0.224823	0.202832	0.572344	652850
1.488000	0.218229	0.192222	0.589549	652850
1.506000	0.214749	0.186253	0.598998	652850
1.524000	0.211156	0.180444	0.608400	652850
1.542000	0.209109	0.177307	0.613584	652850
1.560000	0.206329	0.173115	0.620556	652850
1.578000	0.204361	0.170223	0.625416	652850
1.596000	0.201137	0.165749	0.633115	652850
1.614000	0.199184	0.162736	0.638081	652850
1.632000	0.196354	0.158929	0.644716	652850
1.650000	0.192127	0.152482	0.655391	652850
1.668000	0.190600	0.150329	0.659072	652850
1.686000	0.186413	0.145052	0.668535	652850
1.704000	0.182239	0.139491	0.678269	652850
1.722000	0.179318	0.135782	0.684900	652850
1.740000	0.174401	0.128748	0.696851	652850
1.758000	0.171972	0.125894	0.702134	652850
1.776000	0.169543	0.122685	0.707772	652850
1.794000	0.167211	0.118801	0.713988	652850
1.812000	0.163921	0.114614	0.721464	652850
1.830000	0.162140	0.112444	0.725416	652850
1.848000	0.159272	0.109086	0.731641	652850
1.866000	0.157575	0.106758	0.735667	652850
1.884000	0.154993	0.103574	0.741434	652850
1.902000	0.153677	0.102054	0.744269	652850
1.920000	0.151790	0.099720	0.748490	652850
1.938000	0.149675	0.097442	0.752884	652850
1.956000	0.147395	0.095111	0.757494	652850
1.974000	0.145479	0.093155	0.761366	652850
1.992000	0.144554	0.092305	0.763142	652850
2.010000	0.143436	0.090912	0.765652	652850
2.028000	0.140867	0.088212	0.770921	652850
2.046000	0.137935	0.084738	0.777327	652850
2.064000	0.134875	0.081587	0.783538	652850
2.082000	0.133729	0.080481	0.785790	652850
2.100000	0.131816	0.078286	0.789898	652850
2.118000	0.130497	0.076823	0.792680	652850
2.136000	0.128472	0.074766	0.796762	652850
2.154000	0.126228	0.072514	0.801258	652850
2.172000	0.123189	0.069189	0.807622	652850
2.190000	0.122359	0.068262	0.809379	652850
2.208000	0.120507	0.066537	0.812956	652850
2.226000	0.118817	0.064817	0.816365	652850
2.244000	0.116489	0.062642	0.820868	652850
2.262000	0.115086	0.061386	0.823528	652850
2.280000	0.112746	0.059392	0.827862	652850
2.298000	0.111620	0.058356	0.830024	652850
2.316000	0.110782	0.057785	0.831433	652850
2.334000	0.109235	0.056486	0.834279	652850
2.352000	0.108494	0.055806	0.835700	652850
2.370000	0.107257	0.054861	0.837882	652850
2.388000	0.105105	0.052819	0.842076	652850
2.406000	0.103558	0.051465	0.844977	652850
2.424000	0.102275	0.050336	0.847389	652850
2.442000	0.100982	0.049301	0.849717	652850
2.460000	0.100345	0.048665	0.850990	652850
2.478000	0.098966	0.047659	0.853375	652850
2.496000	0.095740	0.045248	0.859012	652850
2.514000	0.094187	0.044226	0.861587	652850
2.532000	0.093040	0.043264	0.863696	652850
2.550000	0.091493	0.042007	0.866501	652850
2.568000	0.090246	0.041115	0.868639	652850
2.586000	0.089500	0.040596	0.869904	652850
2.604000	0.088365	0.039712	0.871923	652850
2.622000	0.087504	0.039170	0.873326	652850
2.640000	0.085640	0.037623	0.876737	652850
2.658000	0.082328	0.035074	0.882598	652850
2.676000	0.081792	0.034869	0.883339	652850
2.694000	0.080749	0.034117	0.885134	652850
2.712000	0.080070	0.033675	0.886254	652850
2.730000	0.079277	0.033113	0.887610	652850
2.748000	0.078307	0.032542	0.889151	652850
2.766000	0.076601	0.031191	0.892208	652850
2.784000	0.075071	0.029624	0.895305	652850
2.802000	0.073354	0.028570	0.898076	652850
2.820000	0.072684	0.028285	0.899030	652850
2.838000	0.071539	0.027542	0.900919	652850
2.856000	0.070831	0.027162	0.902007	652850
2.874000	0.070318	0.026827	0.902855	652850
2.892000	0.069338	0.026288	0.904375	652850
2.910000	0.068890	0.026115	0.904995	652850
2.928000	0.068092	0.025778	0.906130	652850
2.946000	0.067044	0.025281	0.907674	652850
2.964000	0.066371	0.024952	0.908677	652850
2.982000	0.064200	0.023782	0.912018	652850
