# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 200
# Number of Events 52127
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.492470	0.467800	0.039730	52127
1.218000	0.488768	0.459301	0.051931	52127
1.236000	0.487310	0.456769	0.055921	52127
1.254000	0.485813	0.453028	0.061158	52127
1.272000	0.484586	0.451704	0.063710	52127
1.290000	0.484029	0.450899	0.065072	52127
1.308000	0.482053	0.447465	0.070482	52127
1.326000	0.478543	0.440635	0.080822	52127
1.344000	0.475991	0.434650	0.089359	52127
1.362000	0.472442	0.427053	0.100505	52127
1.380000	0.469565	0.420838	0.109598	52127
1.398000	0.467666	0.417730	0.114605	52127
1.416000	0.464040	0.409097	0.126863	52127
1.434000	0.462160	0.405912	0.131928	52127
1.452000	0.458419	0.399064	0.142517	52127
1.470000	0.454083	0.391908	0.154008	52127
1.488000	0.450707	0.384791	0.164502	52127
1.506000	0.447925	0.379822	0.172252	52127
1.524000	0.444894	0.374144	0.180962	52127
1.542000	0.439964	0.367276	0.192760	52127
1.560000	0.436089	0.361444	0.202467	52127
1.578000	0.431331	0.353521	0.215148	52127
1.596000	0.427226	0.346979	0.225795	52127
1.614000	0.423255	0.341071	0.235674	52127
1.632000	0.418516	0.333627	0.247856	52127
1.650000	0.413624	0.327853	0.258522	52127
1.668000	0.409442	0.321254	0.269304	52127
1.686000	0.404493	0.313427	0.282080	52127
1.704000	0.400714	0.307806	0.291480	52127
1.722000	0.396301	0.303068	0.300631	52127
1.740000	0.390700	0.295413	0.313887	52127
1.758000	0.385865	0.288258	0.325877	52127
1.776000	0.380973	0.282138	0.336889	52127
1.794000	0.375410	0.274004	0.350586	52127
1.812000	0.370979	0.268210	0.360811	52127
1.830000	0.367372	0.262762	0.369866	52127
1.848000	0.363132	0.257755	0.379113	52127
1.866000	0.357358	0.251655	0.390987	52127
1.884000	0.351871	0.244979	0.403150	52127
1.902000	0.348111	0.239588	0.412301	52127
1.920000	0.343680	0.233890	0.422430	52127
1.938000	0.338750	0.228097	0.433154	52127
1.956000	0.334491	0.222936	0.442573	52127
1.974000	0.332035	0.220442	0.447522	52127
1.992000	0.327374	0.215186	0.457440	52127
2.010000	0.321120	0.208606	0.470275	52127
2.028000	0.315575	0.201067	0.483358	52127
2.046000	0.313619	0.198841	0.487540	52127
2.064000	0.310434	0.196002	0.493564	52127
2.082000	0.305082	0.190170	0.504748	52127
2.100000	0.298674	0.183091	0.518234	52127
2.118000	0.295010	0.178871	0.526119	52127
2.136000	0.292094	0.175610	0.532296	52127
2.154000	0.287106	0.170315	0.542579	52127
2.172000	0.282713	0.164943	0.552343	52127
2.190000	0.279184	0.161624	0.559192	52127
2.208000	0.274848	0.157404	0.567748	52127
2.226000	0.270455	0.153241	0.576304	52127
2.244000	0.266983	0.150076	0.582942	52127
2.262000	0.259232	0.142498	0.598270	52127
2.280000	0.255952	0.138930	0.605118	52127
2.298000	0.252422	0.136167	0.611411	52127
2.316000	0.249103	0.133117	0.617780	52127
2.334000	0.244768	0.129069	0.626163	52127
2.352000	0.241410	0.126269	0.632321	52127
2.370000	0.237401	0.122413	0.640186	52127
2.388000	0.231780	0.117732	0.650488	52127
2.406000	0.226428	0.112782	0.660790	52127
2.424000	0.221344	0.109156	0.669499	52127
2.442000	0.219272	0.107276	0.673451	52127
2.460000	0.215320	0.104188	0.680492	52127
2.478000	0.211848	0.100907	0.687245	52127
2.496000	0.209258	0.098145	0.692597	52127
2.514000	0.206093	0.096092	0.697815	52127
2.532000	0.202256	0.093119	0.704625	52127
2.550000	0.198784	0.090184	0.711033	52127
2.568000	0.195005	0.086769	0.718227	52127
2.586000	0.191225	0.083699	0.725075	52127
2.604000	0.187715	0.081321	0.730965	52127
2.622000	0.183916	0.078021	0.738063	52127
2.640000	0.179715	0.075201	0.745084	52127
2.658000	0.177547	0.073494	0.748959	52127
2.676000	0.173864	0.071096	0.755041	52127
2.694000	0.171677	0.069388	0.758935	52127
2.712000	0.168492	0.066818	0.764690	52127
2.730000	0.166152	0.065206	0.768642	52127
2.748000	0.162392	0.063326	0.774282	52127
2.766000	0.160627	0.062463	0.776910	52127
2.784000	0.156963	0.060410	0.782627	52127
2.802000	0.154507	0.059029	0.786464	52127
2.820000	0.151994	0.057494	0.790512	52127
2.838000	0.148196	0.055058	0.796746	52127
2.856000	0.145855	0.053581	0.800564	52127
2.874000	0.143074	0.051681	0.805245	52127
2.892000	0.139525	0.049610	0.810866	52127
2.910000	0.137472	0.048248	0.814281	52127
2.928000	0.135419	0.047058	0.817523	52127
2.946000	0.132273	0.045044	0.822683	52127
2.964000	0.129549	0.043547	0.826904	52127
2.982000	0.127151	0.042627	0.830222	52127
