# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 693139
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.321392	0.357592	0.321016	693139
1.218000	0.310752	0.339127	0.350122	693139
1.236000	0.309929	0.337833	0.352238	693139
1.254000	0.306572	0.333147	0.360281	693139
1.272000	0.302949	0.326907	0.370144	693139
1.290000	0.297823	0.318574	0.383603	693139
1.308000	0.296792	0.317026	0.386182	693139
1.326000	0.293466	0.313074	0.393459	693139
1.344000	0.290404	0.309405	0.400191	693139
1.362000	0.282360	0.298615	0.419024	693139
1.380000	0.277695	0.292363	0.429943	693139
1.398000	0.274851	0.288694	0.436455	693139
1.416000	0.273211	0.287004	0.439785	693139
1.434000	0.269920	0.281867	0.448213	693139
1.452000	0.266548	0.276510	0.456942	693139
1.470000	0.263332	0.272976	0.463692	693139
1.488000	0.261320	0.270931	0.467749	693139
1.506000	0.257061	0.266013	0.476926	693139
1.524000	0.252632	0.261199	0.486169	693139
1.542000	0.234794	0.232166	0.533040	693139
1.560000	0.228852	0.224322	0.546827	693139
1.578000	0.227171	0.222349	0.550480	693139
1.596000	0.210767	0.187553	0.601680	693139
1.614000	0.209146	0.186152	0.604703	693139
1.632000	0.203246	0.178820	0.617934	693139
1.650000	0.200243	0.175282	0.624475	693139
1.668000	0.199609	0.174777	0.625613	693139
1.686000	0.196541	0.171749	0.631710	693139
1.704000	0.190187	0.165439	0.644374	693139
1.722000	0.183138	0.157512	0.659350	693139
1.740000	0.182458	0.156899	0.660642	693139
1.758000	0.180452	0.154835	0.664714	693139
1.776000	0.176442	0.151529	0.672028	693139
1.794000	0.173714	0.148275	0.678011	693139
1.812000	0.170112	0.144180	0.685708	693139
1.830000	0.169542	0.143635	0.686823	693139
1.848000	0.168460	0.142595	0.688946	693139
1.866000	0.160370	0.134014	0.705616	693139
1.884000	0.158550	0.132774	0.708676	693139
1.902000	0.147936	0.119679	0.732386	693139
1.920000	0.143000	0.115390	0.741610	693139
1.938000	0.141884	0.114482	0.743634	693139
1.956000	0.140077	0.112723	0.747199	693139
1.974000	0.136860	0.110072	0.753068	693139
1.992000	0.133649	0.107085	0.759266	693139
2.010000	0.120469	0.089059	0.790472	693139
2.028000	0.115622	0.084461	0.799917	693139
2.046000	0.112387	0.081942	0.805671	693139
2.064000	0.110653	0.080241	0.809106	693139
2.082000	0.109493	0.079134	0.811373	693139
2.100000	0.100797	0.071746	0.827457	693139
2.118000	0.098736	0.070481	0.830783	693139
2.136000	0.091038	0.062025	0.846937	693139
2.154000	0.089328	0.061045	0.849626	693139
2.172000	0.086730	0.059068	0.854202	693139
2.190000	0.084205	0.056772	0.859023	693139
2.208000	0.082989	0.055694	0.861316	693139
2.226000	0.077360	0.050929	0.871711	693139
2.244000	0.075106	0.049823	0.875071	693139
2.262000	0.071710	0.047370	0.880920	693139
2.280000	0.069374	0.045922	0.884704	693139
2.298000	0.066363	0.043864	0.889772	693139
2.316000	0.055928	0.034363	0.909709	693139
2.334000	0.054790	0.033899	0.911311	693139
2.352000	0.052596	0.032246	0.915158	693139
2.370000	0.050814	0.031402	0.917784	693139
2.388000	0.050247	0.031034	0.918719	693139
2.406000	0.047934	0.029286	0.922780	693139
2.424000	0.043349	0.025979	0.930672	693139
2.442000	0.039869	0.023673	0.936457	693139
2.460000	0.037127	0.021746	0.941127	693139
2.478000	0.036270	0.021394	0.942336	693139
2.496000	0.035893	0.021167	0.942939	693139
2.514000	0.035351	0.020911	0.943739	693139
2.532000	0.032701	0.018687	0.948612	693139
2.550000	0.030786	0.017718	0.951496	693139
2.568000	0.029825	0.017085	0.953090	693139
2.586000	0.028887	0.016533	0.954579	693139
2.604000	0.027231	0.015371	0.957398	693139
2.622000	0.026488	0.014921	0.958591	693139
2.640000	0.025428	0.014372	0.960200	693139
2.658000	0.024595	0.013996	0.961409	693139
2.676000	0.022798	0.012801	0.964401	693139
2.694000	0.022440	0.012517	0.965043	693139
2.712000	0.020978	0.011656	0.967366	693139
2.730000	0.018856	0.010197	0.970947	693139
2.748000	0.018011	0.009818	0.972172	693139
2.766000	0.018006	0.009815	0.972179	693139
2.784000	0.016877	0.008969	0.974154	693139
2.802000	0.016822	0.008965	0.974213	693139
2.820000	0.016363	0.008780	0.974856	693139
2.838000	0.015746	0.008542	0.975712	693139
2.856000	0.015071	0.008169	0.976761	693139
2.874000	0.014786	0.008008	0.977205	693139
2.892000	0.013517	0.007224	0.979260	693139
2.910000	0.013250	0.007115	0.979635	693139
2.928000	0.012908	0.007012	0.980080	693139
2.946000	0.011123	0.005847	0.983029	693139
2.964000	0.010336	0.005363	0.984302	693139
2.982000	0.009972	0.005202	0.984826	693139
