# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 50
# Number of Events 256752
# k_cut 	 Tags 	 MissTags 	 Total_Events 
1.200000	0.544514	0.455486	256752
1.218000	0.553707	0.446293	244382
1.236000	0.557034	0.442966	240709
1.254000	0.559828	0.440172	236671
1.272000	0.561773	0.438227	234057
1.290000	0.563830	0.436170	231765
1.308000	0.566208	0.433792	228116
1.326000	0.572947	0.427053	218336
1.344000	0.575228	0.424772	216177
1.362000	0.580106	0.419894	210084
1.380000	0.582848	0.417152	207253
1.398000	0.586211	0.413789	203715
1.416000	0.587941	0.412059	201515
1.434000	0.591877	0.408123	196970
1.452000	0.595913	0.404087	193008
1.470000	0.597369	0.402631	191637
1.488000	0.601421	0.398579	187333
1.506000	0.604174	0.395826	184902
1.524000	0.606058	0.393942	183065
1.542000	0.607571	0.392429	181332
1.560000	0.610202	0.389798	178839
1.578000	0.615203	0.384797	173099
1.596000	0.615921	0.384079	172290
1.614000	0.618278	0.381722	170116
1.632000	0.622169	0.377831	166916
1.650000	0.628900	0.371100	159375
1.668000	0.630002	0.369998	158547
1.686000	0.635037	0.364963	154621
1.704000	0.637057	0.362943	153090
1.722000	0.640653	0.359347	149663
1.740000	0.641666	0.358334	148942
1.758000	0.645610	0.354390	145794
1.776000	0.651088	0.348912	141431
1.794000	0.652813	0.347187	140132
1.812000	0.654096	0.345904	139293
1.830000	0.655782	0.344218	137834
1.848000	0.658326	0.341674	135758
1.866000	0.665284	0.334716	130403
1.884000	0.666107	0.333893	129844
1.902000	0.667826	0.332174	128773
1.920000	0.668466	0.331534	128355
1.938000	0.673309	0.326691	125761
1.956000	0.678198	0.321802	121898
1.974000	0.680445	0.319555	120480
1.992000	0.682506	0.317494	119451
2.010000	0.684463	0.315537	118116
2.028000	0.687291	0.312709	116268
2.046000	0.690499	0.309501	113880
2.064000	0.692212	0.307788	112860
2.082000	0.698357	0.301643	108960
2.100000	0.705006	0.294994	104385
2.118000	0.706652	0.293348	103471
2.136000	0.707737	0.292263	102815
2.154000	0.709367	0.290633	101895
2.172000	0.711528	0.288472	100897
2.190000	0.714644	0.285356	99318
2.208000	0.719967	0.280033	96060
2.226000	0.724851	0.275149	93153
2.244000	0.727537	0.272463	91873
2.262000	0.728766	0.271234	91349
2.280000	0.732665	0.267335	89633
2.298000	0.735147	0.264853	88200
2.316000	0.736769	0.263231	87463
2.334000	0.739389	0.260611	86136
2.352000	0.742248	0.257752	84135
2.370000	0.743872	0.256128	83056
2.388000	0.745390	0.254610	81937
2.406000	0.747217	0.252783	81220
2.424000	0.754212	0.245788	77941
2.442000	0.756749	0.243251	76978
2.460000	0.759052	0.240948	76004
2.478000	0.761465	0.238535	74249
2.496000	0.762875	0.237125	73653
2.514000	0.767383	0.232617	71663
2.532000	0.769741	0.230259	70729
2.550000	0.774556	0.225444	68944
2.568000	0.776080	0.223920	68520
2.586000	0.782125	0.217875	65198
2.604000	0.783367	0.216633	64750
2.622000	0.788168	0.211832	63050
2.640000	0.790077	0.209923	62361
2.658000	0.791032	0.208968	61933
2.676000	0.791925	0.208075	61550
2.694000	0.793092	0.206908	61032
2.712000	0.796734	0.203266	59764
2.730000	0.798688	0.201312	59137
2.748000	0.802788	0.197212	57248
2.766000	0.805915	0.194085	55893
2.784000	0.808575	0.191425	55066
2.802000	0.811579	0.188421	53996
2.820000	0.813444	0.186556	52826
2.838000	0.814908	0.185092	52201
2.856000	0.818579	0.181421	50110
2.874000	0.819649	0.180351	49681
2.892000	0.820406	0.179594	49172
2.910000	0.822117	0.177883	48515
2.928000	0.825239	0.174761	47442
2.946000	0.826047	0.173953	47053
2.964000	0.827495	0.172505	45877
2.982000	0.829011	0.170989	45272
