# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 693026
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.308623	0.378707	0.312669	693026
1.218000	0.293995	0.348951	0.357054	693026
1.236000	0.273234	0.302220	0.424547	693026
1.254000	0.266971	0.290679	0.442350	693026
1.272000	0.264866	0.287211	0.447923	693026
1.290000	0.262925	0.284291	0.452784	693026
1.308000	0.260262	0.280751	0.458987	693026
1.326000	0.259706	0.280034	0.460260	693026
1.344000	0.254420	0.271739	0.473841	693026
1.362000	0.252715	0.269551	0.477734	693026
1.380000	0.249942	0.264889	0.485169	693026
1.398000	0.242067	0.251135	0.506798	693026
1.416000	0.237828	0.245279	0.516893	693026
1.434000	0.223195	0.219943	0.556862	693026
1.452000	0.215057	0.208630	0.576313	693026
1.470000	0.209118	0.198570	0.592313	693026
1.488000	0.207010	0.195408	0.597582	693026
1.506000	0.201968	0.189338	0.608694	693026
1.524000	0.199959	0.186727	0.613313	693026
1.542000	0.197690	0.184019	0.618291	693026
1.560000	0.189176	0.170868	0.639956	693026
1.578000	0.188072	0.169473	0.642455	693026
1.596000	0.184993	0.165818	0.649189	693026
1.614000	0.174921	0.151355	0.673724	693026
1.632000	0.168812	0.144699	0.686489	693026
1.650000	0.167288	0.142735	0.689977	693026
1.668000	0.163568	0.136887	0.699545	693026
1.686000	0.156366	0.128924	0.714709	693026
1.704000	0.149745	0.120740	0.729515	693026
1.722000	0.145465	0.114893	0.739642	693026
1.740000	0.137435	0.105021	0.757544	693026
1.758000	0.134969	0.101827	0.763204	693026
1.776000	0.133527	0.100809	0.765664	693026
1.794000	0.128454	0.095783	0.775763	693026
1.812000	0.123031	0.090121	0.786848	693026
1.830000	0.119405	0.086518	0.794077	693026
1.848000	0.118177	0.085528	0.796295	693026
1.866000	0.115102	0.083151	0.801746	693026
1.884000	0.114035	0.082518	0.803447	693026
1.902000	0.106397	0.075167	0.818435	693026
1.920000	0.103360	0.072895	0.823745	693026
1.938000	0.098920	0.068264	0.832816	693026
1.956000	0.094327	0.064458	0.841215	693026
1.974000	0.093018	0.063459	0.843522	693026
1.992000	0.092113	0.062449	0.845437	693026
2.010000	0.089525	0.060014	0.850462	693026
2.028000	0.087522	0.058624	0.853854	693026
2.046000	0.084649	0.056704	0.858647	693026
2.064000	0.084221	0.056471	0.859308	693026
2.082000	0.078820	0.051958	0.869223	693026
2.100000	0.074610	0.048912	0.876478	693026
2.118000	0.072629	0.047352	0.880019	693026
2.136000	0.072256	0.047156	0.880589	693026
2.154000	0.068505	0.043944	0.887551	693026
2.172000	0.064236	0.040912	0.894852	693026
2.190000	0.062510	0.039649	0.897841	693026
2.208000	0.060725	0.038228	0.901047	693026
2.226000	0.060523	0.038130	0.901347	693026
2.244000	0.058561	0.036685	0.904754	693026
2.262000	0.056118	0.035429	0.908454	693026
2.280000	0.054907	0.034621	0.910472	693026
2.298000	0.051132	0.031629	0.917238	693026
2.316000	0.049900	0.030827	0.919273	693026
2.334000	0.048756	0.030042	0.921202	693026
2.352000	0.044587	0.026788	0.928625	693026
2.370000	0.041769	0.025081	0.933150	693026
2.388000	0.041534	0.024963	0.933503	693026
2.406000	0.041303	0.024855	0.933842	693026
2.424000	0.039980	0.023973	0.936047	693026
2.442000	0.038111	0.022846	0.939043	693026
2.460000	0.036564	0.021757	0.941679	693026
2.478000	0.033380	0.019425	0.947195	693026
2.496000	0.032821	0.019043	0.948136	693026
2.514000	0.031811	0.018487	0.949702	693026
2.532000	0.031603	0.018409	0.949987	693026
2.550000	0.028391	0.016461	0.955147	693026
2.568000	0.028113	0.016331	0.955556	693026
2.586000	0.026358	0.015183	0.958459	693026
2.604000	0.024884	0.014235	0.960882	693026
2.622000	0.024353	0.013946	0.961701	693026
2.640000	0.024250	0.013913	0.961837	693026
2.658000	0.023622	0.013621	0.962756	693026
2.676000	0.020802	0.011769	0.967430	693026
2.694000	0.019561	0.011109	0.969330	693026
2.712000	0.018988	0.010792	0.970220	693026
2.730000	0.016976	0.009484	0.973539	693026
2.748000	0.016051	0.008958	0.974991	693026
2.766000	0.015173	0.008333	0.976494	693026
2.784000	0.014836	0.008153	0.977011	693026
2.802000	0.014731	0.008108	0.977161	693026
2.820000	0.014199	0.007828	0.977973	693026
2.838000	0.012456	0.006803	0.980741	693026
2.856000	0.012362	0.006762	0.980877	693026
2.874000	0.011724	0.006384	0.981892	693026
2.892000	0.011099	0.006057	0.982843	693026
2.910000	0.009668	0.005226	0.985106	693026
2.928000	0.008174	0.004368	0.987458	693026
2.946000	0.007967	0.004242	0.987791	693026
2.964000	0.007739	0.004134	0.988127	693026
2.982000	0.007599	0.004047	0.988354	693026
