# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 150
# Number of Events 86008
# k_cut 	 Tags 	 MissTags 	 Total_Events 
1.200000	0.601014	0.398986	86008
1.218000	0.604899	0.395101	84262
1.236000	0.610001	0.389999	82190
1.254000	0.616182	0.383818	80051
1.272000	0.620513	0.379487	78838
1.290000	0.623423	0.376577	78077
1.308000	0.626152	0.373848	77066
1.326000	0.627869	0.372131	76277
1.344000	0.635591	0.364409	74153
1.362000	0.636918	0.363082	73471
1.380000	0.642291	0.357709	71684
1.398000	0.645640	0.354360	70293
1.416000	0.651487	0.348513	68382
1.434000	0.652676	0.347324	67545
1.452000	0.655639	0.344361	66622
1.470000	0.660914	0.339086	65134
1.488000	0.663483	0.336517	64279
1.506000	0.667347	0.332653	63177
1.524000	0.674990	0.325010	61355
1.542000	0.679192	0.320808	60198
1.560000	0.686090	0.313910	58367
1.578000	0.692163	0.307837	56806
1.596000	0.698773	0.301227	55566
1.614000	0.707269	0.292731	53790
1.632000	0.711493	0.288507	52692
1.650000	0.715737	0.284263	51864
1.668000	0.722955	0.277045	50129
1.686000	0.727360	0.272640	49193
1.704000	0.732134	0.267866	48319
1.722000	0.735201	0.264799	47757
1.740000	0.737848	0.262152	47152
1.758000	0.743267	0.256733	46188
1.776000	0.750614	0.249386	44818
1.794000	0.752767	0.247233	44278
1.812000	0.757950	0.242050	43491
1.830000	0.762771	0.237229	42596
1.848000	0.765722	0.234278	42027
1.866000	0.770202	0.229798	41171
1.884000	0.772314	0.227686	40837
1.902000	0.774403	0.225597	40528
1.920000	0.781289	0.218711	39303
1.938000	0.784525	0.215475	38747
1.956000	0.787953	0.212047	38251
1.974000	0.790655	0.209345	37751
1.992000	0.792720	0.207280	37389
2.010000	0.794676	0.205324	37000
2.028000	0.795969	0.204031	36568
2.046000	0.798530	0.201470	35782
2.064000	0.801173	0.198827	35302
2.082000	0.801865	0.198135	35168
2.100000	0.804770	0.195230	34718
2.118000	0.805827	0.194173	34356
2.136000	0.807943	0.192057	34068
2.154000	0.810896	0.189104	33479
2.172000	0.813482	0.186518	33112
2.190000	0.815961	0.184039	32618
2.208000	0.818284	0.181716	32094
2.226000	0.820134	0.179866	31718
2.244000	0.821621	0.178379	31534
2.262000	0.823152	0.176848	31315
2.280000	0.827297	0.172703	30787
2.298000	0.828996	0.171004	30549
2.316000	0.831152	0.168848	30187
2.334000	0.832482	0.167518	29937
2.352000	0.834307	0.165693	29615
2.370000	0.838559	0.161441	28896
2.388000	0.840246	0.159754	28569
2.406000	0.842463	0.157537	28222
2.424000	0.844242	0.155758	27883
2.442000	0.845331	0.154669	27672
2.460000	0.846553	0.153447	27534
2.478000	0.850296	0.149704	27020
2.496000	0.851929	0.148071	26744
2.514000	0.852949	0.147051	26569
2.532000	0.855022	0.144978	26204
2.550000	0.855543	0.144457	26077
2.568000	0.856246	0.143754	25954
2.586000	0.858402	0.141598	25537
2.604000	0.860205	0.139795	25194
2.622000	0.861613	0.138387	24959
2.640000	0.865736	0.134264	24355
2.658000	0.867171	0.132829	24174
2.676000	0.869119	0.130881	23655
2.694000	0.870739	0.129261	23379
2.712000	0.871730	0.128270	23240
2.730000	0.872767	0.127233	23115
2.748000	0.874591	0.125409	22949
2.766000	0.876617	0.123383	22645
2.784000	0.877920	0.122080	22428
2.802000	0.878472	0.121528	22283
2.820000	0.882058	0.117942	21765
2.838000	0.883056	0.116944	21583
2.856000	0.883747	0.116253	21393
2.874000	0.884404	0.115596	21134
2.892000	0.885489	0.114511	20880
2.910000	0.888665	0.111335	20344
2.928000	0.888806	0.111194	20208
2.946000	0.889727	0.110273	20014
2.964000	0.892020	0.107980	19550
2.982000	0.893505	0.106495	19306
