# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 77620
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.268488	0.176321	0.555192	77620
1.218000	0.256004	0.158220	0.585777	77620
1.236000	0.246882	0.145233	0.607885	77620
1.254000	0.239784	0.136163	0.624053	77620
1.272000	0.237297	0.133007	0.629696	77620
1.290000	0.233677	0.128627	0.637696	77620
1.308000	0.230533	0.123950	0.645517	77620
1.326000	0.226681	0.119235	0.654084	77620
1.344000	0.224259	0.116851	0.658889	77620
1.362000	0.222198	0.115267	0.662535	77620
1.380000	0.219454	0.113463	0.667083	77620
1.398000	0.217186	0.111711	0.671103	77620
1.416000	0.214313	0.109495	0.676192	77620
1.434000	0.210307	0.106519	0.683174	77620
1.452000	0.208142	0.104612	0.687246	77620
1.470000	0.202164	0.099923	0.697913	77620
1.488000	0.199317	0.097745	0.702937	77620
1.506000	0.197758	0.095388	0.706854	77620
1.524000	0.196483	0.093855	0.709662	77620
1.542000	0.195800	0.092979	0.711221	77620
1.560000	0.194898	0.091909	0.713192	77620
1.578000	0.190041	0.086344	0.723615	77620
1.596000	0.185906	0.080559	0.733535	77620
1.614000	0.180533	0.074440	0.745027	77620
1.632000	0.177016	0.070472	0.752512	77620
1.650000	0.176913	0.070420	0.752667	77620
1.668000	0.176707	0.070304	0.752989	77620
1.686000	0.176424	0.070059	0.753517	77620
1.704000	0.175921	0.069814	0.754264	77620
1.722000	0.175238	0.069428	0.755334	77620
1.740000	0.174195	0.068926	0.756880	77620
1.758000	0.171605	0.067238	0.761157	77620
1.776000	0.169956	0.066619	0.763424	77620
1.794000	0.166349	0.064635	0.769016	77620
1.812000	0.164932	0.063978	0.771090	77620
1.830000	0.162535	0.062355	0.775110	77620
1.848000	0.159727	0.060745	0.779528	77620
1.866000	0.155153	0.058220	0.786627	77620
1.884000	0.152422	0.056815	0.790763	77620
1.902000	0.150064	0.055076	0.794860	77620
1.920000	0.148789	0.053878	0.797333	77620
1.938000	0.147372	0.052809	0.799820	77620
1.956000	0.142051	0.048531	0.809418	77620
1.974000	0.138534	0.045104	0.816362	77620
1.992000	0.136640	0.043468	0.819892	77620
2.010000	0.131358	0.038766	0.829876	77620
2.028000	0.131345	0.038727	0.829928	77620
2.046000	0.131203	0.038650	0.830147	77620
2.064000	0.131139	0.038611	0.830250	77620
2.082000	0.130946	0.038560	0.830495	77620
2.100000	0.130675	0.038508	0.830817	77620
2.118000	0.129490	0.038109	0.832401	77620
2.136000	0.127802	0.037632	0.834566	77620
2.154000	0.126153	0.037052	0.836795	77620
2.172000	0.123332	0.036060	0.840608	77620
2.190000	0.120536	0.035055	0.844409	77620
2.208000	0.118230	0.034385	0.847385	77620
2.226000	0.114429	0.032917	0.852654	77620
2.244000	0.112059	0.032118	0.855823	77620
2.262000	0.107666	0.029451	0.862883	77620
2.280000	0.102422	0.025934	0.871644	77620
2.298000	0.097204	0.022803	0.879992	77620
2.316000	0.093198	0.019930	0.886872	77620
2.334000	0.092644	0.019711	0.887645	77620
2.352000	0.092592	0.019673	0.887735	77620
2.370000	0.092438	0.019570	0.887993	77620
2.388000	0.092347	0.019544	0.888109	77620
2.406000	0.092283	0.019544	0.888173	77620
2.424000	0.092219	0.019544	0.888238	77620
2.442000	0.092051	0.019492	0.888457	77620
2.460000	0.088740	0.018526	0.892734	77620
2.478000	0.087142	0.018243	0.894615	77620
2.496000	0.084849	0.017380	0.897771	77620
2.514000	0.079400	0.015292	0.905308	77620
2.532000	0.071902	0.011711	0.916388	77620
2.550000	0.066761	0.009585	0.923654	77620
2.568000	0.065434	0.009366	0.925200	77620
2.586000	0.064919	0.009263	0.925818	77620
2.604000	0.063424	0.008993	0.927583	77620
2.622000	0.062858	0.008928	0.928214	77620
2.640000	0.062638	0.008889	0.928472	77620
2.658000	0.060835	0.008516	0.930649	77620
2.676000	0.056815	0.007253	0.935931	77620
2.694000	0.052693	0.006068	0.941239	77620
2.712000	0.047733	0.004793	0.947475	77620
2.730000	0.044963	0.004277	0.950760	77620
2.748000	0.042863	0.004007	0.953131	77620
2.766000	0.040093	0.003466	0.956442	77620
2.784000	0.037568	0.003015	0.959418	77620
2.802000	0.034695	0.002358	0.962948	77620
2.820000	0.031551	0.001881	0.966568	77620
2.838000	0.027673	0.001507	0.970819	77620
2.856000	0.024517	0.001147	0.974337	77620
2.874000	0.021489	0.000928	0.977583	77620
2.892000	0.017586	0.000657	0.981757	77620
2.910000	0.014674	0.000412	0.984914	77620
2.928000	0.011118	0.000232	0.988650	77620
2.946000	0.008348	0.000142	0.991510	77620
2.964000	0.004612	0.000013	0.995375	77620
2.982000	0.001894	0.000000	0.998106	77620
