# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 77620
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.323306	0.223448	0.453247	77620
1.218000	0.319956	0.219595	0.460448	77620
1.236000	0.318539	0.218191	0.463270	77620
1.254000	0.315846	0.214597	0.469557	77620
1.272000	0.312007	0.210397	0.477596	77620
1.290000	0.310770	0.208915	0.480314	77620
1.308000	0.308310	0.205166	0.486524	77620
1.326000	0.280959	0.180237	0.538804	77620
1.344000	0.273512	0.171335	0.555153	77620
1.362000	0.272237	0.169093	0.558670	77620
1.380000	0.258954	0.159005	0.582041	77620
1.398000	0.249034	0.150760	0.600206	77620
1.416000	0.241111	0.141188	0.617702	77620
1.434000	0.233909	0.137052	0.629039	77620
1.452000	0.226849	0.126398	0.646753	77620
1.470000	0.226810	0.126372	0.646818	77620
1.488000	0.223821	0.121167	0.655012	77620
1.506000	0.221322	0.120149	0.658529	77620
1.524000	0.218900	0.116169	0.664932	77620
1.542000	0.218758	0.115795	0.665447	77620
1.560000	0.218655	0.115537	0.665808	77620
1.578000	0.213231	0.110564	0.676205	77620
1.596000	0.200966	0.097179	0.701855	77620
1.614000	0.199317	0.095323	0.705359	77620
1.632000	0.196934	0.092747	0.710320	77620
1.650000	0.195195	0.090363	0.714442	77620
1.668000	0.193958	0.089281	0.716761	77620
1.686000	0.192334	0.087001	0.720665	77620
1.704000	0.179657	0.081577	0.738766	77620
1.722000	0.172030	0.075702	0.752267	77620
1.740000	0.168707	0.071528	0.759766	77620
1.758000	0.164159	0.069080	0.766761	77620
1.776000	0.163618	0.068333	0.768049	77620
1.794000	0.161273	0.067367	0.771360	77620
1.812000	0.158889	0.065589	0.775522	77620
1.830000	0.157975	0.065331	0.776694	77620
1.848000	0.154032	0.062651	0.783316	77620
1.866000	0.151585	0.060242	0.788173	77620
1.884000	0.145091	0.054123	0.800786	77620
1.902000	0.145027	0.054097	0.800876	77620
1.920000	0.143558	0.051984	0.804458	77620
1.938000	0.143558	0.051984	0.804458	77620
1.956000	0.143533	0.051984	0.804483	77620
1.974000	0.142979	0.051353	0.805669	77620
1.992000	0.142631	0.051031	0.806339	77620
2.010000	0.142296	0.050992	0.806712	77620
2.028000	0.138405	0.047179	0.814416	77620
2.046000	0.132144	0.045182	0.822675	77620
2.064000	0.132131	0.045169	0.822700	77620
2.082000	0.126230	0.041342	0.832427	77620
2.100000	0.121605	0.040350	0.838044	77620
2.118000	0.116684	0.039075	0.844241	77620
2.136000	0.116632	0.038985	0.844383	77620
2.154000	0.110332	0.035571	0.854097	77620
2.172000	0.109379	0.035262	0.855359	77620
2.190000	0.108993	0.034643	0.856364	77620
2.208000	0.108915	0.034579	0.856506	77620
2.226000	0.106854	0.033703	0.859443	77620
2.244000	0.106467	0.033226	0.860307	77620
2.262000	0.101688	0.028575	0.869737	77620
2.280000	0.099266	0.026965	0.873770	77620
2.298000	0.099150	0.026797	0.874053	77620
2.316000	0.098364	0.026385	0.875251	77620
2.334000	0.097797	0.026269	0.875934	77620
2.352000	0.097642	0.026114	0.876243	77620
2.370000	0.090544	0.022636	0.886820	77620
2.388000	0.085957	0.020510	0.893533	77620
2.406000	0.085957	0.020510	0.893533	77620
2.424000	0.084282	0.020317	0.895401	77620
2.442000	0.082118	0.019699	0.898183	77620
2.460000	0.077970	0.017998	0.904032	77620
2.478000	0.073138	0.016658	0.910204	77620
2.496000	0.072971	0.016465	0.910564	77620
2.514000	0.072005	0.015743	0.912252	77620
2.532000	0.069480	0.014056	0.916465	77620
2.550000	0.069299	0.014017	0.916684	77620
2.568000	0.067766	0.013605	0.918629	77620
2.586000	0.065151	0.012510	0.922340	77620
2.604000	0.060770	0.010448	0.928781	77620
2.622000	0.056223	0.009469	0.934308	77620
2.640000	0.056120	0.009340	0.934540	77620
2.658000	0.053788	0.008503	0.937709	77620
2.676000	0.052087	0.008374	0.939539	77620
2.694000	0.051314	0.007769	0.940917	77620
2.712000	0.044525	0.006132	0.949343	77620
2.730000	0.043314	0.005939	0.950747	77620
2.748000	0.040840	0.004754	0.954406	77620
2.766000	0.034128	0.003607	0.962265	77620
2.784000	0.033844	0.003478	0.962677	77620
2.802000	0.030997	0.002796	0.966207	77620
2.820000	0.029773	0.002590	0.967637	77620
2.838000	0.025032	0.001675	0.973293	77620
2.856000	0.020922	0.001430	0.977648	77620
2.874000	0.019325	0.001082	0.979593	77620
2.892000	0.016542	0.000799	0.982659	77620
2.910000	0.013463	0.000593	0.985944	77620
2.928000	0.009946	0.000322	0.989732	77620
2.946000	0.006274	0.000180	0.993545	77620
2.964000	0.003865	0.000064	0.996071	77620
2.982000	0.001327	0.000013	0.998660	77620
