# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 0
# Number of Events 565809
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.198972	0.370639	0.430389	565809
1.218000	0.180579	0.334035	0.485386	565809
1.236000	0.171982	0.317747	0.510271	565809
1.254000	0.161586	0.298553	0.539861	565809
1.272000	0.151100	0.279301	0.569599	565809
1.290000	0.142050	0.262912	0.595038	565809
1.308000	0.131454	0.243694	0.624852	565809
1.326000	0.124220	0.230078	0.645702	565809
1.344000	0.113307	0.210606	0.676087	565809
1.362000	0.104309	0.193968	0.701723	565809
1.380000	0.095893	0.177788	0.726319	565809
1.398000	0.088804	0.165241	0.745955	565809
1.416000	0.082466	0.153329	0.764205	565809
1.434000	0.076460	0.142256	0.781283	565809
1.452000	0.072512	0.133955	0.793533	565809
1.470000	0.066438	0.122241	0.811321	565809
1.488000	0.061102	0.111921	0.826977	565809
1.506000	0.055346	0.100903	0.843751	565809
1.524000	0.049336	0.089323	0.861340	565809
1.542000	0.043911	0.079534	0.876556	565809
1.560000	0.040270	0.072251	0.887480	565809
1.578000	0.038297	0.068442	0.893261	565809
1.596000	0.033004	0.058606	0.908390	565809
1.614000	0.028563	0.050165	0.921272	565809
1.632000	0.024475	0.041974	0.933552	565809
1.650000	0.022294	0.037700	0.940006	565809
1.668000	0.019362	0.032292	0.948347	565809
1.686000	0.017547	0.029282	0.953171	565809
1.704000	0.016285	0.026654	0.957061	565809
1.722000	0.014885	0.023686	0.961429	565809
1.740000	0.013978	0.021764	0.964258	565809
1.758000	0.012686	0.019478	0.967835	565809
1.776000	0.011712	0.017550	0.970737	565809
1.794000	0.011051	0.016421	0.972528	565809
1.812000	0.010534	0.015426	0.974041	565809
1.830000	0.010208	0.014789	0.975002	565809
1.848000	0.009648	0.013667	0.976685	565809
1.866000	0.009390	0.013259	0.977351	565809
1.884000	0.008521	0.011925	0.979555	565809
1.902000	0.008057	0.011163	0.980780	565809
1.920000	0.007697	0.010521	0.981782	565809
1.938000	0.007130	0.009682	0.983189	565809
1.956000	0.006773	0.009010	0.984217	565809
1.974000	0.006550	0.008729	0.984721	565809
1.992000	0.006188	0.008204	0.985608	565809
2.010000	0.005930	0.007722	0.986349	565809
2.028000	0.005516	0.007207	0.987277	565809
2.046000	0.005350	0.006955	0.987695	565809
2.064000	0.004996	0.006476	0.988528	565809
2.082000	0.004848	0.006269	0.988883	565809
2.100000	0.004505	0.005783	0.989712	565809
2.118000	0.004319	0.005562	0.990119	565809
2.136000	0.004077	0.005233	0.990689	565809
2.154000	0.003855	0.004908	0.991237	565809
2.172000	0.003464	0.004348	0.992188	565809
2.190000	0.003190	0.004044	0.992766	565809
2.208000	0.002960	0.003761	0.993279	565809
2.226000	0.002711	0.003404	0.993885	565809
2.244000	0.002568	0.003176	0.994256	565809
2.262000	0.002365	0.002909	0.994726	565809
2.280000	0.002119	0.002617	0.995263	565809
2.298000	0.001987	0.002473	0.995541	565809
2.316000	0.001852	0.002301	0.995847	565809
2.334000	0.001771	0.002144	0.996085	565809
2.352000	0.001718	0.002068	0.996214	565809
2.370000	0.001564	0.001900	0.996536	565809
2.388000	0.001490	0.001787	0.996723	565809
2.406000	0.001433	0.001688	0.996879	565809
2.424000	0.001248	0.001481	0.997271	565809
2.442000	0.001165	0.001373	0.997462	565809
2.460000	0.001119	0.001294	0.997588	565809
2.478000	0.001000	0.001158	0.997842	565809
2.496000	0.000930	0.001066	0.998005	565809
2.514000	0.000848	0.000954	0.998197	565809
2.532000	0.000756	0.000824	0.998420	565809
2.550000	0.000675	0.000744	0.998581	565809
2.568000	0.000604	0.000645	0.998750	565809
2.586000	0.000557	0.000571	0.998872	565809
2.604000	0.000537	0.000523	0.998940	565809
2.622000	0.000484	0.000433	0.999083	565809
2.640000	0.000421	0.000362	0.999217	565809
2.658000	0.000392	0.000329	0.999279	565809
2.676000	0.000364	0.000292	0.999344	565809
2.694000	0.000339	0.000263	0.999397	565809
2.712000	0.000285	0.000198	0.999518	565809
2.730000	0.000263	0.000179	0.999558	565809
2.748000	0.000253	0.000168	0.999579	565809
2.766000	0.000233	0.000159	0.999608	565809
2.784000	0.000216	0.000154	0.999631	565809
2.802000	0.000210	0.000145	0.999645	565809
2.820000	0.000196	0.000134	0.999669	565809
2.838000	0.000191	0.000133	0.999677	565809
2.856000	0.000170	0.000122	0.999708	565809
2.874000	0.000156	0.000113	0.999731	565809
2.892000	0.000154	0.000110	0.999737	565809
2.910000	0.000134	0.000104	0.999761	565809
2.928000	0.000111	0.000094	0.999795	565809
2.946000	0.000103	0.000081	0.999816	565809
2.964000	0.000095	0.000074	0.999830	565809
2.982000	0.000092	0.000069	0.999839	565809
