# Number of Tags, Misstags and Rejected as a function of k
# Number of Events
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.000000	0.842436	0.157564	643231
1.218000	0.000000	0.827948	0.172052	643231
1.236000	0.000000	0.815991	0.184009	643231
1.254000	0.000000	0.807243	0.192757	643231
1.272000	0.000000	0.797692	0.202308	643231
1.290000	0.000000	0.781065	0.218935	643231
1.308000	0.000000	0.770771	0.229229	643231
1.326000	0.000000	0.762749	0.237251	643231
1.344000	0.000000	0.753494	0.246506	643231
1.362000	0.000000	0.748907	0.251093	643231
1.380000	0.000000	0.739972	0.260028	643231
1.398000	0.000000	0.725859	0.274141	643231
1.416000	0.000000	0.712780	0.287220	643231
1.434000	0.000000	0.704759	0.295241	643231
1.452000	0.000000	0.691442	0.308558	643231
1.470000	0.000000	0.678978	0.321022	643231
1.488000	0.000000	0.664068	0.335932	643231
1.506000	0.000000	0.646917	0.353083	643231
1.524000	0.000000	0.623889	0.376111	643231
1.542000	0.000000	0.605153	0.394847	643231
1.560000	0.000000	0.587682	0.412318	643231
1.578000	0.000000	0.565337	0.434663	643231
1.596000	0.000000	0.542169	0.457831	643231
1.614000	0.000000	0.516883	0.483117	643231
1.632000	0.000000	0.499545	0.500455	643231
1.650000	0.000000	0.482314	0.517686	643231
1.668000	0.000000	0.460116	0.539884	643231
1.686000	0.000000	0.442751	0.557249	643231
1.704000	0.000000	0.415485	0.584515	643231
1.722000	0.000000	0.399054	0.600946	643231
1.740000	0.000000	0.380412	0.619588	643231
1.758000	0.000000	0.367089	0.632911	643231
1.776000	0.000000	0.355745	0.644255	643231
1.794000	0.000000	0.338665	0.661335	643231
1.812000	0.000000	0.322268	0.677732	643231
1.830000	0.000000	0.312357	0.687643	643231
1.848000	0.000000	0.299485	0.700515	643231
1.866000	0.000000	0.287076	0.712924	643231
1.884000	0.000000	0.274897	0.725103	643231
1.902000	0.000000	0.268207	0.731793	643231
1.920000	0.000000	0.259782	0.740218	643231
1.938000	0.000000	0.253186	0.746814	643231
1.956000	0.000000	0.243322	0.756678	643231
1.974000	0.000000	0.235396	0.764604	643231
1.992000	0.000000	0.226475	0.773525	643231
2.010000	0.000000	0.220554	0.779446	643231
2.028000	0.000000	0.213006	0.786994	643231
2.046000	0.000000	0.208773	0.791227	643231
2.064000	0.000000	0.204087	0.795913	643231
2.082000	0.000000	0.199369	0.800631	643231
2.100000	0.000000	0.189759	0.810241	643231
2.118000	0.000000	0.183253	0.816747	643231
2.136000	0.000000	0.179492	0.820508	643231
2.154000	0.000000	0.175924	0.824076	643231
2.172000	0.000000	0.172877	0.827123	643231
2.190000	0.000000	0.168914	0.831086	643231
2.208000	0.000000	0.164883	0.835117	643231
2.226000	0.000000	0.159353	0.840647	643231
2.244000	0.000000	0.154570	0.845430	643231
2.262000	0.000000	0.149205	0.850795	643231
2.280000	0.000000	0.145139	0.854861	643231
2.298000	0.000000	0.142050	0.857950	643231
2.316000	0.000000	0.137044	0.862956	643231
2.334000	0.000000	0.133330	0.866670	643231
2.352000	0.000000	0.131340	0.868660	643231
2.370000	0.000000	0.127839	0.872161	643231
2.388000	0.000000	0.124469	0.875531	643231
2.406000	0.000000	0.121244	0.878756	643231
2.424000	0.000000	0.117368	0.882632	643231
2.442000	0.000000	0.114739	0.885261	643231
2.460000	0.000000	0.111002	0.888998	643231
2.478000	0.000000	0.107557	0.892443	643231
2.496000	0.000000	0.105721	0.894279	643231
2.514000	0.000000	0.101534	0.898466	643231
2.532000	0.000000	0.098789	0.901211	643231
2.550000	0.000000	0.095507	0.904493	643231
2.568000	0.000000	0.092735	0.907265	643231
2.586000	0.000000	0.090868	0.909132	643231
2.604000	0.000000	0.088087	0.911913	643231
2.622000	0.000000	0.085938	0.914062	643231
2.640000	0.000000	0.082373	0.917627	643231
2.658000	0.000000	0.080192	0.919808	643231
2.676000	0.000000	0.076937	0.923063	643231
2.694000	0.000000	0.073781	0.926219	643231
2.712000	0.000000	0.071144	0.928856	643231
2.730000	0.000000	0.068722	0.931278	643231
2.748000	0.000000	0.066611	0.933389	643231
2.766000	0.000000	0.063800	0.936200	643231
2.784000	0.000000	0.061319	0.938681	643231
2.802000	0.000000	0.059018	0.940982	643231
2.820000	0.000000	0.057390	0.942610	643231
2.838000	0.000000	0.055302	0.944698	643231
2.856000	0.000000	0.053166	0.946834	643231
2.874000	0.000000	0.050801	0.949199	643231
2.892000	0.000000	0.049219	0.950781	643231
2.910000	0.000000	0.047350	0.952650	643231
2.928000	0.000000	0.044959	0.955041	643231
2.946000	0.000000	0.043585	0.956415	643231
2.964000	0.000000	0.041697	0.958303	643231
2.982000	0.000000	0.040640	0.959360	643231
