# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 903165
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.000000	0.254179	0.745821	903165
1.218000	0.000000	0.227595	0.772405	903165
1.236000	0.000000	0.217311	0.782689	903165
1.254000	0.000000	0.205260	0.794740	903165
1.272000	0.000000	0.197214	0.802786	903165
1.290000	0.000000	0.187625	0.812375	903165
1.308000	0.000000	0.182632	0.817368	903165
1.326000	0.000000	0.172058	0.827942	903165
1.344000	0.000000	0.155235	0.844765	903165
1.362000	0.000000	0.151805	0.848195	903165
1.380000	0.000000	0.146363	0.853637	903165
1.398000	0.000000	0.137666	0.862334	903165
1.416000	0.000000	0.123513	0.876487	903165
1.434000	0.000000	0.121636	0.878364	903165
1.452000	0.000000	0.116323	0.883677	903165
1.470000	0.000000	0.108651	0.891349	903165
1.488000	0.000000	0.101614	0.898386	903165
1.506000	0.000000	0.095047	0.904953	903165
1.524000	0.000000	0.094009	0.905991	903165
1.542000	0.000000	0.088975	0.911025	903165
1.560000	0.000000	0.083120	0.916880	903165
1.578000	0.000000	0.079973	0.920027	903165
1.596000	0.000000	0.074827	0.925173	903165
1.614000	0.000000	0.071779	0.928221	903165
1.632000	0.000000	0.068957	0.931043	903165
1.650000	0.000000	0.062871	0.937129	903165
1.668000	0.000000	0.057136	0.942864	903165
1.686000	0.000000	0.051993	0.948007	903165
1.704000	0.000000	0.048060	0.951940	903165
1.722000	0.000000	0.045679	0.954321	903165
1.740000	0.000000	0.043819	0.956181	903165
1.758000	0.000000	0.041131	0.958869	903165
1.776000	0.000000	0.039483	0.960517	903165
1.794000	0.000000	0.037895	0.962105	903165
1.812000	0.000000	0.035382	0.964618	903165
1.830000	0.000000	0.031060	0.968940	903165
1.848000	0.000000	0.028837	0.971163	903165
1.866000	0.000000	0.026567	0.973433	903165
1.884000	0.000000	0.024661	0.975339	903165
1.902000	0.000000	0.023507	0.976493	903165
1.920000	0.000000	0.022076	0.977924	903165
1.938000	0.000000	0.021419	0.978581	903165
1.956000	0.000000	0.020738	0.979262	903165
1.974000	0.000000	0.019997	0.980003	903165
1.992000	0.000000	0.018860	0.981140	903165
2.010000	0.000000	0.018229	0.981771	903165
2.028000	0.000000	0.017548	0.982452	903165
2.046000	0.000000	0.015496	0.984504	903165
2.064000	0.000000	0.014305	0.985695	903165
2.082000	0.000000	0.013447	0.986553	903165
2.100000	0.000000	0.012008	0.987992	903165
2.118000	0.000000	0.011599	0.988401	903165
2.136000	0.000000	0.011075	0.988925	903165
2.154000	0.000000	0.010686	0.989314	903165
2.172000	0.000000	0.010202	0.989798	903165
2.190000	0.000000	0.009879	0.990121	903165
2.208000	0.000000	0.009739	0.990261	903165
2.226000	0.000000	0.008942	0.991058	903165
2.244000	0.000000	0.008323	0.991677	903165
2.262000	0.000000	0.007991	0.992009	903165
2.280000	0.000000	0.007257	0.992743	903165
2.298000	0.000000	0.006926	0.993074	903165
2.316000	0.000000	0.005894	0.994106	903165
2.334000	0.000000	0.005425	0.994575	903165
2.352000	0.000000	0.004894	0.995106	903165
2.370000	0.000000	0.004660	0.995340	903165
2.388000	0.000000	0.004439	0.995561	903165
2.406000	0.000000	0.004159	0.995841	903165
2.424000	0.000000	0.004031	0.995969	903165
2.442000	0.000000	0.003457	0.996543	903165
2.460000	0.000000	0.003391	0.996609	903165
2.478000	0.000000	0.003318	0.996682	903165
2.496000	0.000000	0.003193	0.996807	903165
2.514000	0.000000	0.003085	0.996915	903165
2.532000	0.000000	0.003001	0.996999	903165
2.550000	0.000000	0.002661	0.997339	903165
2.568000	0.000000	0.002385	0.997615	903165
2.586000	0.000000	0.002166	0.997834	903165
2.604000	0.000000	0.002149	0.997851	903165
2.622000	0.000000	0.001900	0.998100	903165
2.640000	0.000000	0.001676	0.998324	903165
2.658000	0.000000	0.001551	0.998449	903165
2.676000	0.000000	0.001538	0.998462	903165
2.694000	0.000000	0.001417	0.998583	903165
2.712000	0.000000	0.001128	0.998872	903165
2.730000	0.000000	0.001122	0.998878	903165
2.748000	0.000000	0.000700	0.999300	903165
2.766000	0.000000	0.000688	0.999312	903165
2.784000	0.000000	0.000454	0.999546	903165
2.802000	0.000000	0.000259	0.999741	903165
2.820000	0.000000	0.000257	0.999743	903165
2.838000	0.000000	0.000251	0.999749	903165
2.856000	0.000000	0.000102	0.999898	903165
2.874000	0.000000	0.000096	0.999904	903165
2.892000	0.000000	0.000093	0.999907	903165
2.910000	0.000000	0.000091	0.999909	903165
2.928000	0.000000	0.000075	0.999925	903165
2.946000	0.000000	0.000069	0.999931	903165
2.964000	0.000000	0.000064	0.999936	903165
2.982000	0.000000	0.000054	0.999946	903165
