# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 200
# Number of Events 0
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	-nan	-nan	-nan	0
1.218000	-nan	-nan	-nan	0
1.236000	-nan	-nan	-nan	0
1.254000	-nan	-nan	-nan	0
1.272000	-nan	-nan	-nan	0
1.290000	-nan	-nan	-nan	0
1.308000	-nan	-nan	-nan	0
1.326000	-nan	-nan	-nan	0
1.344000	-nan	-nan	-nan	0
1.362000	-nan	-nan	-nan	0
1.380000	-nan	-nan	-nan	0
1.398000	-nan	-nan	-nan	0
1.416000	-nan	-nan	-nan	0
1.434000	-nan	-nan	-nan	0
1.452000	-nan	-nan	-nan	0
1.470000	-nan	-nan	-nan	0
1.488000	-nan	-nan	-nan	0
1.506000	-nan	-nan	-nan	0
1.524000	-nan	-nan	-nan	0
1.542000	-nan	-nan	-nan	0
1.560000	-nan	-nan	-nan	0
1.578000	-nan	-nan	-nan	0
1.596000	-nan	-nan	-nan	0
1.614000	-nan	-nan	-nan	0
1.632000	-nan	-nan	-nan	0
1.650000	-nan	-nan	-nan	0
1.668000	-nan	-nan	-nan	0
1.686000	-nan	-nan	-nan	0
1.704000	-nan	-nan	-nan	0
1.722000	-nan	-nan	-nan	0
1.740000	-nan	-nan	-nan	0
1.758000	-nan	-nan	-nan	0
1.776000	-nan	-nan	-nan	0
1.794000	-nan	-nan	-nan	0
1.812000	-nan	-nan	-nan	0
1.830000	-nan	-nan	-nan	0
1.848000	-nan	-nan	-nan	0
1.866000	-nan	-nan	-nan	0
1.884000	-nan	-nan	-nan	0
1.902000	-nan	-nan	-nan	0
1.920000	-nan	-nan	-nan	0
1.938000	-nan	-nan	-nan	0
1.956000	-nan	-nan	-nan	0
1.974000	-nan	-nan	-nan	0
1.992000	-nan	-nan	-nan	0
2.010000	-nan	-nan	-nan	0
2.028000	-nan	-nan	-nan	0
2.046000	-nan	-nan	-nan	0
2.064000	-nan	-nan	-nan	0
2.082000	-nan	-nan	-nan	0
2.100000	-nan	-nan	-nan	0
2.118000	-nan	-nan	-nan	0
2.136000	-nan	-nan	-nan	0
2.154000	-nan	-nan	-nan	0
2.172000	-nan	-nan	-nan	0
2.190000	-nan	-nan	-nan	0
2.208000	-nan	-nan	-nan	0
2.226000	-nan	-nan	-nan	0
2.244000	-nan	-nan	-nan	0
2.262000	-nan	-nan	-nan	0
2.280000	-nan	-nan	-nan	0
2.298000	-nan	-nan	-nan	0
2.316000	-nan	-nan	-nan	0
2.334000	-nan	-nan	-nan	0
2.352000	-nan	-nan	-nan	0
2.370000	-nan	-nan	-nan	0
2.388000	-nan	-nan	-nan	0
2.406000	-nan	-nan	-nan	0
2.424000	-nan	-nan	-nan	0
2.442000	-nan	-nan	-nan	0
2.460000	-nan	-nan	-nan	0
2.478000	-nan	-nan	-nan	0
2.496000	-nan	-nan	-nan	0
2.514000	-nan	-nan	-nan	0
2.532000	-nan	-nan	-nan	0
2.550000	-nan	-nan	-nan	0
2.568000	-nan	-nan	-nan	0
2.586000	-nan	-nan	-nan	0
2.604000	-nan	-nan	-nan	0
2.622000	-nan	-nan	-nan	0
2.640000	-nan	-nan	-nan	0
2.658000	-nan	-nan	-nan	0
2.676000	-nan	-nan	-nan	0
2.694000	-nan	-nan	-nan	0
2.712000	-nan	-nan	-nan	0
2.730000	-nan	-nan	-nan	0
2.748000	-nan	-nan	-nan	0
2.766000	-nan	-nan	-nan	0
2.784000	-nan	-nan	-nan	0
2.802000	-nan	-nan	-nan	0
2.820000	-nan	-nan	-nan	0
2.838000	-nan	-nan	-nan	0
2.856000	-nan	-nan	-nan	0
2.874000	-nan	-nan	-nan	0
2.892000	-nan	-nan	-nan	0
2.910000	-nan	-nan	-nan	0
2.928000	-nan	-nan	-nan	0
2.946000	-nan	-nan	-nan	0
2.964000	-nan	-nan	-nan	0
2.982000	-nan	-nan	-nan	0
