# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 974453
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.000000	0.170573	0.829427	974453
1.218000	0.000000	0.145564	0.854436	974453
1.236000	0.000000	0.136170	0.863830	974453
1.254000	0.000000	0.132315	0.867685	974453
1.272000	0.000000	0.127695	0.872305	974453
1.290000	0.000000	0.123720	0.876280	974453
1.308000	0.000000	0.114769	0.885231	974453
1.326000	0.000000	0.110397	0.889603	974453
1.344000	0.000000	0.100951	0.899049	974453
1.362000	0.000000	0.095035	0.904965	974453
1.380000	0.000000	0.086503	0.913497	974453
1.398000	0.000000	0.080985	0.919015	974453
1.416000	0.000000	0.074715	0.925285	974453
1.434000	0.000000	0.070758	0.929242	974453
1.452000	0.000000	0.066969	0.933031	974453
1.470000	0.000000	0.064911	0.935089	974453
1.488000	0.000000	0.060026	0.939974	974453
1.506000	0.000000	0.055522	0.944478	974453
1.524000	0.000000	0.052478	0.947522	974453
1.542000	0.000000	0.049781	0.950219	974453
1.560000	0.000000	0.044271	0.955729	974453
1.578000	0.000000	0.039643	0.960357	974453
1.596000	0.000000	0.038093	0.961907	974453
1.614000	0.000000	0.034944	0.965056	974453
1.632000	0.000000	0.032411	0.967589	974453
1.650000	0.000000	0.030842	0.969158	974453
1.668000	0.000000	0.029226	0.970774	974453
1.686000	0.000000	0.027549	0.972451	974453
1.704000	0.000000	0.025464	0.974536	974453
1.722000	0.000000	0.023236	0.976764	974453
1.740000	0.000000	0.022300	0.977700	974453
1.758000	0.000000	0.019201	0.980799	974453
1.776000	0.000000	0.017250	0.982750	974453
1.794000	0.000000	0.016378	0.983622	974453
1.812000	0.000000	0.015610	0.984390	974453
1.830000	0.000000	0.014670	0.985330	974453
1.848000	0.000000	0.013730	0.986270	974453
1.866000	0.000000	0.012554	0.987446	974453
1.884000	0.000000	0.011429	0.988571	974453
1.902000	0.000000	0.010635	0.989365	974453
1.920000	0.000000	0.009623	0.990377	974453
1.938000	0.000000	0.008293	0.991707	974453
1.956000	0.000000	0.007599	0.992401	974453
1.974000	0.000000	0.007246	0.992754	974453
1.992000	0.000000	0.006720	0.993280	974453
2.010000	0.000000	0.006500	0.993500	974453
2.028000	0.000000	0.006118	0.993882	974453
2.046000	0.000000	0.005396	0.994604	974453
2.064000	0.000000	0.004716	0.995284	974453
2.082000	0.000000	0.004246	0.995754	974453
2.100000	0.000000	0.003879	0.996121	974453
2.118000	0.000000	0.003551	0.996449	974453
2.136000	0.000000	0.003313	0.996687	974453
2.154000	0.000000	0.002979	0.997021	974453
2.172000	0.000000	0.002566	0.997434	974453
2.190000	0.000000	0.002411	0.997589	974453
2.208000	0.000000	0.002221	0.997779	974453
2.226000	0.000000	0.001997	0.998003	974453
2.244000	0.000000	0.001811	0.998189	974453
2.262000	0.000000	0.001620	0.998380	974453
2.280000	0.000000	0.001440	0.998560	974453
2.298000	0.000000	0.001310	0.998690	974453
2.316000	0.000000	0.001149	0.998851	974453
2.334000	0.000000	0.000999	0.999001	974453
2.352000	0.000000	0.000875	0.999125	974453
2.370000	0.000000	0.000791	0.999209	974453
2.388000	0.000000	0.000734	0.999266	974453
2.406000	0.000000	0.000638	0.999362	974453
2.424000	0.000000	0.000587	0.999413	974453
2.442000	0.000000	0.000542	0.999458	974453
2.460000	0.000000	0.000426	0.999574	974453
2.478000	0.000000	0.000385	0.999615	974453
2.496000	0.000000	0.000357	0.999643	974453
2.514000	0.000000	0.000310	0.999690	974453
2.532000	0.000000	0.000275	0.999725	974453
2.550000	0.000000	0.000231	0.999769	974453
2.568000	0.000000	0.000211	0.999789	974453
2.586000	0.000000	0.000171	0.999829	974453
2.604000	0.000000	0.000151	0.999849	974453
2.622000	0.000000	0.000135	0.999865	974453
2.640000	0.000000	0.000118	0.999882	974453
2.658000	0.000000	0.000100	0.999900	974453
2.676000	0.000000	0.000087	0.999913	974453
2.694000	0.000000	0.000080	0.999920	974453
2.712000	0.000000	0.000063	0.999937	974453
2.730000	0.000000	0.000049	0.999951	974453
2.748000	0.000000	0.000039	0.999961	974453
2.766000	0.000000	0.000036	0.999964	974453
2.784000	0.000000	0.000033	0.999967	974453
2.802000	0.000000	0.000029	0.999971	974453
2.820000	0.000000	0.000024	0.999976	974453
2.838000	0.000000	0.000016	0.999984	974453
2.856000	0.000000	0.000014	0.999986	974453
2.874000	0.000000	0.000011	0.999989	974453
2.892000	0.000000	0.000010	0.999990	974453
2.910000	0.000000	0.000008	0.999992	974453
2.928000	0.000000	0.000008	0.999992	974453
2.946000	0.000000	0.000008	0.999992	974453
2.964000	0.000000	0.000007	0.999993	974453
2.982000	0.000000	0.000006	0.999994	974453
