# Number of Tags, Misstags and Rejected as a function of k
# Number of Events
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.262613	0.666866	0.070521	627658
1.218000	0.261319	0.662802	0.075879	627658
1.236000	0.260808	0.659907	0.079285	627658
1.254000	0.259713	0.658411	0.081876	627658
1.272000	0.259023	0.655011	0.085966	627658
1.290000	0.257967	0.652605	0.089428	627658
1.308000	0.256374	0.649221	0.094405	627658
1.326000	0.255650	0.647714	0.096635	627658
1.344000	0.254782	0.645680	0.099538	627658
1.362000	0.253609	0.640216	0.106174	627658
1.380000	0.252920	0.638416	0.108664	627658
1.398000	0.251620	0.631240	0.117140	627658
1.416000	0.250351	0.623840	0.125809	627658
1.434000	0.249741	0.622755	0.127504	627658
1.452000	0.249042	0.618692	0.132266	627658
1.470000	0.247512	0.609337	0.143151	627658
1.488000	0.246991	0.606888	0.146121	627658
1.506000	0.245525	0.597924	0.156550	627658
1.524000	0.245063	0.596742	0.158194	627658
1.542000	0.243972	0.589391	0.166637	627658
1.560000	0.243591	0.588363	0.168045	627658
1.578000	0.243129	0.586287	0.170583	627658
1.596000	0.242901	0.585478	0.171621	627658
1.614000	0.241407	0.577905	0.180688	627658
1.632000	0.239841	0.574635	0.185525	627658
1.650000	0.238243	0.563431	0.198326	627658
1.668000	0.237338	0.560904	0.201758	627658
1.686000	0.236132	0.555071	0.208797	627658
1.704000	0.235150	0.546801	0.218049	627658
1.722000	0.234075	0.540219	0.225706	627658
1.740000	0.232673	0.529008	0.238319	627658
1.758000	0.231172	0.516995	0.251833	627658
1.776000	0.228529	0.504587	0.266884	627658
1.794000	0.225894	0.480400	0.293706	627658
1.812000	0.224909	0.470803	0.304288	627658
1.830000	0.222938	0.459215	0.317847	627658
1.848000	0.221291	0.451423	0.327287	627658
1.866000	0.219540	0.439365	0.341095	627658
1.884000	0.217193	0.416368	0.366438	627658
1.902000	0.216492	0.412832	0.370676	627658
1.920000	0.215151	0.407024	0.377825	627658
1.938000	0.213157	0.388551	0.398292	627658
1.956000	0.210143	0.365779	0.424078	627658
1.974000	0.208021	0.358786	0.433193	627658
1.992000	0.205238	0.337805	0.456957	627658
2.010000	0.201927	0.318422	0.479651	627658
2.028000	0.201428	0.316628	0.481944	627658
2.046000	0.198705	0.305195	0.496100	627658
2.064000	0.196790	0.295014	0.508196	627658
2.082000	0.194835	0.279883	0.525281	627658
2.100000	0.192441	0.270544	0.537015	627658
2.118000	0.189941	0.252250	0.557809	627658
2.136000	0.188466	0.244789	0.566745	627658
2.154000	0.186146	0.235259	0.578595	627658
2.172000	0.184957	0.228905	0.586138	627658
2.190000	0.182746	0.216698	0.600556	627658
2.208000	0.179936	0.209166	0.610898	627658
2.226000	0.177630	0.201992	0.620378	627658
2.244000	0.176466	0.196322	0.627213	627658
2.262000	0.175178	0.190862	0.633960	627658
2.280000	0.172492	0.184479	0.643029	627658
2.298000	0.170926	0.181213	0.647861	627658
2.316000	0.169776	0.177624	0.652601	627658
2.334000	0.167811	0.172685	0.659504	627658
2.352000	0.166243	0.169365	0.664392	627658
2.370000	0.163270	0.161159	0.675570	627658
2.388000	0.163161	0.160803	0.676037	627658
2.406000	0.160603	0.148197	0.691200	627658
2.424000	0.159311	0.146946	0.693742	627658
2.442000	0.158249	0.145337	0.696414	627658
2.460000	0.156781	0.142665	0.700553	627658
2.478000	0.155263	0.138980	0.705757	627658
2.496000	0.153679	0.135429	0.710892	627658
2.514000	0.151315	0.131631	0.717055	627658
2.532000	0.148890	0.128755	0.722355	627658
2.550000	0.148216	0.127802	0.723982	627658
2.568000	0.145379	0.125505	0.729117	627658
2.586000	0.143081	0.118557	0.738362	627658
2.604000	0.141529	0.116642	0.741829	627658
2.622000	0.138923	0.112324	0.748753	627658
2.640000	0.138037	0.110936	0.751027	627658
2.658000	0.136329	0.105336	0.758335	627658
2.676000	0.135728	0.103622	0.760650	627658
2.694000	0.134220	0.102491	0.763290	627658
2.712000	0.132990	0.101606	0.765404	627658
2.730000	0.131294	0.098735	0.769970	627658
2.748000	0.129547	0.097379	0.773074	627658
2.766000	0.127213	0.092950	0.779837	627658
2.784000	0.126336	0.091526	0.782138	627658
2.802000	0.123201	0.086350	0.790450	627658
2.820000	0.121236	0.085045	0.793719	627658
2.838000	0.120309	0.083230	0.796461	627658
2.856000	0.115710	0.078721	0.805569	627658
2.874000	0.114335	0.077252	0.808413	627658
2.892000	0.112429	0.073626	0.813945	627658
2.910000	0.108838	0.067846	0.823316	627658
2.928000	0.106888	0.066450	0.826662	627658
2.946000	0.104275	0.063366	0.832359	627658
2.964000	0.102495	0.062368	0.835136	627658
2.982000	0.100184	0.060608	0.839209	627658
