# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 627658
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.223384	0.184752	0.591864	627658
1.218000	0.219103	0.174815	0.606082	627658
1.236000	0.215697	0.166334	0.617969	627658
1.254000	0.212382	0.158562	0.629056	627658
1.272000	0.209527	0.152370	0.638104	627658
1.290000	0.206514	0.146876	0.646610	627658
1.308000	0.203353	0.142246	0.654401	627658
1.326000	0.201076	0.139079	0.659845	627658
1.344000	0.198712	0.136034	0.665254	627658
1.362000	0.196666	0.133783	0.669551	627658
1.380000	0.194439	0.131355	0.674206	627658
1.398000	0.192430	0.129116	0.678454	627658
1.416000	0.190333	0.126609	0.683058	627658
1.434000	0.188133	0.124391	0.687476	627658
1.452000	0.186363	0.122717	0.690921	627658
1.470000	0.184342	0.120567	0.695090	627658
1.488000	0.181753	0.118155	0.700091	627658
1.506000	0.179985	0.116380	0.703635	627658
1.524000	0.177617	0.114089	0.708293	627658
1.542000	0.176075	0.112612	0.711313	627658
1.560000	0.173983	0.110385	0.715632	627658
1.578000	0.171264	0.105465	0.723271	627658
1.596000	0.169517	0.102892	0.727591	627658
1.614000	0.167486	0.099723	0.732791	627658
1.632000	0.165490	0.097400	0.737110	627658
1.650000	0.164309	0.096333	0.739358	627658
1.668000	0.163385	0.095581	0.741034	627658
1.686000	0.161668	0.093250	0.745083	627658
1.704000	0.160044	0.091008	0.748948	627658
1.722000	0.158800	0.089855	0.751345	627658
1.740000	0.156893	0.086831	0.756277	627658
1.758000	0.155714	0.085591	0.758695	627658
1.776000	0.153894	0.083415	0.762691	627658
1.794000	0.152577	0.082435	0.764988	627658
1.812000	0.151235	0.081210	0.767555	627658
1.830000	0.149381	0.079376	0.771243	627658
1.848000	0.147972	0.078047	0.773980	627658
1.866000	0.146508	0.076798	0.776694	627658
1.884000	0.145007	0.075281	0.779711	627658
1.902000	0.143785	0.074246	0.781969	627658
1.920000	0.142820	0.073491	0.783690	627658
1.938000	0.141058	0.072194	0.786749	627658
1.956000	0.139603	0.069369	0.791028	627658
1.974000	0.138349	0.067667	0.793983	627658
1.992000	0.136820	0.066165	0.797015	627658
2.010000	0.134860	0.063979	0.801161	627658
2.028000	0.133410	0.063139	0.803450	627658
2.046000	0.132620	0.062601	0.804779	627658
2.064000	0.131427	0.061800	0.806774	627658
2.082000	0.129864	0.060740	0.809396	627658
2.100000	0.128838	0.060020	0.811142	627658
2.118000	0.127287	0.058776	0.813937	627658
2.136000	0.126069	0.058000	0.815932	627658
2.154000	0.124820	0.057055	0.818125	627658
2.172000	0.123613	0.056273	0.820114	627658
2.190000	0.122333	0.055535	0.822132	627658
2.208000	0.121185	0.054259	0.824556	627658
2.226000	0.119637	0.052825	0.827538	627658
2.244000	0.117867	0.051249	0.830884	627658
2.262000	0.116172	0.049267	0.834561	627658
2.280000	0.114233	0.046734	0.839033	627658
2.298000	0.112263	0.044907	0.842830	627658
2.316000	0.110598	0.043568	0.845833	627658
2.334000	0.109505	0.043033	0.847462	627658
2.352000	0.108825	0.042711	0.848464	627658
2.370000	0.107782	0.042240	0.849979	627658
2.388000	0.106496	0.041437	0.852068	627658
2.406000	0.105570	0.040818	0.853611	627658
2.424000	0.104638	0.040387	0.854975	627658
2.442000	0.103773	0.039855	0.856372	627658
2.460000	0.102701	0.039149	0.858150	627658
2.478000	0.101522	0.038398	0.860080	627658
2.496000	0.100219	0.037275	0.862506	627658
2.514000	0.098801	0.036268	0.864931	627658
2.532000	0.097112	0.034845	0.868043	627658
2.550000	0.095896	0.033834	0.870270	627658
2.568000	0.094735	0.033271	0.871994	627658
2.586000	0.093688	0.032688	0.873624	627658
2.604000	0.092633	0.032099	0.875268	627658
2.622000	0.091311	0.031504	0.877185	627658
2.640000	0.090076	0.030956	0.878968	627658
2.658000	0.088774	0.029997	0.881228	627658
2.676000	0.087341	0.028742	0.883918	627658
2.694000	0.086128	0.027542	0.886330	627658
2.712000	0.084627	0.026556	0.888817	627658
2.730000	0.083405	0.025887	0.890708	627658
2.748000	0.081928	0.024827	0.893244	627658
2.766000	0.080190	0.023717	0.896093	627658
2.784000	0.078987	0.023162	0.897850	627658
2.802000	0.077831	0.022695	0.899474	627658
2.820000	0.076538	0.022093	0.901368	627658
2.838000	0.075442	0.021601	0.902957	627658
2.856000	0.074413	0.021156	0.904430	627658
2.874000	0.072935	0.020602	0.906463	627658
2.892000	0.071743	0.020169	0.908088	627658
2.910000	0.070631	0.019805	0.909564	627658
2.928000	0.069157	0.019281	0.911562	627658
2.946000	0.068161	0.018920	0.912919	627658
2.964000	0.067072	0.018542	0.914386	627658
2.982000	0.066014	0.018166	0.915820	627658
