# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 150
# Number of Events 347340
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.072177	0.147988	0.779835	347340
1.218000	0.069540	0.135732	0.794729	347340
1.236000	0.066742	0.124293	0.808965	347340
1.254000	0.064009	0.113934	0.822056	347340
1.272000	0.061539	0.106176	0.832285	347340
1.290000	0.059380	0.099891	0.840730	347340
1.308000	0.057356	0.095451	0.847193	347340
1.326000	0.056115	0.092765	0.851120	347340
1.344000	0.055099	0.090482	0.854419	347340
1.362000	0.054474	0.089368	0.856158	347340
1.380000	0.053812	0.088046	0.858142	347340
1.398000	0.053328	0.086923	0.859748	347340
1.416000	0.052672	0.085737	0.861591	347340
1.434000	0.051984	0.084721	0.863295	347340
1.452000	0.051445	0.083972	0.864582	347340
1.470000	0.050797	0.082760	0.866442	347340
1.488000	0.050043	0.081851	0.868106	347340
1.506000	0.049375	0.081165	0.869459	347340
1.524000	0.048702	0.080290	0.871008	347340
1.542000	0.048221	0.079749	0.872030	347340
1.560000	0.047426	0.078574	0.874000	347340
1.578000	0.046073	0.073009	0.880918	347340
1.596000	0.045238	0.070329	0.884433	347340
1.614000	0.044112	0.067029	0.888858	347340
1.632000	0.043352	0.065198	0.891449	347340
1.650000	0.042964	0.064867	0.892169	347340
1.668000	0.042679	0.064605	0.892716	347340
1.686000	0.041855	0.062262	0.895883	347340
1.704000	0.040994	0.059924	0.899082	347340
1.722000	0.040594	0.059291	0.900115	347340
1.740000	0.039146	0.055513	0.905341	347340
1.758000	0.038766	0.054566	0.906668	347340
1.776000	0.037594	0.052079	0.910327	347340
1.794000	0.037301	0.051612	0.911087	347340
1.812000	0.036687	0.050538	0.912774	347340
1.830000	0.035628	0.048929	0.915443	347340
1.848000	0.035012	0.047835	0.917153	347340
1.866000	0.034560	0.046948	0.918492	347340
1.884000	0.033840	0.045607	0.920553	347340
1.902000	0.033388	0.044930	0.921682	347340
1.920000	0.033045	0.044564	0.922390	347340
1.938000	0.032424	0.043810	0.923766	347340
1.956000	0.031543	0.040208	0.928249	347340
1.974000	0.030996	0.038429	0.930575	347340
1.992000	0.030466	0.037185	0.932349	347340
2.010000	0.029720	0.035107	0.935173	347340
2.028000	0.029470	0.034900	0.935631	347340
2.046000	0.029294	0.034738	0.935968	347340
2.064000	0.029038	0.034422	0.936541	347340
2.082000	0.028718	0.034004	0.937278	347340
2.100000	0.028459	0.033731	0.937810	347340
2.118000	0.028128	0.033279	0.938593	347340
2.136000	0.027892	0.033031	0.939077	347340
2.154000	0.027500	0.032691	0.939808	347340
2.172000	0.027256	0.032395	0.940350	347340
2.190000	0.027028	0.032176	0.940796	347340
2.208000	0.026490	0.030886	0.942624	347340
2.226000	0.025828	0.029565	0.944608	347340
2.244000	0.025203	0.028465	0.946332	347340
2.262000	0.024518	0.026398	0.949084	347340
2.280000	0.023470	0.023594	0.952937	347340
2.298000	0.022721	0.022010	0.955269	347340
2.316000	0.022263	0.020968	0.956769	347340
2.334000	0.022056	0.020778	0.957166	347340
2.352000	0.021955	0.020700	0.957344	347340
2.370000	0.021760	0.020597	0.957644	347340
2.388000	0.021371	0.020147	0.958482	347340
2.406000	0.021057	0.019661	0.959282	347340
2.424000	0.020902	0.019577	0.959521	347340
2.442000	0.020510	0.019166	0.960324	347340
2.460000	0.020248	0.018835	0.960917	347340
2.478000	0.019891	0.018408	0.961700	347340
2.496000	0.019298	0.017329	0.963373	347340
2.514000	0.018763	0.016459	0.964778	347340
2.532000	0.018305	0.015478	0.966218	347340
2.550000	0.017815	0.014715	0.967470	347340
2.568000	0.017522	0.014444	0.968034	347340
2.586000	0.017306	0.014234	0.968460	347340
2.604000	0.017070	0.013839	0.969091	347340
2.622000	0.016862	0.013612	0.969526	347340
2.640000	0.016583	0.013373	0.970044	347340
2.658000	0.016137	0.012668	0.971195	347340
2.676000	0.015662	0.011562	0.972776	347340
2.694000	0.015075	0.010364	0.974561	347340
2.712000	0.014545	0.009604	0.975851	347340
2.730000	0.014237	0.009357	0.976406	347340
2.748000	0.013480	0.008438	0.978082	347340
2.766000	0.012961	0.007621	0.979418	347340
2.784000	0.012757	0.007416	0.979827	347340
2.802000	0.012544	0.007221	0.980236	347340
2.820000	0.012351	0.007028	0.980621	347340
2.838000	0.012230	0.006832	0.980938	347340
2.856000	0.012089	0.006699	0.981211	347340
2.874000	0.011936	0.006530	0.981534	347340
2.892000	0.011769	0.006403	0.981828	347340
2.910000	0.011628	0.006288	0.982084	347340
2.928000	0.011412	0.006150	0.982438	347340
2.946000	0.011292	0.006075	0.982634	347340
2.964000	0.011185	0.006023	0.982792	347340
2.982000	0.011038	0.005980	0.982982	347340
