# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 761252
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.396568	0.134791	0.468641	761252
1.218000	0.383135	0.122108	0.494757	761252
1.236000	0.376289	0.114547	0.509164	761252
1.254000	0.370123	0.107301	0.522576	761252
1.272000	0.365461	0.102659	0.531880	761252
1.290000	0.358812	0.097235	0.543954	761252
1.308000	0.352397	0.093409	0.554194	761252
1.326000	0.343968	0.086352	0.569680	761252
1.344000	0.337209	0.081084	0.581708	761252
1.362000	0.331805	0.076586	0.591610	761252
1.380000	0.326138	0.072446	0.601416	761252
1.398000	0.320715	0.067832	0.611453	761252
1.416000	0.316146	0.065504	0.618350	761252
1.434000	0.310729	0.060703	0.628568	761252
1.452000	0.306147	0.058259	0.635594	761252
1.470000	0.301292	0.055692	0.643016	761252
1.488000	0.294929	0.052235	0.652836	761252
1.506000	0.290724	0.049760	0.659516	761252
1.524000	0.285895	0.047385	0.666720	761252
1.542000	0.280745	0.045126	0.674129	761252
1.560000	0.275554	0.041659	0.682787	761252
1.578000	0.271857	0.039908	0.688235	761252
1.596000	0.267254	0.037742	0.695004	761252
1.614000	0.262348	0.036024	0.701628	761252
1.632000	0.257958	0.033734	0.708308	761252
1.650000	0.254405	0.032457	0.713138	761252
1.668000	0.248956	0.030889	0.720156	761252
1.686000	0.244224	0.029522	0.726254	761252
1.704000	0.240584	0.027406	0.732010	761252
1.722000	0.237796	0.025835	0.736369	761252
1.740000	0.232843	0.024289	0.742868	761252
1.758000	0.229425	0.023499	0.747076	761252
1.776000	0.224904	0.021831	0.753264	761252
1.794000	0.221648	0.021061	0.757291	761252
1.812000	0.217595	0.019745	0.762659	761252
1.830000	0.213758	0.018711	0.767530	761252
1.848000	0.211185	0.018209	0.770606	761252
1.866000	0.208149	0.017474	0.774377	761252
1.884000	0.203900	0.016340	0.779760	761252
1.902000	0.201485	0.015690	0.782825	761252
1.920000	0.196855	0.014504	0.788642	761252
1.938000	0.193806	0.014022	0.792173	761252
1.956000	0.190884	0.013482	0.795634	761252
1.974000	0.188208	0.013159	0.798633	761252
1.992000	0.185454	0.012465	0.802081	761252
2.010000	0.181576	0.011576	0.806848	761252
2.028000	0.178587	0.011074	0.810339	761252
2.046000	0.174799	0.010340	0.814862	761252
2.064000	0.171688	0.009878	0.818433	761252
2.082000	0.169240	0.009316	0.821444	761252
2.100000	0.166235	0.008946	0.824819	761252
2.118000	0.163332	0.008616	0.828052	761252
2.136000	0.159866	0.008168	0.831966	761252
2.154000	0.157152	0.007723	0.835126	761252
2.172000	0.154598	0.007268	0.838134	761252
2.190000	0.151640	0.006862	0.841498	761252
2.208000	0.147485	0.006467	0.846048	761252
2.226000	0.144738	0.006076	0.849187	761252
2.244000	0.142846	0.005892	0.851262	761252
2.262000	0.140582	0.005629	0.853790	761252
2.280000	0.137313	0.005276	0.857411	761252
2.298000	0.135410	0.005026	0.859564	761252
2.316000	0.132388	0.004776	0.862835	761252
2.334000	0.129697	0.004516	0.865787	761252
2.352000	0.127657	0.004385	0.867958	761252
2.370000	0.125028	0.004231	0.870741	761252
2.388000	0.122121	0.003890	0.873989	761252
2.406000	0.118063	0.003415	0.878521	761252
2.424000	0.116526	0.003310	0.880163	761252
2.442000	0.114394	0.003180	0.882425	761252
2.460000	0.113098	0.003069	0.883833	761252
2.478000	0.109363	0.002757	0.887879	761252
2.496000	0.107729	0.002675	0.889596	761252
2.514000	0.105932	0.002571	0.891497	761252
2.532000	0.103862	0.002468	0.893670	761252
2.550000	0.102251	0.002324	0.895425	761252
2.568000	0.099770	0.002110	0.898120	761252
2.586000	0.097926	0.002049	0.900025	761252
2.604000	0.096063	0.001959	0.901979	761252
2.622000	0.094060	0.001819	0.904121	761252
2.640000	0.092107	0.001713	0.906180	761252
2.658000	0.090169	0.001545	0.908287	761252
2.676000	0.088519	0.001487	0.909994	761252
2.694000	0.086540	0.001433	0.912027	761252
2.712000	0.084860	0.001353	0.913787	761252
2.730000	0.082999	0.001290	0.915711	761252
2.748000	0.080525	0.001193	0.918282	761252
2.766000	0.078397	0.001077	0.920526	761252
2.784000	0.077106	0.001040	0.921854	761252
2.802000	0.075671	0.000972	0.923357	761252
2.820000	0.074178	0.000891	0.924932	761252
2.838000	0.072519	0.000856	0.926625	761252
2.856000	0.071210	0.000812	0.927978	761252
2.874000	0.069785	0.000780	0.929435	761252
2.892000	0.068353	0.000740	0.930907	761252
2.910000	0.066756	0.000692	0.932552	761252
2.928000	0.065508	0.000661	0.933831	761252
2.946000	0.064768	0.000652	0.934580	761252
2.964000	0.062827	0.000589	0.936585	761252
2.982000	0.061714	0.000564	0.937722	761252
