# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 250
# Number of Events 11368
# k_cut 	 Tags 	 MissTags 	 Total_Events 
1.200000	0.995690	0.004310	11368
1.218000	0.996416	0.003584	11162
1.236000	0.996524	0.003476	10932
1.254000	0.996556	0.003444	10744
1.272000	0.996981	0.003019	10601
1.290000	0.997337	0.002663	10514
1.308000	0.997484	0.002516	10334
1.326000	0.997726	0.002274	10115
1.344000	0.997992	0.002008	9961
1.362000	0.997977	0.002023	9888
1.380000	0.998332	0.001668	9594
1.398000	0.998316	0.001684	9500
1.416000	0.998271	0.001729	9254
1.434000	0.998223	0.001777	9004
1.452000	0.998257	0.001743	8607
1.470000	0.998366	0.001634	8567
1.488000	0.998275	0.001725	8117
1.506000	0.998319	0.001681	7733
1.524000	0.998425	0.001575	7618
1.542000	0.998379	0.001621	7404
1.560000	0.998346	0.001654	7253
1.578000	0.998445	0.001555	7074
1.596000	0.998417	0.001583	6951
1.614000	0.998551	0.001449	6900
1.632000	0.998508	0.001492	6701
1.650000	0.998637	0.001363	6603
1.668000	0.998617	0.001383	6509
1.686000	0.998602	0.001398	6436
1.704000	0.998738	0.001262	6340
1.722000	0.998728	0.001272	6288
1.740000	0.998709	0.001291	6199
1.758000	0.998690	0.001310	6105
1.776000	0.998664	0.001336	5988
1.794000	0.998988	0.001012	5928
1.812000	0.998977	0.001023	5865
1.830000	0.998964	0.001036	5790
1.848000	0.998953	0.001047	5731
1.866000	0.998949	0.001051	5711
1.884000	0.998939	0.001061	5655
1.902000	0.998920	0.001080	5557
1.920000	0.999091	0.000909	5501
1.938000	0.999068	0.000932	5367
1.956000	0.999052	0.000948	5274
1.974000	0.998995	0.001005	4974
1.992000	0.998971	0.001029	4857
2.010000	0.999158	0.000842	4749
2.028000	0.999153	0.000847	4725
2.046000	0.999341	0.000659	4555
2.064000	0.999553	0.000447	4472
2.082000	0.999542	0.000458	4367
2.100000	0.999507	0.000493	4054
2.118000	0.999487	0.000513	3896
2.136000	0.999475	0.000525	3812
2.154000	0.999457	0.000543	3683
2.172000	0.999447	0.000553	3616
2.190000	0.999432	0.000568	3521
2.208000	0.999415	0.000585	3420
2.226000	0.999400	0.000600	3331
2.244000	0.999396	0.000604	3314
2.262000	0.999389	0.000611	3275
2.280000	0.999378	0.000622	3217
2.298000	0.999372	0.000628	3187
2.316000	0.999362	0.000638	3134
2.334000	0.999350	0.000650	3075
2.352000	0.999673	0.000327	3061
2.370000	0.999670	0.000330	3028
2.388000	0.999662	0.000338	2960
2.406000	0.999661	0.000339	2948
2.424000	0.999658	0.000342	2928
2.442000	0.999646	0.000354	2825
2.460000	0.999635	0.000365	2740
2.478000	0.999623	0.000377	2654
2.496000	0.999610	0.000390	2563
2.514000	1.000000	0.000000	2497
2.532000	1.000000	0.000000	2459
2.550000	1.000000	0.000000	2383
2.568000	1.000000	0.000000	2330
2.586000	1.000000	0.000000	2321
2.604000	1.000000	0.000000	2230
2.622000	1.000000	0.000000	2163
2.640000	1.000000	0.000000	2135
2.658000	1.000000	0.000000	2120
2.676000	1.000000	0.000000	2076
2.694000	1.000000	0.000000	2032
2.712000	1.000000	0.000000	1950
2.730000	1.000000	0.000000	1881
2.748000	1.000000	0.000000	1803
2.766000	1.000000	0.000000	1744
2.784000	1.000000	0.000000	1704
2.802000	1.000000	0.000000	1646
2.820000	1.000000	0.000000	1623
2.838000	1.000000	0.000000	1570
2.856000	1.000000	0.000000	1558
2.874000	1.000000	0.000000	1502
2.892000	1.000000	0.000000	1483
2.910000	1.000000	0.000000	1382
2.928000	1.000000	0.000000	1294
2.946000	1.000000	0.000000	1267
2.964000	1.000000	0.000000	1208
2.982000	1.000000	0.000000	1199
