# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 749383
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.302484	0.091326	0.606191	749383
1.218000	0.293228	0.081243	0.625529	749383
1.236000	0.290428	0.077835	0.631737	749383
1.254000	0.287320	0.075003	0.637677	749383
1.272000	0.284226	0.072829	0.642945	749383
1.290000	0.279665	0.069980	0.650355	749383
1.308000	0.277088	0.068133	0.654779	749383
1.326000	0.273381	0.065451	0.661168	749383
1.344000	0.271120	0.063670	0.665210	749383
1.362000	0.268530	0.062055	0.669415	749383
1.380000	0.266477	0.060538	0.672986	749383
1.398000	0.261527	0.057658	0.680815	749383
1.416000	0.259500	0.056492	0.684008	749383
1.434000	0.256759	0.054700	0.688541	749383
1.452000	0.255245	0.053711	0.691044	749383
1.470000	0.254264	0.052914	0.692822	749383
1.488000	0.252305	0.051720	0.695975	749383
1.506000	0.250369	0.050786	0.698846	749383
1.524000	0.248165	0.049339	0.702495	749383
1.542000	0.246596	0.048360	0.705044	749383
1.560000	0.242434	0.046638	0.710928	749383
1.578000	0.241021	0.045819	0.713160	749383
1.596000	0.239648	0.045069	0.715283	749383
1.614000	0.238494	0.044605	0.716902	749383
1.632000	0.237183	0.043821	0.718995	749383
1.650000	0.235268	0.042901	0.721831	749383
1.668000	0.234295	0.042355	0.723350	749383
1.686000	0.230448	0.040878	0.728674	749383
1.704000	0.229501	0.040345	0.730154	749383
1.722000	0.226853	0.039326	0.733821	749383
1.740000	0.225022	0.038093	0.736885	749383
1.758000	0.223160	0.037281	0.739559	749383
1.776000	0.218819	0.035652	0.745529	749383
1.794000	0.216979	0.034985	0.748037	749383
1.812000	0.214981	0.033903	0.751117	749383
1.830000	0.213672	0.033374	0.752954	749383
1.848000	0.210761	0.032054	0.757184	749383
1.866000	0.209528	0.031362	0.759110	749383
1.884000	0.205632	0.029998	0.764370	749383
1.902000	0.204871	0.029619	0.765510	749383
1.920000	0.202222	0.028365	0.769413	749383
1.938000	0.199606	0.027493	0.772901	749383
1.956000	0.198278	0.026807	0.774915	749383
1.974000	0.197580	0.026577	0.775844	749383
1.992000	0.196531	0.026123	0.777346	749383
2.010000	0.194990	0.025445	0.779565	749383
2.028000	0.193569	0.024828	0.781603	749383
2.046000	0.192927	0.024626	0.782448	749383
2.064000	0.188869	0.023523	0.787608	749383
2.082000	0.187572	0.023066	0.789363	749383
2.100000	0.186388	0.022631	0.790981	749383
2.118000	0.183999	0.021890	0.794111	749383
2.136000	0.183392	0.021635	0.794973	749383
2.154000	0.182445	0.021303	0.796252	749383
2.172000	0.181547	0.020984	0.797469	749383
2.190000	0.180363	0.020616	0.799021	749383
2.208000	0.178203	0.019991	0.801806	749383
2.226000	0.175550	0.019441	0.805009	749383
2.244000	0.174434	0.019117	0.806449	749383
2.262000	0.173732	0.018966	0.807301	749383
2.280000	0.171953	0.018471	0.809575	749383
2.298000	0.170694	0.018151	0.811155	749383
2.316000	0.169925	0.017819	0.812256	749383
2.334000	0.168862	0.017452	0.813687	749383
2.352000	0.167747	0.017162	0.815091	749383
2.370000	0.166211	0.016837	0.816952	749383
2.388000	0.163038	0.016111	0.820851	749383
2.406000	0.160864	0.015567	0.823568	749383
2.424000	0.159866	0.015213	0.824921	749383
2.442000	0.158434	0.014852	0.826713	749383
2.460000	0.157842	0.014768	0.827390	749383
2.478000	0.155623	0.014381	0.829996	749383
2.496000	0.154223	0.014001	0.831776	749383
2.514000	0.153710	0.013842	0.832447	749383
2.532000	0.152224	0.013522	0.834254	749383
2.550000	0.150713	0.013120	0.836167	749383
2.568000	0.149639	0.012808	0.837553	749383
2.586000	0.148107	0.012460	0.839433	749383
2.604000	0.147282	0.012253	0.840465	749383
2.622000	0.146118	0.011890	0.841993	749383
2.640000	0.143313	0.011432	0.845255	749383
2.658000	0.140697	0.011005	0.848298	749383
2.676000	0.140058	0.010889	0.849053	749383
2.694000	0.138946	0.010619	0.850434	749383
2.712000	0.137987	0.010487	0.851526	749383
2.730000	0.136320	0.010078	0.853602	749383
2.748000	0.135561	0.009976	0.854463	749383
2.766000	0.134583	0.009792	0.855625	749383
2.784000	0.134001	0.009665	0.856334	749383
2.802000	0.133328	0.009543	0.857129	749383
2.820000	0.130862	0.009181	0.859957	749383
2.838000	0.129955	0.009003	0.861042	749383
2.856000	0.128087	0.008739	0.863174	749383
2.874000	0.127440	0.008610	0.863951	749383
2.892000	0.125250	0.008125	0.866625	749383
2.910000	0.124170	0.007965	0.867865	749383
2.928000	0.123583	0.007873	0.868544	749383
2.946000	0.122985	0.007788	0.869227	749383
2.964000	0.120076	0.007401	0.872523	749383
2.982000	0.118815	0.007247	0.873938	749383
