# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 150
# Number of Events 164251
# k_cut 	 Tags 	 MissTags 	 Total_Events 
1.200000	0.812665	0.187335	164251
1.218000	0.820175	0.179825	157781
1.236000	0.824390	0.175610	154331
1.254000	0.825805	0.174195	152329
1.272000	0.828698	0.171302	149899
1.290000	0.831941	0.168059	147764
1.308000	0.833217	0.166783	146346
1.326000	0.837472	0.162528	143649
1.344000	0.838638	0.161362	142066
1.362000	0.840496	0.159504	140147
1.380000	0.841626	0.158374	138419
1.398000	0.844514	0.155486	135954
1.416000	0.845448	0.154552	134304
1.434000	0.847823	0.152177	131630
1.452000	0.850800	0.149200	129202
1.470000	0.851298	0.148702	127745
1.488000	0.852484	0.147516	126122
1.506000	0.854395	0.145605	123485
1.524000	0.856414	0.143586	121781
1.542000	0.856935	0.143065	120526
1.560000	0.859139	0.140861	117868
1.578000	0.862915	0.137085	115089
1.596000	0.863688	0.136312	114025
1.614000	0.863979	0.136021	112571
1.632000	0.867679	0.132321	109824
1.650000	0.869507	0.130493	108389
1.668000	0.870229	0.129771	106819
1.686000	0.872413	0.127587	104415
1.704000	0.875594	0.124406	102021
1.722000	0.877595	0.122405	99939
1.740000	0.877780	0.122220	98576
1.758000	0.880070	0.119930	96223
1.776000	0.883461	0.116539	94423
1.794000	0.883669	0.116331	93277
1.812000	0.884690	0.115310	92039
1.830000	0.886836	0.113164	90073
1.848000	0.890394	0.109606	87504
1.866000	0.891545	0.108455	85473
1.884000	0.893435	0.106565	84343
1.902000	0.894303	0.105697	82774
1.920000	0.894889	0.105111	81752
1.938000	0.898141	0.101859	79620
1.956000	0.901491	0.098509	77749
1.974000	0.902483	0.097517	75997
1.992000	0.904863	0.095137	74051
2.010000	0.906775	0.093225	72856
2.028000	0.909106	0.090894	71413
2.046000	0.911583	0.088417	69387
2.064000	0.913116	0.086884	67481
2.082000	0.914255	0.085745	65940
2.100000	0.915917	0.084083	65055
2.118000	0.918660	0.081340	63425
2.136000	0.920269	0.079731	61783
2.154000	0.921688	0.078312	60719
2.172000	0.923974	0.076026	59098
2.190000	0.926171	0.073829	57511
2.208000	0.929112	0.070888	55891
2.226000	0.931067	0.068933	54502
2.244000	0.933842	0.066158	52813
2.262000	0.935975	0.064025	51839
2.280000	0.940867	0.059133	49735
2.298000	0.942688	0.057312	48489
2.316000	0.943000	0.057000	47719
2.334000	0.944937	0.055063	46619
2.352000	0.946991	0.053009	45219
2.370000	0.949001	0.050999	43824
2.388000	0.950627	0.049373	42776
2.406000	0.952260	0.047740	41894
2.424000	0.954552	0.045448	40794
2.442000	0.956457	0.043543	39478
2.460000	0.959136	0.040864	38494
2.478000	0.962839	0.037161	37136
2.496000	0.964298	0.035702	36048
2.514000	0.966284	0.033716	34939
2.532000	0.966434	0.033566	34320
2.550000	0.968116	0.031884	33183
2.568000	0.968856	0.031144	32719
2.586000	0.970394	0.029606	32054
2.604000	0.971309	0.028691	31369
2.622000	0.972325	0.027675	30352
2.640000	0.973548	0.026452	29676
2.658000	0.974178	0.025822	28658
2.676000	0.974536	0.025464	27686
2.694000	0.974656	0.025344	27186
2.712000	0.976302	0.023698	26458
2.730000	0.978066	0.021934	25668
2.748000	0.980038	0.019962	24997
2.766000	0.980301	0.019699	24620
2.784000	0.981279	0.018721	23717
2.802000	0.983186	0.016814	23076
2.820000	0.984157	0.015843	22471
2.838000	0.984355	0.015645	21796
2.856000	0.984215	0.015785	21223
2.874000	0.985060	0.014940	20816
2.892000	0.985373	0.014627	20510
2.910000	0.985599	0.014401	20068
2.928000	0.986768	0.013232	19272
2.946000	0.987254	0.012746	18673
2.964000	0.987862	0.012138	17960
2.982000	0.989252	0.010748	17119
