# Number of Tags, Misstags and Rejected as a function of k
# Number of Events
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.000000	0.903030	0.096970	643231
1.218000	0.000000	0.870784	0.129216	643231
1.236000	0.000000	0.858415	0.141585	643231
1.254000	0.000000	0.846460	0.153540	643231
1.272000	0.000000	0.836552	0.163448	643231
1.290000	0.000000	0.824404	0.175596	643231
1.308000	0.000000	0.819892	0.180108	643231
1.326000	0.000000	0.815432	0.184568	643231
1.344000	0.000000	0.808751	0.191249	643231
1.362000	0.000000	0.806906	0.193094	643231
1.380000	0.000000	0.801208	0.198792	643231
1.398000	0.000000	0.792387	0.207613	643231
1.416000	0.000000	0.787638	0.212362	643231
1.434000	0.000000	0.785956	0.214044	643231
1.452000	0.000000	0.772175	0.227825	643231
1.470000	0.000000	0.767376	0.232624	643231
1.488000	0.000000	0.766342	0.233658	643231
1.506000	0.000000	0.760411	0.239589	643231
1.524000	0.000000	0.739462	0.260538	643231
1.542000	0.000000	0.738957	0.261043	643231
1.560000	0.000000	0.736768	0.263232	643231
1.578000	0.000000	0.732292	0.267708	643231
1.596000	0.000000	0.728216	0.271784	643231
1.614000	0.000000	0.723016	0.276984	643231
1.632000	0.000000	0.715053	0.284947	643231
1.650000	0.000000	0.703912	0.296088	643231
1.668000	0.000000	0.700235	0.299765	643231
1.686000	0.000000	0.691413	0.308587	643231
1.704000	0.000000	0.653552	0.346448	643231
1.722000	0.000000	0.646853	0.353147	643231
1.740000	0.000000	0.642991	0.357009	643231
1.758000	0.000000	0.641065	0.358935	643231
1.776000	0.000000	0.630630	0.369370	643231
1.794000	0.000000	0.608369	0.391631	643231
1.812000	0.000000	0.605967	0.394033	643231
1.830000	0.000000	0.582693	0.417307	643231
1.848000	0.000000	0.563235	0.436765	643231
1.866000	0.000000	0.546609	0.453391	643231
1.884000	0.000000	0.537300	0.462700	643231
1.902000	0.000000	0.528078	0.471922	643231
1.920000	0.000000	0.524777	0.475223	643231
1.938000	0.000000	0.504696	0.495304	643231
1.956000	0.000000	0.481074	0.518926	643231
1.974000	0.000000	0.467631	0.532369	643231
1.992000	0.000000	0.458639	0.541361	643231
2.010000	0.000000	0.457105	0.542895	643231
2.028000	0.000000	0.442250	0.557750	643231
2.046000	0.000000	0.415338	0.584662	643231
2.064000	0.000000	0.399704	0.600296	643231
2.082000	0.000000	0.388493	0.611507	643231
2.100000	0.000000	0.376277	0.623723	643231
2.118000	0.000000	0.367140	0.632860	643231
2.136000	0.000000	0.362884	0.637116	643231
2.154000	0.000000	0.357023	0.642977	643231
2.172000	0.000000	0.347712	0.652288	643231
2.190000	0.000000	0.324213	0.675787	643231
2.208000	0.000000	0.305867	0.694133	643231
2.226000	0.000000	0.284806	0.715194	643231
2.244000	0.000000	0.274508	0.725492	643231
2.262000	0.000000	0.257777	0.742223	643231
2.280000	0.000000	0.248555	0.751445	643231
2.298000	0.000000	0.232680	0.767320	643231
2.316000	0.000000	0.209178	0.790822	643231
2.334000	0.000000	0.203303	0.796697	643231
2.352000	0.000000	0.199549	0.800451	643231
2.370000	0.000000	0.178699	0.821301	643231
2.388000	0.000000	0.168548	0.831452	643231
2.406000	0.000000	0.164896	0.835104	643231
2.424000	0.000000	0.156455	0.843545	643231
2.442000	0.000000	0.153774	0.846226	643231
2.460000	0.000000	0.151854	0.848146	643231
2.478000	0.000000	0.151477	0.848523	643231
2.496000	0.000000	0.150865	0.849135	643231
2.514000	0.000000	0.148286	0.851714	643231
2.532000	0.000000	0.138398	0.861602	643231
2.550000	0.000000	0.132994	0.867006	643231
2.568000	0.000000	0.130095	0.869905	643231
2.586000	0.000000	0.122409	0.877591	643231
2.604000	0.000000	0.119288	0.880712	643231
2.622000	0.000000	0.114099	0.885901	643231
2.640000	0.000000	0.105038	0.894962	643231
2.658000	0.000000	0.100920	0.899080	643231
2.676000	0.000000	0.093338	0.906662	643231
2.694000	0.000000	0.086947	0.913053	643231
2.712000	0.000000	0.083479	0.916521	643231
2.730000	0.000000	0.079140	0.920860	643231
2.748000	0.000000	0.074485	0.925515	643231
2.766000	0.000000	0.065264	0.934736	643231
2.784000	0.000000	0.063613	0.936387	643231
2.802000	0.000000	0.061073	0.938927	643231
2.820000	0.000000	0.056796	0.943204	643231
2.838000	0.000000	0.056027	0.943973	643231
2.856000	0.000000	0.049670	0.950330	643231
2.874000	0.000000	0.045892	0.954108	643231
2.892000	0.000000	0.043869	0.956131	643231
2.910000	0.000000	0.043434	0.956566	643231
2.928000	0.000000	0.042504	0.957496	643231
2.946000	0.000000	0.038804	0.961196	643231
2.964000	0.000000	0.037635	0.962365	643231
2.982000	0.000000	0.035101	0.964899	643231
