# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 903165
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.000000	0.414440	0.585560	903165
1.218000	0.000000	0.344763	0.655237	903165
1.236000	0.000000	0.314067	0.685933	903165
1.254000	0.000000	0.297649	0.702351	903165
1.272000	0.000000	0.273561	0.726439	903165
1.290000	0.000000	0.257481	0.742519	903165
1.308000	0.000000	0.238841	0.761159	903165
1.326000	0.000000	0.227938	0.772062	903165
1.344000	0.000000	0.208893	0.791107	903165
1.362000	0.000000	0.186609	0.813391	903165
1.380000	0.000000	0.177464	0.822536	903165
1.398000	0.000000	0.165540	0.834460	903165
1.416000	0.000000	0.154129	0.845871	903165
1.434000	0.000000	0.134913	0.865087	903165
1.452000	0.000000	0.129866	0.870134	903165
1.470000	0.000000	0.125949	0.874051	903165
1.488000	0.000000	0.113772	0.886228	903165
1.506000	0.000000	0.106703	0.893297	903165
1.524000	0.000000	0.099722	0.900278	903165
1.542000	0.000000	0.092638	0.907362	903165
1.560000	0.000000	0.082324	0.917676	903165
1.578000	0.000000	0.075720	0.924280	903165
1.596000	0.000000	0.069283	0.930717	903165
1.614000	0.000000	0.063841	0.936159	903165
1.632000	0.000000	0.058970	0.941030	903165
1.650000	0.000000	0.054951	0.945049	903165
1.668000	0.000000	0.050742	0.949258	903165
1.686000	0.000000	0.046689	0.953311	903165
1.704000	0.000000	0.043304	0.956696	903165
1.722000	0.000000	0.040313	0.959687	903165
1.740000	0.000000	0.037646	0.962354	903165
1.758000	0.000000	0.035076	0.964924	903165
1.776000	0.000000	0.032320	0.967680	903165
1.794000	0.000000	0.030174	0.969826	903165
1.812000	0.000000	0.028323	0.971677	903165
1.830000	0.000000	0.027585	0.972415	903165
1.848000	0.000000	0.025248	0.974752	903165
1.866000	0.000000	0.022937	0.977063	903165
1.884000	0.000000	0.021078	0.978922	903165
1.902000	0.000000	0.020097	0.979903	903165
1.920000	0.000000	0.018612	0.981388	903165
1.938000	0.000000	0.017310	0.982690	903165
1.956000	0.000000	0.015768	0.984232	903165
1.974000	0.000000	0.013229	0.986771	903165
1.992000	0.000000	0.012351	0.987649	903165
2.010000	0.000000	0.011355	0.988645	903165
2.028000	0.000000	0.010815	0.989185	903165
2.046000	0.000000	0.010039	0.989961	903165
2.064000	0.000000	0.008538	0.991462	903165
2.082000	0.000000	0.007914	0.992086	903165
2.100000	0.000000	0.006804	0.993196	903165
2.118000	0.000000	0.006127	0.993873	903165
2.136000	0.000000	0.005859	0.994141	903165
2.154000	0.000000	0.005203	0.994797	903165
2.172000	0.000000	0.004393	0.995607	903165
2.190000	0.000000	0.004257	0.995743	903165
2.208000	0.000000	0.004001	0.995999	903165
2.226000	0.000000	0.003783	0.996217	903165
2.244000	0.000000	0.003430	0.996570	903165
2.262000	0.000000	0.003071	0.996929	903165
2.280000	0.000000	0.002892	0.997108	903165
2.298000	0.000000	0.002702	0.997298	903165
2.316000	0.000000	0.002569	0.997431	903165
2.334000	0.000000	0.002387	0.997613	903165
2.352000	0.000000	0.001931	0.998069	903165
2.370000	0.000000	0.001850	0.998150	903165
2.388000	0.000000	0.001738	0.998262	903165
2.406000	0.000000	0.001578	0.998422	903165
2.424000	0.000000	0.001495	0.998505	903165
2.442000	0.000000	0.001478	0.998522	903165
2.460000	0.000000	0.001241	0.998759	903165
2.478000	0.000000	0.001186	0.998814	903165
2.496000	0.000000	0.001170	0.998830	903165
2.514000	0.000000	0.001109	0.998891	903165
2.532000	0.000000	0.000849	0.999151	903165
2.550000	0.000000	0.000736	0.999264	903165
2.568000	0.000000	0.000701	0.999299	903165
2.586000	0.000000	0.000683	0.999317	903165
2.604000	0.000000	0.000520	0.999480	903165
2.622000	0.000000	0.000464	0.999536	903165
2.640000	0.000000	0.000415	0.999585	903165
2.658000	0.000000	0.000303	0.999697	903165
2.676000	0.000000	0.000272	0.999728	903165
2.694000	0.000000	0.000183	0.999817	903165
2.712000	0.000000	0.000183	0.999817	903165
2.730000	0.000000	0.000152	0.999848	903165
2.748000	0.000000	0.000143	0.999857	903165
2.766000	0.000000	0.000142	0.999858	903165
2.784000	0.000000	0.000102	0.999898	903165
2.802000	0.000000	0.000065	0.999935	903165
2.820000	0.000000	0.000059	0.999941	903165
2.838000	0.000000	0.000059	0.999941	903165
2.856000	0.000000	0.000059	0.999941	903165
2.874000	0.000000	0.000013	0.999987	903165
2.892000	0.000000	0.000012	0.999988	903165
2.910000	0.000000	0.000011	0.999989	903165
2.928000	0.000000	0.000011	0.999989	903165
2.946000	0.000000	0.000010	0.999990	903165
2.964000	0.000000	0.000006	0.999994	903165
2.982000	0.000000	0.000006	0.999994	903165
