# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 974453
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.000000	0.210654	0.789346	974453
1.218000	0.000000	0.175152	0.824848	974453
1.236000	0.000000	0.169001	0.830999	974453
1.254000	0.000000	0.160328	0.839672	974453
1.272000	0.000000	0.158635	0.841365	974453
1.290000	0.000000	0.144833	0.855167	974453
1.308000	0.000000	0.143230	0.856770	974453
1.326000	0.000000	0.140306	0.859694	974453
1.344000	0.000000	0.137882	0.862118	974453
1.362000	0.000000	0.136064	0.863936	974453
1.380000	0.000000	0.131306	0.868694	974453
1.398000	0.000000	0.130776	0.869224	974453
1.416000	0.000000	0.129753	0.870247	974453
1.434000	0.000000	0.129603	0.870397	974453
1.452000	0.000000	0.125016	0.874984	974453
1.470000	0.000000	0.123346	0.876654	974453
1.488000	0.000000	0.118863	0.881137	974453
1.506000	0.000000	0.117859	0.882141	974453
1.524000	0.000000	0.111891	0.888109	974453
1.542000	0.000000	0.110590	0.889410	974453
1.560000	0.000000	0.107217	0.892783	974453
1.578000	0.000000	0.105127	0.894873	974453
1.596000	0.000000	0.102457	0.897543	974453
1.614000	0.000000	0.097243	0.902757	974453
1.632000	0.000000	0.094544	0.905456	974453
1.650000	0.000000	0.089888	0.910112	974453
1.668000	0.000000	0.088117	0.911883	974453
1.686000	0.000000	0.085482	0.914518	974453
1.704000	0.000000	0.083457	0.916543	974453
1.722000	0.000000	0.078852	0.921148	974453
1.740000	0.000000	0.078518	0.921482	974453
1.758000	0.000000	0.076796	0.923204	974453
1.776000	0.000000	0.075677	0.924323	974453
1.794000	0.000000	0.074007	0.925993	974453
1.812000	0.000000	0.072324	0.927676	974453
1.830000	0.000000	0.071510	0.928490	974453
1.848000	0.000000	0.063622	0.936378	974453
1.866000	0.000000	0.060761	0.939239	974453
1.884000	0.000000	0.060525	0.939475	974453
1.902000	0.000000	0.059869	0.940131	974453
1.920000	0.000000	0.058734	0.941266	974453
1.938000	0.000000	0.057035	0.942965	974453
1.956000	0.000000	0.055758	0.944242	974453
1.974000	0.000000	0.055240	0.944760	974453
1.992000	0.000000	0.054922	0.945078	974453
2.010000	0.000000	0.051647	0.948353	974453
2.028000	0.000000	0.050081	0.949919	974453
2.046000	0.000000	0.049940	0.950060	974453
2.064000	0.000000	0.049557	0.950443	974453
2.082000	0.000000	0.049108	0.950892	974453
2.100000	0.000000	0.046420	0.953580	974453
2.118000	0.000000	0.046232	0.953768	974453
2.136000	0.000000	0.044445	0.955555	974453
2.154000	0.000000	0.042525	0.957475	974453
2.172000	0.000000	0.040471	0.959529	974453
2.190000	0.000000	0.038264	0.961736	974453
2.208000	0.000000	0.037984	0.962016	974453
2.226000	0.000000	0.036591	0.963409	974453
2.244000	0.000000	0.036315	0.963685	974453
2.262000	0.000000	0.034962	0.965038	974453
2.280000	0.000000	0.033759	0.966241	974453
2.298000	0.000000	0.033477	0.966523	974453
2.316000	0.000000	0.033273	0.966727	974453
2.334000	0.000000	0.033091	0.966909	974453
2.352000	0.000000	0.032405	0.967595	974453
2.370000	0.000000	0.031560	0.968440	974453
2.388000	0.000000	0.030372	0.969628	974453
2.406000	0.000000	0.029353	0.970647	974453
2.424000	0.000000	0.028364	0.971636	974453
2.442000	0.000000	0.024866	0.975134	974453
2.460000	0.000000	0.024311	0.975689	974453
2.478000	0.000000	0.023455	0.976545	974453
2.496000	0.000000	0.023133	0.976867	974453
2.514000	0.000000	0.022422	0.977578	974453
2.532000	0.000000	0.021602	0.978398	974453
2.550000	0.000000	0.021287	0.978713	974453
2.568000	0.000000	0.020340	0.979660	974453
2.586000	0.000000	0.019760	0.980240	974453
2.604000	0.000000	0.019263	0.980737	974453
2.622000	0.000000	0.019073	0.980927	974453
2.640000	0.000000	0.018972	0.981028	974453
2.658000	0.000000	0.017888	0.982112	974453
2.676000	0.000000	0.016934	0.983066	974453
2.694000	0.000000	0.016718	0.983282	974453
2.712000	0.000000	0.015239	0.984761	974453
2.730000	0.000000	0.014369	0.985631	974453
2.748000	0.000000	0.013912	0.986088	974453
2.766000	0.000000	0.013840	0.986160	974453
2.784000	0.000000	0.013786	0.986214	974453
2.802000	0.000000	0.013661	0.986339	974453
2.820000	0.000000	0.013256	0.986744	974453
2.838000	0.000000	0.013009	0.986991	974453
2.856000	0.000000	0.012704	0.987296	974453
2.874000	0.000000	0.012220	0.987780	974453
2.892000	0.000000	0.011488	0.988512	974453
2.910000	0.000000	0.011244	0.988756	974453
2.928000	0.000000	0.011125	0.988875	974453
2.946000	0.000000	0.010871	0.989129	974453
2.964000	0.000000	0.009463	0.990537	974453
2.982000	0.000000	0.008813	0.991187	974453
