# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 627658
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.216537	0.233473	0.549991	627658
1.218000	0.204862	0.210314	0.584825	627658
1.236000	0.198943	0.199134	0.601923	627658
1.254000	0.193720	0.189171	0.617108	627658
1.272000	0.188658	0.176972	0.634369	627658
1.290000	0.183514	0.167373	0.649113	627658
1.308000	0.178449	0.156706	0.664845	627658
1.326000	0.173633	0.148498	0.677869	627658
1.344000	0.170461	0.141520	0.688020	627658
1.362000	0.166900	0.134428	0.698672	627658
1.380000	0.163455	0.127711	0.708833	627658
1.398000	0.160522	0.122323	0.717155	627658
1.416000	0.157035	0.117762	0.725204	627658
1.434000	0.152959	0.111421	0.735620	627658
1.452000	0.149956	0.106967	0.743077	627658
1.470000	0.146542	0.101334	0.752125	627658
1.488000	0.142958	0.097236	0.759805	627658
1.506000	0.139547	0.092732	0.767721	627658
1.524000	0.136899	0.089318	0.773783	627658
1.542000	0.134750	0.086174	0.779076	627658
1.560000	0.132340	0.082051	0.785609	627658
1.578000	0.129862	0.079123	0.791015	627658
1.596000	0.127289	0.076099	0.796612	627658
1.614000	0.124474	0.072641	0.802885	627658
1.632000	0.121444	0.069850	0.808706	627658
1.650000	0.120191	0.068332	0.811477	627658
1.668000	0.117801	0.065368	0.816830	627658
1.686000	0.115300	0.062601	0.822099	627658
1.704000	0.113167	0.060315	0.826519	627658
1.722000	0.111057	0.057864	0.831078	627658
1.740000	0.108768	0.055731	0.835501	627658
1.758000	0.106421	0.052764	0.840815	627658
1.776000	0.104208	0.050757	0.845035	627658
1.794000	0.102440	0.049417	0.848143	627658
1.812000	0.100499	0.047542	0.851959	627658
1.830000	0.098342	0.045678	0.855980	627658
1.848000	0.096827	0.044198	0.858976	627658
1.866000	0.094736	0.042241	0.863023	627658
1.884000	0.093237	0.040873	0.865890	627658
1.902000	0.092335	0.040055	0.867609	627658
1.920000	0.090834	0.038844	0.870321	627658
1.938000	0.089283	0.037629	0.873089	627658
1.956000	0.088126	0.036592	0.875282	627658
1.974000	0.086332	0.035335	0.878333	627658
1.992000	0.084823	0.034194	0.880983	627658
2.010000	0.083455	0.033259	0.883287	627658
2.028000	0.082145	0.032374	0.885481	627658
2.046000	0.081101	0.031656	0.887243	627658
2.064000	0.079691	0.030642	0.889666	627658
2.082000	0.078299	0.029658	0.892043	627658
2.100000	0.077117	0.028805	0.894078	627658
2.118000	0.075882	0.027904	0.896214	627658
2.136000	0.074647	0.027115	0.898238	627658
2.154000	0.073266	0.026164	0.900570	627658
2.172000	0.071595	0.025308	0.903097	627658
2.190000	0.070507	0.024733	0.904760	627658
2.208000	0.069361	0.024080	0.906559	627658
2.226000	0.068505	0.023551	0.907943	627658
2.244000	0.067118	0.022678	0.910204	627658
2.262000	0.065362	0.021928	0.912710	627658
2.280000	0.064350	0.021356	0.914294	627658
2.298000	0.063302	0.020801	0.915897	627658
2.316000	0.062250	0.020285	0.917465	627658
2.334000	0.061158	0.019651	0.919192	627658
2.352000	0.059778	0.019033	0.921190	627658
2.370000	0.058965	0.018682	0.922353	627658
2.388000	0.058132	0.018306	0.923562	627658
2.406000	0.057232	0.017858	0.924910	627658
2.424000	0.056666	0.017467	0.925867	627658
2.442000	0.055806	0.016952	0.927242	627658
2.460000	0.055054	0.016581	0.928365	627658
2.478000	0.054090	0.016098	0.929812	627658
2.496000	0.052903	0.015602	0.931495	627658
2.514000	0.052032	0.015160	0.932809	627658
2.532000	0.051237	0.014766	0.933997	627658
2.550000	0.050300	0.014390	0.935310	627658
2.568000	0.049755	0.014054	0.936191	627658
2.586000	0.048498	0.013528	0.937974	627658
2.604000	0.047625	0.013136	0.939239	627658
2.622000	0.046705	0.012717	0.940578	627658
2.640000	0.045835	0.012354	0.941811	627658
2.658000	0.044864	0.012024	0.943112	627658
2.676000	0.043731	0.011567	0.944702	627658
2.694000	0.042851	0.011229	0.945920	627658
2.712000	0.042451	0.011031	0.946517	627658
2.730000	0.041577	0.010695	0.947728	627658
2.748000	0.040702	0.010372	0.948926	627658
2.766000	0.039732	0.009969	0.950299	627658
2.784000	0.039152	0.009743	0.951106	627658
2.802000	0.038457	0.009475	0.952068	627658
2.820000	0.037412	0.009056	0.953532	627658
2.838000	0.036703	0.008890	0.954407	627658
2.856000	0.035787	0.008626	0.955587	627658
2.874000	0.035053	0.008388	0.956559	627658
2.892000	0.034407	0.008173	0.957419	627658
2.910000	0.033926	0.008012	0.958062	627658
2.928000	0.032994	0.007746	0.959260	627658
2.946000	0.032473	0.007590	0.959937	627658
2.964000	0.032008	0.007402	0.960590	627658
2.982000	0.031539	0.007251	0.961210	627658
