# Number of Tags, Misstags and Rejected as a function of k
# Number of Events
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.249639	0.254374	0.495987	627658
1.218000	0.240931	0.235781	0.523288	627658
1.236000	0.236500	0.227081	0.536420	627658
1.254000	0.233391	0.219608	0.547000	627658
1.272000	0.229775	0.211343	0.558882	627658
1.290000	0.226016	0.202935	0.571048	627658
1.308000	0.223136	0.195419	0.581446	627658
1.326000	0.220314	0.188934	0.590752	627658
1.344000	0.217266	0.182356	0.600378	627658
1.362000	0.214690	0.177882	0.607428	627658
1.380000	0.211352	0.171133	0.617515	627658
1.398000	0.208061	0.164284	0.627656	627658
1.416000	0.204733	0.158676	0.636592	627658
1.434000	0.202204	0.153453	0.644343	627658
1.452000	0.199488	0.148589	0.651923	627658
1.470000	0.195653	0.143460	0.660887	627658
1.488000	0.192420	0.136839	0.670741	627658
1.506000	0.189720	0.132169	0.678111	627658
1.524000	0.186065	0.126926	0.687009	627658
1.542000	0.183402	0.122417	0.694181	627658
1.560000	0.180359	0.117650	0.701991	627658
1.578000	0.178107	0.114672	0.707221	627658
1.596000	0.175929	0.110745	0.713326	627658
1.614000	0.173657	0.107584	0.718759	627658
1.632000	0.171837	0.104936	0.723227	627658
1.650000	0.169600	0.101686	0.728714	627658
1.668000	0.167432	0.098877	0.733691	627658
1.686000	0.166350	0.097595	0.736055	627658
1.704000	0.164580	0.094916	0.740504	627658
1.722000	0.162538	0.092683	0.744780	627658
1.740000	0.161241	0.091333	0.747426	627658
1.758000	0.159324	0.088582	0.752094	627658
1.776000	0.157426	0.086499	0.756074	627658
1.794000	0.156332	0.085177	0.758491	627658
1.812000	0.154360	0.083200	0.762441	627658
1.830000	0.152798	0.081739	0.765463	627658
1.848000	0.151366	0.080319	0.768315	627658
1.866000	0.150020	0.079040	0.770941	627658
1.884000	0.148369	0.077486	0.774145	627658
1.902000	0.147214	0.075998	0.776788	627658
1.920000	0.146260	0.075173	0.778567	627658
1.938000	0.145265	0.074376	0.780358	627658
1.956000	0.143392	0.072085	0.784523	627658
1.974000	0.142183	0.070918	0.786900	627658
1.992000	0.140839	0.069326	0.789835	627658
2.010000	0.139034	0.067562	0.793403	627658
2.028000	0.136190	0.065400	0.798409	627658
2.046000	0.135037	0.063856	0.801107	627658
2.064000	0.133885	0.062900	0.803214	627658
2.082000	0.132190	0.061502	0.806309	627658
2.100000	0.131027	0.060321	0.808652	627658
2.118000	0.129682	0.059379	0.810938	627658
2.136000	0.128126	0.057652	0.814222	627658
2.154000	0.126980	0.056797	0.816223	627658
2.172000	0.124974	0.055498	0.819528	627658
2.190000	0.123359	0.054401	0.822241	627658
2.208000	0.121859	0.053086	0.825054	627658
2.226000	0.119434	0.050883	0.829683	627658
2.244000	0.117935	0.049968	0.832096	627658
2.262000	0.116611	0.048898	0.834491	627658
2.280000	0.115083	0.047594	0.837322	627658
2.298000	0.113348	0.046216	0.840435	627658
2.316000	0.112147	0.045353	0.842500	627658
2.334000	0.110865	0.044230	0.844906	627658
2.352000	0.109754	0.043108	0.847138	627658
2.370000	0.108624	0.042525	0.848851	627658
2.388000	0.107382	0.041210	0.851408	627658
2.406000	0.106067	0.040151	0.853782	627658
2.424000	0.104582	0.038946	0.856471	627658
2.442000	0.103711	0.038398	0.857891	627658
2.460000	0.102542	0.037543	0.859916	627658
2.478000	0.101778	0.037105	0.861117	627658
2.496000	0.100475	0.036324	0.863201	627658
2.514000	0.099534	0.035546	0.864920	627658
2.532000	0.098318	0.034700	0.866982	627658
2.550000	0.096500	0.033721	0.869779	627658
2.568000	0.095662	0.033171	0.871167	627658
2.586000	0.093737	0.031654	0.874608	627658
2.604000	0.092103	0.030666	0.877231	627658
2.622000	0.090443	0.029336	0.880221	627658
2.640000	0.088723	0.028458	0.882818	627658
2.658000	0.087436	0.027891	0.884673	627658
2.676000	0.086311	0.027367	0.886322	627658
2.694000	0.085351	0.026634	0.888015	627658
2.712000	0.084355	0.025960	0.889685	627658
2.730000	0.083337	0.025452	0.891211	627658
2.748000	0.082511	0.024861	0.892628	627658
2.766000	0.080804	0.023808	0.895389	627658
2.784000	0.080023	0.023549	0.896428	627658
2.802000	0.078686	0.022780	0.898534	627658
2.820000	0.077596	0.022321	0.900083	627658
2.838000	0.076615	0.021510	0.901875	627658
2.856000	0.075391	0.021024	0.903584	627658
2.874000	0.073956	0.020342	0.905702	627658
2.892000	0.072756	0.019643	0.907601	627658
2.910000	0.071663	0.019143	0.909194	627658
2.928000	0.069930	0.018532	0.911538	627658
2.946000	0.068579	0.018046	0.913375	627658
2.964000	0.067307	0.017605	0.915088	627658
2.982000	0.066087	0.017156	0.916757	627658
