# Number of Tags, Misstags and Rejected as a function of k. The ISR has pt > 300
# Number of Events 181280
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.013664	0.033302	0.953034	181280
1.218000	0.011584	0.028177	0.960238	181280
1.236000	0.010933	0.026716	0.962351	181280
1.254000	0.010564	0.025419	0.964017	181280
1.272000	0.009510	0.021547	0.968943	181280
1.290000	0.008622	0.018960	0.972418	181280
1.308000	0.008026	0.017393	0.974581	181280
1.326000	0.006846	0.013576	0.979579	181280
1.344000	0.006140	0.012169	0.981691	181280
1.362000	0.005704	0.011071	0.983225	181280
1.380000	0.005378	0.010415	0.984207	181280
1.398000	0.005130	0.009742	0.985128	181280
1.416000	0.004860	0.009301	0.985840	181280
1.434000	0.004601	0.008567	0.986833	181280
1.452000	0.004374	0.007866	0.987759	181280
1.470000	0.004093	0.007155	0.988752	181280
1.488000	0.003735	0.006531	0.989734	181280
1.506000	0.003431	0.005687	0.990882	181280
1.524000	0.003288	0.004998	0.991714	181280
1.542000	0.002819	0.004165	0.993016	181280
1.560000	0.002620	0.003895	0.993485	181280
1.578000	0.002339	0.003337	0.994324	181280
1.596000	0.002013	0.002731	0.995256	181280
1.614000	0.001870	0.002405	0.995725	181280
1.632000	0.001710	0.002085	0.996205	181280
1.650000	0.001600	0.001848	0.996552	181280
1.668000	0.001500	0.001776	0.996723	181280
1.686000	0.001445	0.001754	0.996801	181280
1.704000	0.001346	0.001627	0.997027	181280
1.722000	0.001192	0.001511	0.997297	181280
1.740000	0.001147	0.001346	0.997507	181280
1.758000	0.001070	0.001208	0.997722	181280
1.776000	0.001059	0.001158	0.997782	181280
1.794000	0.000866	0.000855	0.998279	181280
1.812000	0.000833	0.000805	0.998362	181280
1.830000	0.000783	0.000728	0.998489	181280
1.848000	0.000717	0.000645	0.998637	181280
1.866000	0.000662	0.000585	0.998753	181280
1.884000	0.000629	0.000491	0.998880	181280
1.902000	0.000541	0.000425	0.999035	181280
1.920000	0.000491	0.000359	0.999150	181280
1.938000	0.000447	0.000320	0.999233	181280
1.956000	0.000397	0.000265	0.999338	181280
1.974000	0.000303	0.000188	0.999509	181280
1.992000	0.000292	0.000177	0.999531	181280
2.010000	0.000259	0.000149	0.999592	181280
2.028000	0.000204	0.000121	0.999675	181280
2.046000	0.000177	0.000116	0.999708	181280
2.064000	0.000154	0.000110	0.999735	181280
2.082000	0.000143	0.000110	0.999746	181280
2.100000	0.000127	0.000094	0.999779	181280
2.118000	0.000127	0.000077	0.999796	181280
2.136000	0.000127	0.000072	0.999801	181280
2.154000	0.000121	0.000055	0.999823	181280
2.172000	0.000116	0.000055	0.999829	181280
2.190000	0.000116	0.000055	0.999829	181280
2.208000	0.000116	0.000022	0.999862	181280
2.226000	0.000116	0.000017	0.999868	181280
2.244000	0.000110	0.000017	0.999873	181280
2.262000	0.000110	0.000011	0.999879	181280
2.280000	0.000094	0.000006	0.999901	181280
2.298000	0.000094	0.000006	0.999901	181280
2.316000	0.000094	0.000006	0.999901	181280
2.334000	0.000077	0.000006	0.999917	181280
2.352000	0.000077	0.000006	0.999917	181280
2.370000	0.000077	0.000006	0.999917	181280
2.388000	0.000077	0.000006	0.999917	181280
2.406000	0.000072	0.000006	0.999923	181280
2.424000	0.000072	0.000006	0.999923	181280
2.442000	0.000066	0.000006	0.999928	181280
2.460000	0.000066	0.000006	0.999928	181280
2.478000	0.000066	0.000006	0.999928	181280
2.496000	0.000066	0.000006	0.999928	181280
2.514000	0.000066	0.000006	0.999928	181280
2.532000	0.000066	0.000006	0.999928	181280
2.550000	0.000066	0.000006	0.999928	181280
2.568000	0.000066	0.000006	0.999928	181280
2.586000	0.000066	0.000006	0.999928	181280
2.604000	0.000066	0.000006	0.999928	181280
2.622000	0.000061	0.000006	0.999934	181280
2.640000	0.000050	0.000006	0.999945	181280
2.658000	0.000050	0.000006	0.999945	181280
2.676000	0.000039	0.000006	0.999956	181280
2.694000	0.000039	0.000006	0.999956	181280
2.712000	0.000022	0.000006	0.999972	181280
2.730000	0.000022	0.000006	0.999972	181280
2.748000	0.000022	0.000006	0.999972	181280
2.766000	0.000022	0.000006	0.999972	181280
2.784000	0.000022	0.000006	0.999972	181280
2.802000	0.000022	0.000006	0.999972	181280
2.820000	0.000022	0.000006	0.999972	181280
2.838000	0.000022	0.000006	0.999972	181280
2.856000	0.000000	0.000006	0.999994	181280
2.874000	0.000000	0.000006	0.999994	181280
2.892000	0.000000	0.000006	0.999994	181280
2.910000	0.000000	0.000006	0.999994	181280
2.928000	0.000000	0.000006	0.999994	181280
2.946000	0.000000	0.000006	0.999994	181280
2.964000	0.000000	0.000006	0.999994	181280
2.982000	0.000000	0.000006	0.999994	181280
