# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 761252
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.311930	0.439265	0.248806	761252
1.218000	0.287656	0.399165	0.313179	761252
1.236000	0.281897	0.385071	0.333032	761252
1.254000	0.272785	0.354481	0.372735	761252
1.272000	0.262726	0.318416	0.418857	761252
1.290000	0.251023	0.264505	0.484472	761252
1.308000	0.243097	0.225270	0.531633	761252
1.326000	0.237329	0.206888	0.555783	761252
1.344000	0.235073	0.194713	0.570213	761252
1.362000	0.219327	0.156235	0.624438	761252
1.380000	0.208738	0.131395	0.659867	761252
1.398000	0.197620	0.102303	0.700077	761252
1.416000	0.190840	0.096034	0.713127	761252
1.434000	0.186604	0.087998	0.725397	761252
1.452000	0.184647	0.082439	0.732914	761252
1.470000	0.181681	0.080263	0.738057	761252
1.488000	0.180189	0.074500	0.745312	761252
1.506000	0.172910	0.069066	0.758024	761252
1.524000	0.172534	0.067343	0.760123	761252
1.542000	0.165169	0.063442	0.771390	761252
1.560000	0.162958	0.061394	0.775649	761252
1.578000	0.161129	0.058875	0.779995	761252
1.596000	0.159701	0.055833	0.784466	761252
1.614000	0.156571	0.053370	0.790059	761252
1.632000	0.156231	0.053135	0.790634	761252
1.650000	0.151667	0.049239	0.799094	761252
1.668000	0.147341	0.046961	0.805698	761252
1.686000	0.139586	0.042234	0.818180	761252
1.704000	0.138352	0.039983	0.821665	761252
1.722000	0.133854	0.037738	0.828408	761252
1.740000	0.130415	0.035845	0.833740	761252
1.758000	0.124839	0.032856	0.842305	761252
1.776000	0.124100	0.032295	0.843605	761252
1.794000	0.121379	0.030165	0.848456	761252
1.812000	0.119775	0.029001	0.851224	761252
1.830000	0.111765	0.025482	0.862754	761252
1.848000	0.105813	0.023164	0.871023	761252
1.866000	0.104922	0.022173	0.872905	761252
1.884000	0.102753	0.021102	0.876145	761252
1.902000	0.100294	0.020297	0.879409	761252
1.920000	0.099878	0.020058	0.880065	761252
1.938000	0.092286	0.017780	0.889934	761252
1.956000	0.085713	0.016426	0.897862	761252
1.974000	0.085283	0.015827	0.898890	761252
1.992000	0.084063	0.015410	0.900527	761252
2.010000	0.082908	0.014906	0.902186	761252
2.028000	0.081863	0.014187	0.903950	761252
2.046000	0.079092	0.013197	0.907711	761252
2.064000	0.077055	0.012816	0.910130	761252
2.082000	0.074246	0.012376	0.913378	761252
2.100000	0.069091	0.010878	0.920030	761252
2.118000	0.069074	0.010802	0.920124	761252
2.136000	0.068044	0.010470	0.921486	761252
2.154000	0.067188	0.010178	0.922634	761252
2.172000	0.066535	0.009990	0.923475	761252
2.190000	0.063941	0.009664	0.926395	761252
2.208000	0.063656	0.009480	0.926864	761252
2.226000	0.062431	0.009324	0.928245	761252
2.244000	0.061659	0.009178	0.929163	761252
2.262000	0.059949	0.008993	0.931058	761252
2.280000	0.055653	0.008402	0.935945	761252
2.298000	0.054786	0.008315	0.936899	761252
2.316000	0.052228	0.007913	0.939858	761252
2.334000	0.051229	0.007813	0.940958	761252
2.352000	0.046837	0.006634	0.946529	761252
2.370000	0.046349	0.006558	0.947094	761252
2.388000	0.046078	0.006499	0.947423	761252
2.406000	0.043146	0.005928	0.950926	761252
2.424000	0.040985	0.005492	0.953523	761252
2.442000	0.039808	0.005324	0.954868	761252
2.460000	0.039681	0.005289	0.955031	761252
2.478000	0.038952	0.005168	0.955881	761252
2.496000	0.038861	0.005163	0.955976	761252
2.514000	0.038749	0.005144	0.956107	761252
2.532000	0.037589	0.004866	0.957545	761252
2.550000	0.037542	0.004866	0.957592	761252
2.568000	0.034967	0.004611	0.960422	761252
2.586000	0.032431	0.004192	0.963377	761252
2.604000	0.032154	0.004180	0.963666	761252
2.622000	0.032126	0.004173	0.963701	761252
2.640000	0.027036	0.003253	0.969712	761252
2.658000	0.025767	0.003147	0.971086	761252
2.676000	0.025264	0.003117	0.971619	761252
2.694000	0.020780	0.002502	0.976717	761252
2.712000	0.020721	0.002501	0.976778	761252
2.730000	0.020721	0.002501	0.976778	761252
2.748000	0.018183	0.002161	0.979656	761252
2.766000	0.017881	0.002140	0.979979	761252
2.784000	0.016355	0.001984	0.981662	761252
2.802000	0.015142	0.001817	0.983041	761252
2.820000	0.014927	0.001735	0.983338	761252
2.838000	0.014093	0.001654	0.984254	761252
2.856000	0.013475	0.001584	0.984941	761252
2.874000	0.013040	0.001550	0.985410	761252
2.892000	0.012780	0.001536	0.985684	761252
2.910000	0.012686	0.001533	0.985781	761252
2.928000	0.012556	0.001525	0.985919	761252
2.946000	0.010770	0.001289	0.987941	761252
2.964000	0.008495	0.001038	0.990467	761252
2.982000	0.008315	0.001021	0.990664	761252
