# Number of Tags, Misstags and Rejected as a function of k
# Number of Events 749383
# k_cut 	 Tags 	 MissTags 	 Rejected 	 Total_Events 
1.200000	0.370790	0.284383	0.344826	749383
1.218000	0.358124	0.265033	0.376843	749383
1.236000	0.352693	0.255566	0.391741	749383
1.254000	0.349382	0.249556	0.401062	749383
1.272000	0.342474	0.237701	0.419825	749383
1.290000	0.336965	0.228416	0.434619	749383
1.308000	0.331689	0.218509	0.449802	749383
1.326000	0.327284	0.211594	0.461122	749383
1.344000	0.322507	0.204598	0.472896	749383
1.362000	0.319005	0.199587	0.481408	749383
1.380000	0.314776	0.193677	0.491547	749383
1.398000	0.310822	0.188440	0.500737	749383
1.416000	0.306914	0.182670	0.510416	749383
1.434000	0.300938	0.175000	0.524062	749383
1.452000	0.297527	0.170184	0.532289	749383
1.470000	0.292030	0.163217	0.544753	749383
1.488000	0.288983	0.159032	0.551985	749383
1.506000	0.284649	0.153343	0.562008	749383
1.524000	0.281570	0.149301	0.569128	749383
1.542000	0.279150	0.145957	0.574893	749383
1.560000	0.274634	0.140774	0.584592	749383
1.578000	0.269997	0.135700	0.594304	749383
1.596000	0.266806	0.132155	0.601038	749383
1.614000	0.261818	0.126564	0.611618	749383
1.632000	0.259280	0.123526	0.617194	749383
1.650000	0.257540	0.121786	0.620675	749383
1.668000	0.254389	0.117758	0.627853	749383
1.686000	0.251128	0.114223	0.634649	749383
1.704000	0.247374	0.110727	0.641899	749383
1.722000	0.245170	0.108290	0.646540	749383
1.740000	0.242888	0.105770	0.651343	749383
1.758000	0.240061	0.102865	0.657074	749383
1.776000	0.235306	0.098740	0.665955	749383
1.794000	0.232535	0.096242	0.671223	749383
1.812000	0.228756	0.092787	0.678457	749383
1.830000	0.226816	0.090797	0.682387	749383
1.848000	0.225253	0.088854	0.685892	749383
1.866000	0.222855	0.086751	0.690393	749383
1.884000	0.218723	0.082886	0.698392	749383
1.902000	0.216002	0.079892	0.704106	749383
1.920000	0.212707	0.076933	0.710360	749383
1.938000	0.209660	0.074224	0.716116	749383
1.956000	0.206886	0.072266	0.720848	749383
1.974000	0.206035	0.071245	0.722720	749383
1.992000	0.202887	0.068747	0.728366	749383
2.010000	0.200888	0.066284	0.732828	749383
2.028000	0.198486	0.064273	0.737241	749383
2.046000	0.195426	0.062062	0.742512	749383
2.064000	0.193981	0.061001	0.745018	749383
2.082000	0.191544	0.059195	0.749260	749383
2.100000	0.188041	0.056500	0.755459	749383
2.118000	0.186491	0.055140	0.758369	749383
2.136000	0.183961	0.053112	0.762928	749383
2.154000	0.181601	0.051394	0.767004	749383
2.172000	0.178727	0.049901	0.771372	749383
2.190000	0.177525	0.048581	0.773894	749383
2.208000	0.175471	0.047099	0.777430	749383
2.226000	0.174574	0.046502	0.778923	749383
2.244000	0.173129	0.045239	0.781632	749383
2.262000	0.168512	0.042479	0.789009	749383
2.280000	0.164661	0.040142	0.795197	749383
2.298000	0.163520	0.039124	0.797356	749383
2.316000	0.161139	0.037827	0.801034	749383
2.334000	0.159104	0.036700	0.804196	749383
2.352000	0.156543	0.035456	0.808001	749383
2.370000	0.154436	0.033665	0.811899	749383
2.388000	0.152965	0.032425	0.814610	749383
2.406000	0.151339	0.031414	0.817247	749383
2.424000	0.148947	0.030301	0.820753	749383
2.442000	0.147097	0.029273	0.823630	749383
2.460000	0.145464	0.028223	0.826313	749383
2.478000	0.142533	0.026822	0.830645	749383
2.496000	0.141003	0.026047	0.832951	749383
2.514000	0.139281	0.025027	0.835691	749383
2.532000	0.137318	0.024280	0.838402	749383
2.550000	0.136111	0.023549	0.840341	749383
2.568000	0.133202	0.022418	0.844380	749383
2.586000	0.130972	0.021519	0.847509	749383
2.604000	0.129412	0.020660	0.849929	749383
2.622000	0.127984	0.019747	0.852269	749383
2.640000	0.126235	0.018998	0.854767	749383
2.658000	0.125020	0.018391	0.856589	749383
2.676000	0.122254	0.017113	0.860633	749383
2.694000	0.121172	0.016377	0.862451	749383
2.712000	0.119688	0.015888	0.864424	749383
2.730000	0.117052	0.014854	0.868094	749383
2.748000	0.116248	0.014473	0.869279	749383
2.766000	0.114071	0.013778	0.872151	749383
2.784000	0.111635	0.012979	0.875387	749383
2.802000	0.109708	0.012361	0.877932	749383
2.820000	0.108248	0.011939	0.879813	749383
2.838000	0.106837	0.011457	0.881705	749383
2.856000	0.105576	0.011223	0.883201	749383
2.874000	0.103699	0.010561	0.885741	749383
2.892000	0.103046	0.010402	0.886552	749383
2.910000	0.101905	0.010108	0.887987	749383
2.928000	0.100492	0.009825	0.889683	749383
2.946000	0.098923	0.009450	0.891627	749383
2.964000	0.096660	0.008754	0.894587	749383
2.982000	0.095851	0.008590	0.895559	749383
